alpha,arousal1,betha,theta,gamma,valence1
2.47,0.4,3.41,2.94,2.63,-0.09
2.65,0.38,3.42,2.97,2.63,-0.08
2.89,0.35,3.4,3.02,2.51,-0.08
3.03,0.33,3.48,3.03,2.55,-0.08
3.07,0.33,3.61,3.2,2.46,-0.07
2.99,0.33,3.63,3.34,2.82,-0.07
2.83,0.35,3.53,3.35,2.99,-0.08
2.74,0.37,3.38,3.43,3.08,-0.09
2.71,0.37,3.39,3.55,3.2,-0.06
2.68,0.37,3.4,3.56,3.22,-0.03
2.63,0.38,3.3,3.59,3.31,-0.01
2.62,0.38,3.35,3.81,3.37,-0.01
2.41,0.41,3.38,3.97,3.41,0
1.9,0.53,3.44,4.04,3.46,0.05
1.65,0.61,3.27,4.09,3.45,0.09
1.54,0.65,3.2,4.08,3.47,0.1
1.78,0.56,3.31,4.08,3.34,0.08
1.88,0.53,3.53,4.05,3.36,0.09
1.89,0.53,3.51,3.95,3.37,0.09
2.15,0.46,3.58,3.9,3.26,0.07
2.44,0.41,3.97,3.9,3.41,0.04
2.75,0.36,4.38,4.13,3.38,0.01
3.13,0.32,4.94,5.27,3.4,-0.01
3.93,0.25,4.98,6.29,3.44,0.01
5.01,0.2,5.02,6.81,3.46,0.01
5.57,0.18,5.07,7.04,3.53,0.02
5.7,0.18,5.06,7.08,3.51,0.01
5.73,0.17,5.18,7.08,3.74,0.01
5.73,0.17,5.35,7.09,3.9,0.01
5.76,0.17,5.37,7.09,4.04,0
5.79,0.17,5.4,7.09,4.14,0
5.79,0.17,5.31,7.09,4.19,0
5.78,0.17,5.15,7.08,4.18,0
5.78,0.17,5.22,6.93,4.27,0
5.66,0.18,5.23,6.36,4.36,0
5.03,0.2,5.21,5.28,4.35,-0.03
4.45,0.22,5.19,4.53,4.42,-0.1
4.14,0.24,5.17,4.59,4.53,-0.12
4.18,0.24,4.94,5.08,4.4,-0.11
4.23,0.24,4.87,5.25,4.34,-0.1
4.24,0.24,4.82,5.27,4.27,-0.07
4.22,0.24,4.81,5.26,4.3,-0.06
4.23,0.24,4.63,5.25,4.22,-0.06
4.22,0.24,4.2,5.23,4.19,-0.05
4.14,0.24,3.89,5.21,4.07,-0.04
4.05,0.25,3.93,5.1,4,-0.03
3.93,0.25,3.85,5,3.95,-0.02
3.92,0.25,3.9,5,3.77,-0.02
3.9,0.26,3.94,4.75,3.68,-0.02
3.75,0.27,3.94,3.89,3.72,-0.02
3.5,0.29,3.98,2.87,3.71,-0.03
3.19,0.31,3.93,2.99,3.77,-0.06
2.94,0.34,3.92,3.28,3.82,-0.07
2.78,0.36,3.93,3.35,3.88,-0.06
2.93,0.34,3.99,3.38,3.85,-0.08
3.17,0.32,3.95,3.34,3.85,-0.07
3.23,0.31,4.05,3.35,3.78,-0.06
3.18,0.31,4.04,3.39,3.8,-0.05
3.1,0.32,3.91,3.56,3.81,-0.04
3.06,0.33,3.84,3.71,3.56,-0.03
3.03,0.33,3.77,3.74,3.55,-0.02
2.96,0.34,3.65,3.78,3.55,-0.01
2.88,0.35,3.58,3.82,3.24,0.01
2.87,0.35,3.63,3.75,3.07,0
2.77,0.36,3.61,3.72,3.03,0
2.52,0.4,3.57,3.94,3.03,0.01
2.24,0.45,3.55,4.41,3,0.04
2.06,0.49,3.39,4.77,3.02,0.07
1.96,0.51,3.32,4.85,2.84,0.06
2.13,0.47,3.25,4.81,2.82,0.06
2.24,0.45,3.33,4.79,2.96,0.07
2.36,0.42,3.44,4.8,3.02,0.08
