alpha,arousal1,betha,theta,gamma,valence1
2.5,0.4,3.87,3.65,2.81,0.034
2.48,0.403,3.89,3.83,2.85,0.0407
2.64,0.379,3.98,4.52,2.85,0.00769
3.13,0.319,4.02,4.97,2.74,-0.0164
3.35,0.298,3.94,5.08,2.7,-0.0256
3.29,0.304,3.9,5.05,2.47,-0.0382
3.24,0.309,3.8,5.04,2.32,-0.0473
3.24,0.309,3.65,5.06,2.1,-0.0498
3.24,0.308,3.57,5.1,2.16,-0.0502
3.25,0.308,3.53,5.14,2.27,-0.0504
3.27,0.306,3.58,5.18,2.33,-0.0392
3.25,0.308,3.59,5.21,2.43,-0.034
3.25,0.307,3.5,5.13,2.44,-0.0312
3.14,0.318,3.44,4.72,2.45,-0.0237
2.49,0.401,3.28,4.2,2.46,-0.0015
1.98,0.505,3.44,4.08,2.57,0.0778
1.96,0.511,3.76,4.09,2.62,0.0779
2.17,0.462,3.77,3.99,2.62,-0.00802
2.36,0.423,3.81,3.83,2.53,-0.0578
2.89,0.346,3.85,3.63,2.49,-0.057
3.13,0.319,3.91,3.62,2.58,-0.06
3.35,0.298,3.88,3.88,2.52,-0.0742
3.44,0.29,3.85,3.95,2.6,-0.0822
3.62,0.276,3.89,4.06,2.66,-0.0842
3.75,0.267,3.85,4.07,2.66,-0.0881
3.93,0.254,3.92,3.99,2.66,-0.0842
4.04,0.247,3.69,3.95,2.66,-0.0795
4.07,0.246,3.63,3.93,2.63,-0.0756
4.05,0.247,3.73,3.95,2.75,-0.0712
4.03,0.248,3.73,3.92,2.75,-0.0687
3.94,0.254,3.68,3.88,2.76,-0.0743
3.8,0.263,3.61,3.69,2.55,-0.0715
3.74,0.267,3.58,3.31,2.72,-0.0639
3.65,0.274,3.76,2.63,2.85,-0.0619
3.67,0.273,4.34,2.32,3.04,-0.0526
3.93,0.255,4.42,2.88,3.42,-0.0307
4.33,0.231,4.52,3.21,3.72,-0.0187
4.43,0.225,4.59,3.24,3.79,-0.0158
4.42,0.226,4.66,3.43,3.87,-0.0132
4.41,0.227,4.66,3.45,3.92,-0.0103
4.47,0.224,4.8,3.77,3.99,-0.00196
4.55,0.22,4.79,4.13,4.09,0.00528
4.55,0.22,4.81,4.19,4.08,0.0068
4.56,0.219,4.89,4.19,4.09,0.00613
4.62,0.217,4.74,4.35,4.01,0.0048
4.63,0.216,4.5,4.41,3.9,0.00418
4.35,0.23,4.41,4.33,3.67,0.0117
3.94,0.254,4.26,4.31,3.58,0.0269
3.9,0.257,4.24,4.35,3.5,0.0306
3.91,0.256,4.22,4.28,3.4,0.0299
3.87,0.259,4.2,4.22,3.36,0.0227
3.68,0.271,3.99,4.02,3.3,0.0119
3.55,0.282,4.06,4.04,3.22,-0.00637
3.54,0.282,4.05,4.18,3.19,-0.0173
3.55,0.282,4.01,4.08,3.18,-0.0107
3.33,0.3,3.98,3.99,3.16,0.00288
2.93,0.342,4.22,4.2,3.18,0.0336
2.72,0.368,4.18,4.29,3.13,0.0505
2.68,0.374,4.17,4.25,3.06,0.051
2.68,0.373,4.16,4.24,3.05,0.0645
2.68,0.373,4.15,4.3,3.26,0.079
2.59,0.385,4.1,4.35,3.41,0.0886
2.54,0.394,4.16,4.36,3.52,0.0818
2.8,0.358,4.12,4.29,3.46,0.045
2.92,0.343,4.07,4.29,3.48,0.0191
2.75,0.364,4.1,4.37,3.56,0.016
2.64,0.379,4.13,4.36,3.58,0.00529
2.66,0.375,3.79,4.44,3.62,0.00371
2.71,0.369,3.81,4.68,3.73,0.0228
2.74,0.366,3.97,4.79,3.72,0.0105
2.87,0.348,3.95,4.77,3.64,-0.00365
3,0.334,3.94,4.74,3.58,-0.00413
3.1,0.322,4,4.77,3.36,-0.00101
