alpha,arousal1,betha,theta,gamma,valence1
4.11,0.24,4.67,5.05,4.22,-0.01
4.16,0.24,4.68,5.11,4.41,-0.01
4.13,0.24,4.45,5.18,4.38,-0.01
4.02,0.25,4.65,5.29,4.13,0.00
4.00,0.25,4.67,5.58,4.10,0.00
4.24,0.24,4.78,5.63,4.20,0.00
4.59,0.22,5.00,5.93,4.22,0.00
4.84,0.21,4.99,6.51,4.22,0.00
4.96,0.20,4.97,6.76,4.20,0.00
4.94,0.20,4.94,6.82,4.12,0.00
5.01,0.20,4.93,6.86,4.12,0.00
5.08,0.20,4.94,6.88,4.10,0.00
5.07,0.20,4.93,6.93,3.88,0.00
5.07,0.20,4.92,6.93,3.74,0.00
5.06,0.20,4.75,6.89,3.77,0.00
4.99,0.20,4.66,6.91,3.70,0.00
4.82,0.21,4.22,6.97,3.33,0.00
4.62,0.22,4.04,6.82,3.36,0.00
4.21,0.24,4.06,6.49,3.33,0.00
4.02,0.25,4.06,6.33,3.34,0.00
3.96,0.25,4.06,6.21,3.27,0.00
3.78,0.26,4.08,6.10,3.33,0.00
3.66,0.27,4.26,6.01,3.42,0.00
3.67,0.27,4.43,5.91,3.39,-0.01
3.68,0.27,4.45,5.88,3.25,-0.01
3.76,0.27,4.40,5.81,3.28,0.00
3.88,0.26,4.48,5.46,3.30,0.01
3.93,0.25,4.53,5.33,3.28,0.02
3.92,0.26,4.53,5.64,3.29,0.03
3.93,0.25,4.74,5.78,3.38,0.04
4.09,0.24,4.77,5.92,3.34,0.03
4.38,0.23,4.71,6.12,3.33,0.02
4.50,0.22,4.70,6.23,3.15,0.02
4.62,0.22,4.54,6.25,2.90,0.01
4.72,0.21,4.39,6.26,2.95,0.01
4.74,0.21,4.41,6.27,2.81,0.01
4.71,0.21,4.39,6.27,2.55,0.01
4.64,0.22,4.20,6.29,2.48,0.00
4.66,0.21,4.11,6.21,2.55,0.00
4.67,0.21,4.08,6.03,2.34,0.00
4.66,0.21,3.44,5.85,2.13,0.00
4.52,0.22,3.38,5.54,2.12,0.00
4.34,0.23,3.29,5.12,2.05,0.00
4.12,0.24,2.97,4.79,2.16,0.00
3.80,0.26,2.92,4.68,1.98,-0.01
3.54,0.28,2.85,4.62,2.08,-0.01
3.33,0.30,2.69,4.61,2.14,-0.01
3.33,0.30,2.66,4.60,2.28,-0.01
3.24,0.31,2.58,4.54,2.44,0.00
3.04,0.33,2.46,4.48,2.36,0.00
2.90,0.35,2.55,4.13,2.36,0.00
2.85,0.35,2.48,3.76,2.33,0.01
2.39,0.42,2.37,3.68,2.33,0.02
2.08,0.48,2.47,3.61,2.22,0.00
2.05,0.49,2.52,3.51,2.20,0.03
1.76,0.57,2.68,3.40,2.24,0.10
1.49,0.67,2.69,3.29,2.11,0.14
1.48,0.68,2.63,3.37,2.05,0.13
1.49,0.67,2.76,3.49,1.96,0.04
1.70,0.59,3.34,3.75,2.09,0.00
1.91,0.52,3.84,4.06,2.09,0.01
2.58,0.39,3.90,4.12,2.22,0.01
2.87,0.35,4.00,4.15,2.22,0.02
3.00,0.33,4.10,4.22,2.29,0.01
3.51,0.28,4.15,4.30,2.35,0.00
3.73,0.27,4.23,4.40,2.40,0.00
3.80,0.26,4.25,4.52,2.36,0.00
3.82,0.26,4.33,4.59,2.44,0.00
3.82,0.26,4.36,4.56,2.50,0.00
3.81,0.26,4.31,4.48,2.26,0.00
3.79,0.26,4.17,4.29,2.31,0.00
3.78,0.26,4.01,4.16,2.37,0.00
3.80,0.26,3.98,4.20,2.43,0.00
3.86,0.26,3.85,4.39,2.40,0.00
3.69,0.27,3.74,4.57,2.29,0.00
3.34,0.30,3.59,4.61,2.22,0.00
3.17,0.32,3.51,4.56,2.20,0.00
3.16,0.32,3.56,4.45,2.18,0.01
3.38,0.30,3.50,4.43,2.12,0.00
3.53,0.28,3.36,4.47,2.09,-0.01
3.59,0.28,3.29,4.47,2.16,-0.01
3.60,0.28,2.94,4.42,2.08,-0.01
3.77,0.26,3.39,5.49,3.27,0.18
3.81,0.26,3.53,5.42,3.31,0.19
4.04,0.25,3.62,5.32,3.70,0.21
4.27,0.23,7.00,5.30,7.44,0.21
5.06,0.20,7.54,5.95,7.46,0.08
6.14,0.16,7.55,6.81,7.47,0.05
6.54,0.15,7.55,7.08,7.47,0.04
6.63,0.15,7.55,7.11,7.47,0.04
6.64,0.15,7.55,7.14,7.49,0.04
6.66,0.15,7.55,7.17,7.49,0.04
6.66,0.15,7.56,7.18,7.51,0.04
6.66,0.15,7.66,7.16,7.61,0.04
6.66,0.15,7.68,7.15,7.62,0.04
6.71,0.15,7.69,7.20,7.51,0.04
6.73,0.15,6.07,7.20,5.89,0.04
6.57,0.15,5.84,6.84,5.76,0.04
5.95,0.17,5.82,6.28,5.75,0.07
5.24,0.19,5.84,6.14,5.75,0.14
5.13,0.20,5.84,6.16,5.74,0.16
5.02,0.20,5.83,6.08,5.60,0.18
4.98,0.20,5.82,6.01,5.42,0.18
4.99,0.20,5.78,6.01,5.01,0.18
4.98,0.20,4.46,6.00,2.65,0.21
4.61,0.22,4.02,5.93,2.50,0.24
3.96,0.25,3.57,5.65,2.46,0.23
3.58,0.28,3.24,5.46,2.12,0.21
3.37,0.30,3.37,5.40,2.23,0.21
2.98,0.34,3.34,5.03,2.58,0.15
3.23,0.31,3.58,4.47,3.46,0.08
3.73,0.27,4.07,4.55,3.87,0.04
3.94,0.25,4.06,4.81,3.93,0.03
3.94,0.25,4.10,4.78,4.03,0.03
4.02,0.25,4.25,4.83,4.11,0.02
4.08,0.25,4.24,5.07,4.21,0.01
4.08,0.25,4.27,5.37,4.23,0.01
4.07,0.25,4.36,5.54,4.27,0.01
4.09,0.24,4.38,5.56,4.26,0.01
4.11,0.24,4.29,5.52,4.27,0.00
4.07,0.25,4.29,5.46,4.22,-0.01
3.85,0.26,3.99,5.46,3.64,-0.01
3.36,0.30,3.64,5.31,3.56,-0.03
3.22,0.31,3.65,5.23,3.37,-0.04
3.10,0.32,3.63,5.20,3.33,-0.04
2.95,0.34,3.49,5.07,3.13,-0.06
2.81,0.36,3.62,4.70,3.05,-0.08
2.86,0.35,3.46,4.01,3.11,-0.07
3.04,0.33,3.43,3.57,3.22,-0.05
2.94,0.34,3.59,3.72,3.39,-0.05
2.85,0.35,3.60,3.99,3.51,-0.04
2.99,0.33,3.68,4.16,3.50,-0.01
3.07,0.33,3.74,4.21,3.54,-0.01
3.12,0.32,3.70,4.22,3.53,-0.01
3.34,0.30,3.65,4.25,3.50,0.01
3.39,0.29,3.59,4.33,3.48,0.02
3.32,0.30,3.46,4.29,3.48,0.03
3.31,0.30,3.43,4.20,3.47,0.04
3.20,0.31,3.54,4.17,3.30,0.05
3.12,0.32,3.45,4.12,3.15,0.07
3.30,0.30,3.38,4.00,3.02,0.07
3.48,0.29,3.31,3.87,2.75,0.06
3.55,0.28,3.23,3.79,2.69,0.06
3.59,0.28,3.11,3.80,2.54,0.06
3.54,0.28,3.01,3.82,2.52,0.06
3.35,0.30,2.97,3.70,2.41,0.06
3.36,0.30,3.00,3.63,2.42,0.05
3.42,0.29,3.03,3.62,2.48,0.04
3.43,0.29,3.04,3.67,2.41,0.03
3.43,0.29,3.09,3.75,2.66,0.03
3.35,0.30,3.15,3.76,2.68,0.02
3.12,0.32,3.16,3.69,2.81,0.01
2.87,0.35,3.20,3.83,3.00,0.01
2.76,0.36,3.17,3.98,3.00,0.02
2.67,0.37,3.18,3.95,3.09,0.03
2.81,0.36,3.23,3.93,3.27,0.04
2.91,0.34,3.26,4.00,3.29,0.04
2.85,0.35,3.31,4.06,3.27,0.05
2.75,0.36,3.29,4.05,3.30,0.06
2.73,0.37,3.05,4.02,3.26,0.08
2.85,0.35,3.06,3.98,3.17,0.09
3.06,0.33,2.99,3.95,3.18,0.09
3.15,0.32,2.97,3.82,3.13,0.10
3.16,0.32,2.90,3.52,3.03,0.10
3.22,0.31,2.90,3.53,3.10,0.09
3.42,0.29,2.90,3.85,2.94,0.04
3.53,0.28,2.95,4.01,2.83,0.02
3.50,0.29,2.95,4.04,2.79,0.03
3.48,0.29,2.86,4.04,2.72,0.03
3.48,0.29,3.02,4.09,2.95,0.03
3.53,0.28,2.91,4.22,2.97,0.03
3.59,0.28,3.03,4.40,2.94,0.03
3.54,0.28,3.04,4.51,2.85,0.03
3.49,0.29,3.14,4.50,2.85,0.02
3.50,0.29,3.23,4.49,2.86,0.02
3.33,0.30,3.21,4.40,2.83,0.02
3.05,0.33,3.18,4.18,2.88,0.03
2.88,0.35,3.14,3.99,3.03,0.04
2.86,0.35,3.16,3.89,3.02,0.04
2.89,0.35,3.22,3.87,3.03,0.04
2.88,0.35,3.10,3.91,3.09,0.05
2.76,0.36,3.17,3.73,3.12,0.03
2.53,0.40,3.28,3.31,3.13,-0.05
2.54,0.39,3.25,3.16,3.11,-0.09
2.47,0.41,3.13,3.26,3.11,-0.10
2.28,0.44,3.10,3.29,3.17,-0.11
2.23,0.45,3.26,3.32,3.27,-0.10
2.37,0.42,3.23,3.42,3.24,-0.07
2.40,0.42,3.22,3.45,3.16,-0.05
3.38,0.30,3.79,4.79,2.08,0.00
3.32,0.30,3.51,4.79,2.06,0.00
3.11,0.32,3.47,4.79,2.03,0.01
3.01,0.33,3.48,4.66,1.94,0.02
2.98,0.34,3.43,4.53,1.93,0.03
2.56,0.39,3.43,4.50,2.08,0.05
2.27,0.44,3.19,4.40,2.07,0.06
2.32,0.43,3.12,4.28,2.05,0.08
2.46,0.41,3.17,4.10,1.97,0.06
2.52,0.40,3.04,3.70,1.97,0.04
2.51,0.40,3.13,3.40,2.04,0.05
2.59,0.39,3.28,3.37,2.07,0.03
2.56,0.39,3.27,3.32,2.09,0.03
2.52,0.40,3.14,3.28,2.07,0.04
2.49,0.40,3.34,3.24,2.18,0.04
2.29,0.44,3.39,3.30,2.17,0.03
2.48,0.40,3.43,3.39,2.12,0.03
2.91,0.34,3.34,3.26,2.24,0.02
3.05,0.33,3.34,3.02,2.35,0.02
2.99,0.33,3.33,3.15,2.45,0.03
2.97,0.34,3.33,3.36,2.48,0.03
2.96,0.34,3.17,3.52,2.49,0.04
2.92,0.34,3.13,3.63,2.44,0.05
2.91,0.34,3.13,3.71,2.43,0.06
2.90,0.34,3.11,3.74,2.40,0.06
2.90,0.35,2.83,3.75,2.30,0.06
2.86,0.35,2.73,3.72,2.30,0.05
2.56,0.39,2.46,3.92,2.07,0.06
2.16,0.46,2.44,4.06,2.07,0.07
2.01,0.50,2.39,4.03,1.85,0.05
2.00,0.50,2.62,4.02,1.63,0.05
1.99,0.50,2.65,3.99,1.66,0.06
2.08,0.48,2.69,3.93,1.58,0.05
2.12,0.47,2.68,3.86,1.61,0.05
2.16,0.46,2.69,3.78,1.63,0.04
2.33,0.43,2.72,3.80,1.67,0.02
2.44,0.41,2.73,3.90,1.68,0.00
2.40,0.42,2.76,3.90,1.75,-0.01
2.30,0.43,2.84,3.63,1.72,-0.02
2.29,0.44,2.93,3.44,1.63,0.00
2.71,0.37,2.95,3.34,1.52,0.01
3.08,0.32,2.70,3.31,1.63,0.01
3.19,0.31,2.74,3.36,1.65,0.01
3.19,0.31,2.81,3.41,1.61,0.00
3.19,0.31,2.76,3.43,1.61,-0.01
3.19,0.31,3.07,3.33,2.18,0.00
3.12,0.32,3.32,3.07,2.18,0.01
3.12,0.32,3.37,2.84,2.23,0.02
3.17,0.32,3.43,2.86,2.13,0.03
3.22,0.31,3.43,2.92,2.15,0.03
3.12,0.32,3.42,2.92,2.17,0.02
2.88,0.35,3.44,2.73,2.20,0.03
2.67,0.37,3.52,2.57,2.21,0.05
2.54,0.39,3.47,2.80,2.22,0.07
2.62,0.38,3.45,2.89,2.29,0.07
2.71,0.37,3.49,2.88,2.26,0.06
2.72,0.37,3.18,2.93,1.91,0.06
2.71,0.37,3.20,2.99,1.86,0.05
2.64,0.38,3.18,2.97,1.88,0.05
2.55,0.39,3.04,2.83,2.02,0.05
2.53,0.40,3.20,2.74,1.99,0.04
2.65,0.38,3.37,2.73,2.15,0.02
2.89,0.35,3.40,2.91,2.26,-0.01
3.26,0.31,3.33,3.21,2.19,-0.01
3.42,0.29,3.32,3.36,2.24,-0.02
3.40,0.29,3.33,3.51,2.18,-0.02
3.38,0.30,3.30,3.63,2.13,-0.02
3.45,0.29,3.24,3.65,2.19,-0.02
3.55,0.28,3.15,3.60,2.29,-0.01
3.58,0.28,3.13,3.63,2.32,-0.01
3.57,0.28,3.13,3.77,2.24,-0.02
3.55,0.28,2.86,3.91,2.31,-0.01
3.54,0.28,2.84,3.95,2.29,-0.01
3.43,0.29,2.89,3.87,2.21,-0.01
3.14,0.32,2.96,3.69,2.20,-0.01
2.99,0.33,3.08,3.49,2.22,-0.01
3.02,0.33,3.06,3.29,2.24,-0.02
3.00,0.33,3.03,3.09,2.21,-0.03
2.87,0.35,3.14,3.04,2.25,-0.06
2.81,0.36,3.15,3.01,2.22,-0.08
2.79,0.36,3.22,2.91,2.21,-0.08
2.83,0.35,3.33,2.63,2.27,-0.08
2.86,0.35,3.44,2.16,2.18,-0.09
2.70,0.37,3.40,2.22,2.08,-0.13
2.56,0.39,3.30,2.71,2.19,-0.17
2.47,0.40,3.20,3.11,2.24,-0.19
2.39,0.42,3.10,3.28,2.21,-0.21
2.26,0.44,3.13,3.29,2.21,-0.23
2.20,0.45,3.20,3.31,2.21,-0.22
2.17,0.46,3.14,3.37,2.08,-0.22
2.14,0.47,3.10,3.45,2.09,-0.23
2.21,0.45,3.04,3.52,2.08,-0.21
2.21,0.45,2.86,3.53,1.93,-0.18
2.22,0.45,2.57,3.51,1.99,-0.17
2.25,0.44,2.58,3.49,2.02,-0.14
2.25,0.44,2.91,3.36,1.84,-0.12
2.23,0.45,3.08,3.11,1.86,-0.11
2.25,0.44,3.17,2.96,1.97,-0.10
2.32,0.43,3.20,2.96,1.96,-0.07
2.42,0.41,3.23,2.93,1.98,-0.04
2.79,0.36,3.22,2.97,1.97,-0.03
2.99,0.33,3.31,2.95,1.94,-0.03
2.95,0.34,3.27,2.86,1.98,-0.03
2.93,0.34,3.27,2.92,1.97,-0.03
2.91,0.34,3.27,3.07,1.92,-0.04
2.89,0.35,3.15,3.02,1.91,-0.04
2.92,0.34,2.99,3.11,1.91,-0.04
4.97,0.20,4.06,6.82,3.36,0.00
4.80,0.21,3.73,6.82,3.27,0.00
4.75,0.21,3.62,6.81,3.23,-0.01
4.65,0.21,3.62,6.76,3.24,0.00
4.37,0.23,3.62,6.73,3.20,-0.01
4.25,0.24,3.21,6.74,2.60,-0.01
4.12,0.24,3.00,6.66,2.49,-0.01
3.77,0.27,2.85,6.34,2.33,-0.01
3.27,0.31,2.85,5.85,2.31,-0.01
2.88,0.35,2.88,5.30,2.23,0.01
2.81,0.36,2.88,4.80,1.95,0.04
2.73,0.37,2.78,4.40,1.89,0.05
2.72,0.37,2.79,4.04,1.85,0.04
2.73,0.37,2.68,3.83,1.83,0.04
2.70,0.37,2.61,3.73,1.75,0.03
