alpha,arousal1,betha,theta,gamma,valence1
3.18,0.315,2.96,4.67,2.79,0.0236
3.29,0.304,3,4.78,2.94,0.0256
3.31,0.302,2.95,4.83,2.99,0.0261
3.22,0.31,2.83,4.85,2.99,0.0231
3.15,0.317,2.77,4.83,2.68,0.0185
3.1,0.322,2.63,4.83,2.68,0.0209
3.03,0.33,2.59,4.83,2.67,0.0175
3.04,0.329,2.85,4.77,2.68,0.013
2.89,0.346,2.84,4.62,2.7,0.0143
2.63,0.38,2.79,4.54,2.58,0.0319
2.4,0.417,2.87,4.41,2.57,0.0562
2.27,0.44,3,4.27,2.53,0.0514
1.86,0.536,3,4.16,2.19,0.0548
1.66,0.603,3.01,4.05,2.13,0.0771
1.69,0.59,3.04,3.99,2.16,0.0631
1.93,0.518,3.25,4,2.15,0.0182
2.06,0.485,3.43,4,2.35,0.00735
1.97,0.509,3.5,4.01,2.33,0.024
1.94,0.516,3.44,3.98,2.39,0.0465
2.07,0.482,3.48,3.81,2.35,0.0436
2.16,0.462,3.5,3.54,2.4,0.0299
2.14,0.466,3.46,3.39,2.37,0.0215
2.59,0.387,3.41,3.53,2.38,-0.000035
3.15,0.317,3.4,3.59,2.5,-0.0218
3.29,0.304,3.35,3.73,2.48,-0.0261
3.28,0.305,3.36,4.01,2.44,-0.0265
3.2,0.313,3.13,4.22,2.43,-0.0304
3.17,0.316,2.94,4.33,2.21,-0.0334
3.2,0.312,2.92,4.35,2.22,-0.0297
3.21,0.312,2.79,4.36,2.11,-0.0278
3.18,0.315,2.91,4.43,2.13,-0.0275
3.15,0.317,2.83,4.52,2.15,-0.0277
3.09,0.323,2.94,4.44,2.19,-0.0361
2.62,0.381,3.04,4.34,2.15,-0.0581
1.95,0.512,3.24,4.46,2.34,-0.0718
1.75,0.57,3.29,4.5,2.3,-0.0378
1.69,0.59,3.35,4.38,2.28,-0.0461
1.69,0.59,3.35,4.21,2.33,-0.0672
1.59,0.629,3.4,4.13,2.59,-0.108
1.5,0.669,3.43,4.15,2.61,-0.145
1.43,0.698,3.42,4.09,2.65,-0.129
1.41,0.708,3.38,3.91,2.6,-0.156
1.46,0.684,3.46,3.82,2.71,-0.12
1.41,0.708,3.41,3.79,2.9,-0.0751
1.25,0.798,3.24,3.67,2.78,-0.0728
1.29,0.775,3.3,3.45,2.78,-0.0205
1.9,0.525,3.29,3.21,2.79,0.0365
2.33,0.429,3.25,3.13,2.8,0.0307
2.44,0.41,3.21,3.05,2.68,0.0238
2.46,0.406,3.19,2.91,2.6,0.0177
2.43,0.411,3.18,3,2.54,0.0177
2.44,0.41,3.23,3.3,2.55,0.012
2.49,0.401,3.22,3.54,2.56,0.00564
2.6,0.385,3.12,3.63,2.22,-0.0039
2.65,0.377,3.15,3.61,2.2,-0.00631
2.69,0.372,3.06,3.57,2.37,-0.00711
2.6,0.385,3.11,3.68,2.43,-0.0211
2.22,0.451,3.01,3.78,2.42,-0.0737
1.95,0.512,3.16,3.91,2.53,-0.108
2.11,0.474,3.23,4.24,2.63,-0.0871
2.48,0.403,3.35,4.57,2.72,-0.0674
2.79,0.359,3.46,4.76,2.79,-0.0561
3.01,0.333,3.8,4.91,2.92,-0.0475
3.05,0.328,3.84,5.04,2.89,-0.045
3.04,0.329,3.84,5.14,2.92,-0.0467
3.03,0.33,3.82,5.2,2.93,-0.0433
3.03,0.33,3.83,5.22,2.85,-0.0426
3.04,0.329,3.83,5.23,2.86,-0.0443
3.07,0.325,3.82,5.23,2.83,-0.0415
3.22,0.31,3.93,5.25,3.07,-0.0373
3.18,0.314,3.97,5.19,3.02,-0.0405
2.97,0.337,4.04,5.07,3.19,-0.0438
2.8,0.357,3.89,4.95,3.14,-0.0501
2.8,0.357,3.68,4.84,3.06,-0.0643
2.81,0.356,3.67,4.79,3.12,-0.0663
2.79,0.358,3.68,4.75,3.19,-0.0656
2.78,0.36,3.64,4.67,3.38,-0.0721
2.76,0.363,3.65,4.59,3.37,-0.069
2.77,0.362,3.79,4.58,3.39,-0.0634
2.72,0.367,3.73,4.6,3.29,-0.0615
2.52,0.397,3.53,4.65,3.25,-0.0673
2.68,0.374,3.49,4.65,3.22,-0.0418
2.99,0.335,3.37,4.57,3.1,-0.0259
3.04,0.329,3.54,4.48,3.08,-0.0206
2.99,0.335,3.59,4.35,3.11,-0.015
2.99,0.334,3.56,4.16,3.09,-0.00709
3.04,0.329,3.46,4.1,2.8,-0.00139
3.06,0.326,3.41,4.12,2.59,-0.000129
3.07,0.326,3.43,4.14,2.64,0.00141
3.04,0.329,3.28,4.14,2.48,-0.000814
3.06,0.326,3.25,3.98,2.4,-0.0111
3.08,0.325,3.25,3.75,2.4,-0.024
2.86,0.35,3.3,3.62,2.49,-0.0395
2.65,0.377,2.97,3.47,2.31,-0.0486
2.68,0.373,2.93,3.34,2.33,-0.0287
2.93,0.342,2.9,3.24,2.41,-0.00816
2.98,0.336,2.89,3.32,2.38,-0.008
2.93,0.342,2.94,3.5,2.41,-0.012
2.94,0.34,2.84,3.62,2.3,-0.019
2.98,0.336,2.73,3.65,2.3,-0.0217
