 ,Class 1,Class 2,Class 3,Class 4,Class 5
SVM,0.40937499999999999,0.34375,0.37812499999999999,0.47187499999999999,0.47187499999999999
kNN,0.703125,0.63124999999999998,0.59687500000000004,0.65312499999999996,0.65312499999999996
DT,nan,nan,nan,nan,nan
