alpha,arousal1,beta,theta,gamma,valence1,Stimuli (Audio),Response
2.85,0.35,3.61,3.17,3.1,0.08,Agressive,Agressive
2.87,0.35,3.6,3.55,3.11,0.08,Agressive,Agressive
2.8,0.36,3.41,3.8,3.02,0.09,Agressive,Agressive
2.72,0.37,3.37,3.77,2.87,0.1,Agressive,Agressive
2.63,0.38,3.37,3.66,2.74,0.11,Agressive,Agressive
2.56,0.39,3.6,3.78,2.57,0.11,Agressive,Agressive
2.37,0.42,3.65,3.83,2.53,0.14,Agressive,Agressive
2.12,0.47,3.67,3.85,2.51,0.14,Agressive,Agressive
2.11,0.47,3.58,4.08,2.43,0.14,Agressive,Agressive
2.18,0.46,3.37,4.22,2.46,0.15,Agressive,Agressive
2.33,0.43,3.45,4.24,2.58,0.12,Agressive,Agressive
2.51,0.4,3.84,4.23,2.74,0.09,Agressive,Agressive
2.47,0.41,4.45,4.08,3.18,0.09,Agressive,Agressive
2.64,0.38,4.65,3.98,3.23,0.11,Agressive,Agressive
3.09,0.32,4.78,4.37,3.42,0.09,Agressive,Agressive
3.41,0.29,5,4.9,3.47,0.03,Agressive,Agressive
3.52,0.28,5.11,5.17,3.52,0.01,Agressive,Agressive
3.66,0.27,5.21,5.31,3.62,0.01,Agressive,Agressive
4.04,0.25,5.25,5.32,3.72,0.03,Agressive,Agressive
4.41,0.23,5.28,5.29,3.74,0.04,Agressive,Agressive
4.58,0.22,5.41,5.37,3.82,0.04,Agressive,Agressive
4.61,0.22,5.49,5.49,3.93,0.04,Agressive,Agressive
4.61,0.22,5.53,5.57,3.99,0.04,Agressive,Agressive
4.73,0.21,5.41,5.64,4.1,0.03,Agressive,Agressive
5.03,0.2,6.79,5.85,6.08,0,Agressive,Agressive
5.36,0.19,7.65,7.11,6.09,0.02,Agressive,Agressive
6.87,0.15,7.68,8.14,6.1,0.05,Agressive,Agressive
7.44,0.13,8,8.58,6.26,0.06,Agressive,Agressive
7.72,0.13,8.5,9.08,6.73,0.06,Agressive,Agressive
8.85,0.11,8.76,9.53,6.74,0.08,Agressive,Agressive
9.49,0.11,8.78,9.75,6.77,0.08,Agressive,Agressive
9.64,0.1,8.77,9.8,6.8,0.08,Agressive,Agressive
9.66,0.1,8.78,9.8,6.79,0.08,Agressive,Agressive
9.67,0.1,8.78,9.8,6.84,0.08,Agressive,Agressive
9.68,0.1,8.78,9.8,6.81,0.09,Agressive,Agressive
9.68,0.1,8.5,9.79,6.3,0.11,Agressive,Agressive
9.67,0.1,8.43,9.74,6.3,0.14,Agressive,Agressive
9.62,0.1,8.42,9.6,6.3,0.13,Agressive,Agressive
9.58,0.1,8.07,9.46,5.93,0.13,Agressive,Agressive
9.45,0.11,6.97,9.1,5.04,0.14,Agressive,Agressive
8.92,0.11,5.46,7.95,5,0.13,Agressive,Agressive
7.73,0.13,5.13,6.11,4.63,0.11,Agressive,Agressive
6.46,0.15,5.11,5.53,4.61,0.09,Agressive,Agressive
6.27,0.16,4.71,5.25,4.59,0.09,Agressive,Agressive
5.53,0.18,4.56,5.38,4.13,0.06,Agressive,Agressive
5.26,0.19,4.48,5.56,4.24,0.03,Agressive,Agressive
4.99,0.2,4.68,5.61,4.18,0.02,Agressive,Agressive
4.67,0.21,4.62,5.74,4.15,0,Agressive,Agressive
4.7,0.21,4.73,6.03,4.23,0,Agressive,Agressive
