alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Agressive
3.65,0.274,3.62,4.45,2.15,-0.0153,Calm,Happy
3.5,0.285,3.6,4.47,2.12,-0.0141,Calm,Happy
3.48,0.288,3.58,4.55,2.03,-0.019,Calm,Happy
3.42,0.292,3.46,4.63,2.03,-0.0225,Calm,Happy
3.49,0.286,3.3,4.64,2.02,-0.0195,Calm,Happy
3.46,0.289,3.57,4.68,2.1,-0.0209,Calm,Happy
3.46,0.289,3.62,4.68,2.11,-0.0251,Calm,Happy
3.52,0.284,3.53,4.53,1.99,-0.0238,Calm,Happy
3.54,0.282,3.19,4.2,1.77,-0.0197,Calm,Happy
3.42,0.293,3.07,4.01,1.68,-0.0202,Calm,Happy
3.07,0.326,3.13,4.11,1.84,-0.0218,Calm,Happy
2.79,0.358,3.18,4.22,1.8,-0.00764,Calm,Happy
2.75,0.364,3.19,4.23,2.06,0.00825,Calm,Happy
2.76,0.362,3.36,4.1,2.23,0.0129,Calm,Happy
2.59,0.386,3.36,4.04,2.21,0.0213,Calm,Happy
2.45,0.408,3.47,4.01,2.15,0.0159,Calm,Happy
2.61,0.383,3.11,3.95,2.1,0.0274,Calm,Happy
2.65,0.377,3.09,4,2.11,0.0487,Calm,Happy
2.54,0.394,3.13,4.04,2.23,0.0332,Calm,Happy
2.51,0.398,3.24,4.05,2.31,-0.00389,Calm,Happy
2.58,0.387,3.23,4.02,2.34,-0.0476,Calm,Happy
2.68,0.373,3.24,3.92,2.37,-0.0711,Calm,Happy
3.06,0.327,3.3,4.08,2.35,-0.0639,Calm,Happy
3.46,0.289,3.19,4.14,2.11,-0.0418,Calm,Happy
3.69,0.271,3.07,4.06,2.06,-0.0273,Calm,Happy
3.8,0.263,3.07,4.08,2.03,-0.0156,Calm,Happy
3.9,0.257,2.88,4.3,2.03,-0.00308,Calm,Happy
3.92,0.255,3,4.4,1.99,0.00583,Calm,Happy
3.91,0.255,2.99,4.4,1.94,0.0116,Calm,Happy
3.91,0.256,3.06,4.41,1.89,0.0118,Calm,Happy
3.91,0.256,3.13,4.4,1.83,0.0114,Calm,Happy
3.88,0.258,3.14,4.46,1.66,0.0159,Calm,Happy
3.81,0.262,2.94,4.5,1.51,0.0206,Calm,Happy
3.67,0.272,2.96,4.4,1.52,0.028,Calm,Happy
3.35,0.299,2.96,4.3,1.52,0.0477,Calm,Happy
3.1,0.322,2.91,4.37,1.55,0.0412,Calm,Happy
3.01,0.332,2.93,4.4,1.65,0.0182,Calm,Happy
2.7,0.37,3.11,4.27,1.69,-0.00878,Calm,Happy
2.39,0.419,3.05,4.18,1.71,-0.0617,Calm,Happy
2.42,0.413,2.98,4.23,1.74,-0.0956,Calm,Happy
2.4,0.416,2.82,4.22,1.72,-0.0912,Calm,Calm
2.96,0.338,3.02,4.14,1.68,-0.0686,Calm,Calm
3.16,0.317,3.17,4.25,1.89,-0.0603,Calm,Calm
3.34,0.299,3.22,4.2,1.89,-0.0525,Calm,Calm
3.37,0.297,3.1,4.08,1.64,-0.0548,Calm,Calm
3.23,0.31,3.09,3.99,1.61,-0.0535,Calm,Calm
3.1,0.323,2.87,3.86,1.66,-0.0486,Calm,Calm
3.22,0.31,2.88,3.81,1.69,-0.0519,Calm,Calm
3.34,0.299,2.97,3.86,1.75,-0.0526,Calm,Calm
3.34,0.3,2.97,3.88,1.73,-0.0591,Calm,Calm
3.34,0.299,3.01,3.89,1.77,-0.066,Calm,Calm
3.46,0.289,3.01,3.84,1.73,-0.0625,Calm,Calm
3.54,0.283,3.09,3.66,1.8,-0.0633,Calm,Calm
3.45,0.29,2.95,3.34,1.66,-0.0738,Calm,Calm
3.36,0.297,2.99,3.35,1.68,-0.0867,Calm,Calm
3.38,0.296,3.07,3.62,1.72,-0.0923,Calm,Calm
3.48,0.287,3.08,3.67,1.76,-0.0953,Calm,Calm
3.51,0.285,3.15,3.68,1.76,-0.0929,Calm,Calm
3.44,0.291,3.1,3.56,1.86,-0.0862,Calm,Calm
3.33,0.3,3.13,3.42,1.85,-0.0954,Calm,Calm
3.28,0.305,3.22,3.48,1.83,-0.093,Calm,Calm
3.28,0.305,3.15,3.52,1.81,-0.0776,Calm,Calm
3.27,0.305,3.11,3.49,1.79,-0.0401,Calm,Calm
3.21,0.312,3.18,3.56,1.75,-0.00654,Calm,Calm
3.26,0.307,3.16,3.6,1.75,-0.00219,Calm,Calm
3.55,0.282,3.16,3.5,1.73,-0.0117,Calm,Calm
3.68,0.271,3.32,3.69,1.96,-0.00982,Calm,Calm
3.61,0.277,3.47,3.95,1.91,-0.0037,Calm,Calm
3.6,0.278,3.57,4.07,1.91,-0.00308,Calm,Calm
3.63,0.276,3.5,4.18,1.93,-0.00703,Calm,Calm
3.64,0.275,3.46,4.23,1.97,-0.0109,Calm,Calm
3.65,0.274,3.5,4.27,2.08,-0.0152,Calm,Calm
3.57,0.28,3.51,4.36,2.23,-0.0231,Calm,Calm
3.42,0.292,3.47,4.4,2.25,-0.045,Calm,Calm
3.38,0.296,3.46,4.35,2.23,-0.0636,Calm,Calm
3.24,0.309,3.48,4.39,2.24,-0.0685,Calm,Calm
2.84,0.352,3.44,4.4,2.25,-0.0771,Calm,Calm
2.75,0.364,3.06,4.21,2.06,-0.0651,Calm,Calm
2.81,0.356,2.97,4.02,2.07,-0.0447,Calm,Calm
2.68,0.373,2.77,3.8,2.09,-0.0349,Calm,Calm
2.64,0.378,2.89,3.67,2.06,-0.0142,Calm,Calm
2.6,0.385,3.06,3.77,2.04,0.0073,Calm,Calm
2.87,0.349,2.98,3.87,1.9,0.00235,Calm,Calm
3.26,0.307,2.96,3.78,1.95,0.00436,Calm,Calm
3.31,0.302,2.97,3.74,1.94,0.0071,Calm,Calm
3.31,0.302,2.81,3.78,1.87,-0.00267,Calm,Calm
3.4,0.295,2.78,3.68,1.91,-0.0106,Calm,Calm
3.44,0.291,2.81,3.71,2.2,-0.0133,Calm,Calm
3.38,0.296,2.91,3.76,2.21,-0.0183,Calm,Calm
3.33,0.3,3.2,3.86,2.31,-0.026,Calm,Calm
3.33,0.3,3.52,3.93,2.3,-0.0315,Calm,Calm
3.42,0.293,3.49,3.92,2.26,-0.0337,Calm,Calm
3.44,0.291,3.32,3.84,2.3,-0.0314,Calm,Calm
3.18,0.315,3.28,3.86,2.25,-0.0402,Calm,Calm
2.92,0.343,3.31,4.14,2.19,-0.0697,Calm,Calm
3,0.333,3.29,4.19,2.17,-0.0815,Calm,Calm
2.99,0.334,3.29,4.22,2.19,-0.0681,Calm,Calm
2.73,0.366,3.37,4.27,2.18,-0.061,Calm,Calm
2.75,0.364,3.39,4.24,2.03,-0.0366,Calm,Calm
3.2,0.312,3.43,4.25,2,-0.0269,Calm,Calm
3.63,0.275,2.92,4.19,1.79,-0.0197,Calm,Calm
3.72,0.269,2.89,4.17,1.75,-0.0123,Calm,Calm
3.7,0.27,2.89,4.27,1.72,-0.0189,Calm,Calm
3.85,0.26,2.98,4.29,1.62,-0.0354,Calm,Calm
3.99,0.25,3.11,4.14,1.76,-0.0418,Calm,Calm
4.06,0.247,3.1,3.84,1.93,-0.0409,Calm,Calm
4.04,0.247,3.19,3.71,1.93,-0.0378,Calm,Calm
4.05,0.247,3.18,3.64,2.03,-0.0345,Calm,Calm
4.07,0.246,3.03,3.6,1.87,-0.0356,Calm,Calm
4.02,0.249,2.99,3.69,1.91,-0.0407,Calm,Calm
3.79,0.264,2.87,3.85,1.95,-0.0514,Calm,Calm
3.56,0.281,2.88,3.96,1.95,-0.0765,Calm,Calm
3.56,0.281,2.72,3.93,2,-0.0831,Calm,Calm
3.48,0.287,2.77,3.88,2.03,-0.0686,Calm,Calm
3.28,0.305,2.99,3.89,2.11,-0.0339,Calm,Calm
3.01,0.332,2.95,3.92,1.98,-0.00125,Calm,Calm
2.81,0.356,3.02,3.92,1.86,0.00506,Calm,Calm
2.7,0.37,3.01,3.91,1.84,-0.00234,Calm,Calm
2.6,0.384,3.01,3.9,1.7,-0.00101,Calm,Calm
2.57,0.389,3.09,3.89,1.72,0.00982,Calm,Calm
2.55,0.393,3.17,3.78,1.69,0.025,Calm,Calm
2.36,0.423,3.16,3.5,1.62,0.0585,Calm,Calm
2.32,0.432,3.55,3.3,1.79,0.0886,Calm,Calm
2.54,0.393,3.6,3.32,1.77,0.0651,Calm,Calm
2.43,0.412,3.6,3.34,1.77,0.0381,Calm,Calm
2.42,0.413,3.45,3.36,1.67,-0.00807,Calm,Calm
2.62,0.382,3.51,3.41,1.68,-0.0269,Calm,Calm
2.68,0.373,3.43,3.44,1.68,-0.03,Calm,Calm
2.7,0.37,3.44,3.44,1.66,-0.0403,Calm,Calm
2.72,0.367,3.45,3.4,1.71,-0.0605,Calm,Calm
2.73,0.367,3.56,3.34,1.71,-0.0806,Calm,Calm
2.77,0.362,3.54,3.38,1.74,-0.092,Calm,Calm
2.89,0.346,3.56,3.45,1.61,-0.0943,Calm,Calm
2.91,0.344,3.22,3.49,1.6,-0.106,Calm,Calm
2.85,0.35,3.18,3.47,1.59,-0.115,Calm,Calm
2.97,0.337,3.16,3.29,1.62,-0.0971,Calm,Calm
3.12,0.321,3.13,3.18,1.63,-0.08,Calm,Calm
3.22,0.31,3.03,3.24,1.65,-0.0696,Calm,Calm
3.36,0.298,3.1,3.6,1.93,-0.0665,Calm,Calm
3.41,0.293,3.22,3.94,1.9,-0.0651,Calm,Calm
3.41,0.293,3.17,4.12,1.95,-0.0607,Calm,Calm
3.44,0.29,2.99,4.28,1.89,-0.0501,Calm,Calm
3.45,0.29,2.88,4.43,1.86,-0.0398,Calm,Calm
3.33,0.3,2.86,4.5,1.9,-0.0385,Calm,Calm
3.25,0.308,3.05,4.48,2.02,-0.0364,Calm,Calm
3.23,0.31,3.06,4.47,2.03,-0.0356,Calm,Calm
3.17,0.315,3.05,4.49,2.14,-0.0405,Calm,Calm
6.55,0.153,3.37,9.38,1.18,-0.00195,Happy,Calm
6.13,0.163,2.55,8.98,1.46,-0.00268,Happy,Happy
4.94,0.202,2.43,8.11,1.74,-0.007,Happy,Happy
4.05,0.247,2.49,7.27,1.83,-0.00147,Happy,Happy
3.51,0.285,2.53,6.81,1.93,0.0099,Happy,Happy
2.95,0.339,2.73,6.29,2.08,0.0268,Happy,Happy
2.56,0.391,2.85,5.7,2.5,0.0462,Happy,Happy
2.56,0.39,3.15,5.32,2.62,0.0554,Happy,Happy
2.41,0.415,3.25,5.4,2.68,0.0641,Happy,Happy
2.37,0.423,3.26,5.51,2.68,0.0578,Happy,Happy
2.39,0.418,3.15,5.56,2.65,0.0557,Happy,Happy
2.57,0.389,3.19,5.58,2.64,0.00125,Happy,Happy
2.82,0.354,3.07,5.55,2.6,-0.0467,Happy,Happy
3.06,0.327,3.06,5.53,2.55,-0.0514,Happy,Happy
3.21,0.312,3.11,5.5,2.63,-0.0432,Happy,Happy
3.27,0.306,3.16,5.49,2.59,-0.0401,Happy,Happy
3.23,0.31,3.03,5.49,2.55,-0.0356,Happy,Happy
3.15,0.317,2.97,5.51,2.09,-0.0389,Happy,Happy
3.18,0.315,2.76,5.41,2.06,-0.0439,Happy,Happy
3.19,0.314,2.66,5.07,2.02,-0.0378,Happy,Happy
3.21,0.311,2.74,4.78,2.02,-0.0294,Happy,Happy
3.22,0.31,2.78,4.69,2.02,-0.0237,Happy,Happy
3.09,0.324,3.11,4.65,2.31,-0.0118,Happy,Happy
2.85,0.351,3.28,4.56,2.36,0.00556,Happy,Happy
2.59,0.386,3.29,4.57,2.27,0.0106,Happy,Happy
2.46,0.406,3.21,4.6,2.1,0.00577,Happy,Happy
2.5,0.399,3.21,4.6,2.13,-0.0124,Happy,Happy
2.58,0.387,3.2,4.62,2.14,-0.0294,Happy,Happy
2.54,0.394,3.15,4.55,2.16,-0.0338,Happy,Happy
2.45,0.409,3.14,4.41,2.13,-0.0344,Happy,Happy
2.54,0.393,3.18,4.32,2.18,-0.0585,Happy,Happy
2.76,0.362,3.14,4.23,2.14,-0.102,Happy,Happy
2.9,0.345,2.83,4.19,1.99,-0.125,Happy,Happy
2.93,0.342,2.49,4.25,1.78,-0.128,Happy,Happy
2.84,0.353,2.55,4.3,1.78,-0.149,Happy,Happy
2.78,0.36,2.7,4.24,1.78,-0.137,Happy,Happy
3.02,0.331,2.8,4.25,1.74,-0.0772,Happy,Happy
3.06,0.327,3.1,4.35,1.86,-0.0618,Happy,Happy
3.03,0.33,3.25,4.46,1.85,-0.0607,Happy,Happy
3.13,0.32,3.28,4.53,1.92,-0.0527,Happy,Happy
3.21,0.312,3.41,4.56,2.12,-0.0465,Happy,Happy
3.14,0.318,3.37,4.51,2.02,-0.0352,Happy,Happy
2.99,0.335,3.38,4.32,1.92,-0.00942,Happy,Happy
2.91,0.343,3.38,4.18,1.9,0.0112,Happy,Happy
2.88,0.347,3.36,4.22,1.95,0.0255,Happy,Happy
2.95,0.339,3.32,4.2,1.95,0.0242,Happy,Happy
2.89,0.347,3.25,4.18,1.96,0.0189,Happy,Happy
2.71,0.369,3.23,4.14,2.06,0.0151,Happy,Happy
2.77,0.362,2.86,4.18,2.04,-0.00132,Happy,Happy
2.8,0.357,2.81,4.23,2.11,-0.0146,Happy,Happy
2.89,0.346,2.89,4.18,2.07,-0.0212,Happy,Happy
3.02,0.332,2.65,4.31,1.96,-0.0235,Happy,Happy
3.19,0.313,3.03,4.36,2.28,-0.0301,Happy,Happy
3.51,0.285,3.07,4.35,2.32,-0.0274,Happy,Happy
3.75,0.266,3.07,4.29,2.32,-0.0267,Happy,Happy
3.82,0.262,3.09,4.19,2.24,-0.0291,Happy,Happy
3.8,0.263,3.18,4.24,2.24,-0.0321,Happy,Happy
3.85,0.26,3.28,4.27,2.32,-0.0323,Happy,Happy
3.88,0.258,3.32,4.32,2.2,-0.0296,Happy,Happy
3.86,0.259,3.59,4.26,2.28,-0.0264,Happy,Happy
3.9,0.256,3.54,4.11,2.22,-0.0216,Happy,Happy
3.94,0.254,3.53,3.97,2.27,-0.0174,Happy,Happy
3.87,0.259,3.52,3.74,2.22,-0.0154,Happy,Happy
3.77,0.265,3.37,3.71,1.96,-0.0161,Happy,Happy
3.54,0.282,3.38,3.78,2.06,-0.0117,Happy,Happy
3.31,0.302,3.38,3.93,2.18,0.00164,Happy,Happy
3.31,0.302,3.41,4,2.24,-0.00222,Happy,Happy
3.26,0.307,3.51,4.14,2.39,-0.0113,Happy,Happy
3.23,0.309,3.53,4.35,2.39,-0.0277,Happy,Happy
3.36,0.298,3.53,4.47,2.41,-0.0313,Happy,Happy
3.36,0.297,3.32,4.57,2.28,-0.0282,Happy,Happy
3.19,0.313,3.32,4.69,2.31,-0.0371,Happy,Happy
3.09,0.324,3.32,4.76,2.26,-0.0498,Happy,Happy
3.13,0.319,3.34,4.81,2.25,-0.0458,Happy,Happy
3.25,0.308,3.39,4.82,2.36,-0.0441,Happy,Happy
3.28,0.305,3.41,4.76,2.26,-0.0532,Happy,Happy
3.24,0.309,3.39,4.69,2.25,-0.0491,Happy,Happy
3.21,0.311,3.26,4.63,2.11,-0.0369,Happy,Happy
3.19,0.314,2.99,4.55,2.02,-0.0331,Happy,Happy
3.11,0.322,2.88,4.55,1.95,-0.0398,Happy,Happy
2.93,0.341,2.85,4.46,1.94,-0.0377,Happy,Happy
3.01,0.333,2.75,4.28,1.97,-0.0244,Happy,Happy
3.06,0.327,3.11,4.05,2.03,-0.022,Happy,Happy
2.97,0.336,3.09,4.01,2.02,-0.0288,Happy,Happy
3.02,0.331,3.02,4.12,1.89,-0.0381,Happy,Happy
3.04,0.328,2.91,4.12,1.85,-0.0303,Happy,Happy
3.11,0.322,2.91,4.15,1.84,-0.0244,Happy,Happy
3.15,0.317,2.95,4.28,1.84,-0.0336,Happy,Happy
3.19,0.314,2.88,4.33,1.8,-0.0309,Happy,Happy
3.08,0.325,3,4.14,1.85,-0.0156,Happy,Happy
3.29,0.304,3.06,3.98,2.15,-0.00755,Happy,Happy
3.6,0.278,3.07,3.92,2.21,-0.0198,Happy,Happy
3.68,0.272,3.09,3.87,2.25,-0.025,Happy,Happy
3.67,0.272,2.95,3.87,2.22,-0.0243,Happy,Happy
3.67,0.272,2.99,3.94,2.25,-0.028,Happy,Happy
3.75,0.267,3,4.14,2.22,-0.0389,Happy,Happy
3.79,0.264,2.97,4.37,2.18,-0.0505,Happy,Happy
3.84,0.261,2.92,4.37,2.14,-0.0504,Happy,Happy
3.83,0.261,3.26,4.32,2.27,-0.0489,Happy,Happy
3.89,0.257,3.32,4.3,2.22,-0.0435,Happy,Happy
3.92,0.255,3.32,4.31,2.04,-0.0404,Happy,Happy
3.77,0.265,3.27,4.32,1.93,-0.0455,Happy,Happy
3.62,0.276,3.31,4.32,1.83,-0.0455,Happy,Happy
3.56,0.281,3.17,4.3,1.71,-0.0487,Happy,Happy
3.59,0.279,3.09,4.16,1.65,-0.0523,Happy,Happy
3.48,0.287,3.2,3.82,1.94,-0.0424,Happy,Happy
3.26,0.307,3.25,3.43,1.98,-0.0166,Happy,Happy
3.1,0.323,2.72,5.36,1.42,-0.0331,Happy,Happy
2.83,0.354,2.6,5,1.45,-0.0582,Happy,Happy
2.51,0.398,2.93,4.7,1.74,-0.108,Happy,Happy
2.48,0.404,3.06,4.5,1.86,-0.0965,Happy,Happy
2.71,0.368,3.07,4.47,1.81,-0.0658,Happy,Happy
2.85,0.351,3.03,4.54,1.88,-0.0624,Happy,Happy
2.8,0.357,3.08,4.55,1.91,-0.0815,Happy,Happy
2.72,0.368,3.17,4.62,1.93,-0.0877,Happy,Happy
2.7,0.37,3.15,4.71,1.92,-0.0838,Happy,Happy
2.68,0.373,3.1,4.76,1.93,-0.0789,Happy,Happy
2.67,0.375,3.18,4.76,2.02,-0.0747,Happy,Happy
2.63,0.38,3.37,4.66,2.06,-0.0747,Happy,Happy
2.56,0.391,3.32,4.48,1.95,-0.0839,Happy,Happy
2.66,0.376,3.11,4.34,1.87,-0.0925,Happy,Happy
2.69,0.371,3.2,4.33,1.8,-0.0927,Happy,Happy
2.56,0.391,3.3,4.35,1.82,-0.1,Happy,Happy
2.57,0.389,3.37,4.42,1.79,-0.0683,Happy,Happy
2.91,0.344,3.32,4.55,1.82,-0.0143,Happy,Happy
3.2,0.312,3.28,4.53,1.74,0.0019,Happy,Happy
3.26,0.307,3.32,4.4,1.78,0.00558,Happy,Happy
3.3,0.303,3.46,4.35,1.77,0.00381,Happy,Happy
3.48,0.287,3.34,4.36,1.73,0.00468,Happy,Happy
3.56,0.281,3.32,4.34,1.87,0.0122,Happy,Happy
3.55,0.281,3.39,4.34,1.82,0.0231,Happy,Happy
3.56,0.281,3.4,4.58,1.81,0.0327,Happy,Happy
3.57,0.28,3.28,4.77,1.83,0.0404,Happy,Happy
3.55,0.282,3.14,4.73,1.87,0.0417,Happy,Happy
3.42,0.293,3.11,4.65,2.2,0.0486,Happy,Happy
3.17,0.316,3.32,4.57,2.37,0.0602,Happy,Happy
2.99,0.334,3.32,4.53,2.44,0.0564,Happy,Happy
3.12,0.321,3.23,4.52,2.44,0.0369,Happy,Happy
3.08,0.324,3.15,4.52,2.53,0.0382,Happy,Happy
2.83,0.353,3.15,4.66,2.46,0.0468,Happy,Happy
2.81,0.356,3.15,4.81,2.37,0.0373,Happy,Happy
2.99,0.334,2.96,4.89,2.37,0.0347,Happy,Happy
3.07,0.326,3.11,4.77,2.42,0.0289,Happy,Happy
2.97,0.337,3.26,4.62,2.51,0.0185,Happy,Happy
3,0.333,3.3,4.6,2.41,0.0249,Happy,Happy
3.2,0.312,3.26,4.62,2.07,0.0206,Happy,Happy
3.25,0.307,3.28,4.64,2.05,0.0156,Happy,Happy
3.19,0.314,3.38,4.65,2.02,0.028,Happy,Happy
3.12,0.321,3.42,4.64,1.96,0.0361,Happy,Happy
3.1,0.323,3.47,4.55,1.85,0.0331,Happy,Happy
3.13,0.32,3.48,4.33,1.96,0.0331,Happy,Happy
3.24,0.309,3.61,4.03,2.07,0.0185,Happy,Happy
3.49,0.286,3.62,3.7,2.12,-0.000414,Happy,Happy
3.76,0.266,3.51,3.51,2.08,-0.0114,Happy,Happy
3.88,0.258,3.55,3.67,2.03,-0.0173,Happy,Happy
3.86,0.259,3.5,3.76,2,-0.0206,Happy,Happy
3.9,0.256,3.44,3.66,2.02,-0.0165,Happy,Happy
4,0.25,3.37,3.57,1.93,-0.0108,Happy,Happy
4.07,0.246,3.33,3.65,1.95,-0.00408,Happy,Happy
4.07,0.246,3.36,4.15,1.94,-0.0027,Happy,Happy
4.11,0.244,3.27,4.52,1.87,-0.00518,Happy,Happy
4.13,0.242,3.18,4.59,1.8,-0.00546,Happy,Happy
4.11,0.243,3.03,4.6,1.68,-0.0011,Happy,Happy
3.93,0.255,2.9,4.61,1.45,0.00882,Happy,Happy
3.66,0.273,2.82,4.61,1.39,0.0244,Happy,Happy
3.56,0.281,2.76,4.65,1.61,0.0331,Happy,Happy
3.53,0.283,2.91,4.67,1.7,0.0336,Happy,Happy
3.42,0.292,2.91,4.69,1.69,0.0361,Happy,Happy
3.22,0.311,3,4.7,1.68,0.0379,Happy,Happy
3.32,0.301,2.79,4.61,1.84,0.042,Happy,Happy
3.49,0.286,2.71,4.29,1.91,0.0603,Happy,Happy
3.55,0.282,2.75,4.1,2.03,0.0772,Happy,Happy
3.6,0.278,2.78,4.06,2.09,0.0658,Happy,Happy
3.67,0.272,3.27,3.98,2.22,0.0549,Happy,Happy
3.68,0.272,3.3,3.95,2.24,0.054,Happy,Happy
3.7,0.271,3.31,3.87,2.22,0.052,Happy,Happy
3.79,0.264,3.2,3.47,2.13,0.0412,Happy,Happy
3.9,0.256,3.17,3.22,2.1,0.0333,Happy,Happy
3.93,0.254,3.21,3.17,2.2,0.0339,Happy,Happy
3.91,0.256,3.18,3.15,2.14,0.0342,Happy,Happy
3.8,0.263,3.18,3.09,2.16,0.0306,Happy,Happy
3.65,0.274,3.25,3.03,2.27,0.0194,Happy,Happy
3.62,0.276,3.26,3.05,2.2,0.0128,Happy,Happy
3.65,0.274,3.18,3.08,2.06,0.0154,Happy,Happy
3.61,0.277,2.8,3.12,2.06,0.0154,Happy,Happy
3.63,0.275,2.78,3.7,2.04,0.00843,Happy,Happy
3.76,0.266,2.79,4.22,2.05,0.0035,Happy,Happy
3.83,0.261,2.78,4.3,2.02,0.0022,Happy,Happy
3.79,0.264,2.76,4.27,2.04,-0.00299,Happy,Happy
3.71,0.269,2.71,4.3,1.9,-0.0106,Happy,Happy
3.72,0.269,3.2,4.35,2.12,-0.012,Happy,Happy
3.79,0.264,3.22,4.34,1.89,-0.00634,Happy,Happy
3.81,0.262,3.18,4.33,1.75,-0.00548,Happy,Happy
3.7,0.27,3.17,4.34,1.79,-0.0112,Happy,Happy
3.61,0.277,3.21,4.37,1.81,-0.0128,Happy,Happy
3.61,0.277,3.29,4.29,1.81,-0.0164,Happy,Happy
3.55,0.281,3.29,3.94,1.87,-0.0114,Happy,Happy
3.33,0.3,3.31,3.58,2.18,-0.00886,Happy,Happy
3,0.333,3.39,3.57,2.22,0.00642,Happy,Happy
2.92,0.343,3.43,3.71,2.21,0.0366,Happy,Happy
3.03,0.33,3.23,3.65,2.09,0.0586,Happy,Happy
3.08,0.325,2.98,3.47,2.01,0.08,Happy,Happy
2.96,0.338,2.97,3.47,2.07,0.101,Happy,Happy
2.99,0.334,2.93,3.61,2.08,0.117,Happy,Happy
3.1,0.323,2.96,3.57,2.02,0.108,Happy,Happy
3.08,0.324,3.14,3.61,2.2,0.109,Happy,Happy
3.25,0.308,3.23,3.84,2.28,0.0724,Happy,Happy
3.51,0.285,3.23,4.01,2.29,0.0336,Happy,Happy
3.6,0.278,3.13,4.13,2.06,0.0199,Happy,Happy
3.6,0.278,3.13,4.14,2.11,0.0142,Happy,Happy
3.56,0.281,3.07,4.11,2.13,0.00696,Happy,Happy
3.48,0.287,3.15,4.14,2.13,-0.0085,Happy,Happy
3.42,0.292,3.12,4.26,2.12,-0.0258,Happy,Happy
3.44,0.291,3.12,4.28,2.12,-0.0434,Happy,Happy
3.8,0.263,3.5,8.88,2.32,0.0715,Happy,Happy
3.69,0.271,3.05,8.79,2.37,0.0837,Happy,Happy
3.51,0.285,2.94,8.48,2.41,0.0915,Happy,Happy
3.21,0.312,2.98,7.84,2.44,0.097,Happy,Happy
3.11,0.321,3.67,7.07,2.61,0.116,Happy,Happy
3.28,0.305,3.87,6.39,3.53,0.108,Happy,Happy
3.3,0.303,4.22,6.01,3.59,0.0878,Happy,Happy
3.99,0.251,4.26,5.97,3.54,-0.0544,Happy,Happy
4.86,0.206,4.3,6.51,3.55,-0.09,Happy,Happy
5.51,0.181,4.37,6.83,3.61,-0.0983,Happy,Happy
5.89,0.17,4.45,6.88,3.64,-0.0921,Happy,Happy
5.98,0.167,4.46,6.93,3.63,-0.0822,Happy,Happy
6,0.167,4.49,7.03,3.63,-0.0731,Happy,Happy
6,0.167,4.5,7.08,3.67,-0.0714,Happy,Happy
6,0.167,4.5,7.09,3.64,-0.0727,Happy,Happy
5.99,0.167,4.16,7.1,3.36,-0.0765,Happy,Happy
5.98,0.167,4,7.1,2.67,-0.0808,Happy,Happy
5.97,0.168,3.73,7.04,2.54,-0.0818,Happy,Happy
5.88,0.17,3.41,6.75,2.49,-0.0798,Happy,Happy
5.5,0.182,3.33,6.12,2.43,-0.0762,Happy,Happy
4.64,0.216,3.09,5.61,2.18,-0.0645,Happy,Happy
3.53,0.283,2.9,5.54,2.09,-0.0353,Happy,Happy
2.65,0.378,2.9,5.34,2.09,-0.00662,Happy,Happy
2.42,0.413,2.88,4.53,1.84,-0.115,Happy,Happy
2.56,0.39,2.89,3.52,1.74,-0.138,Happy,Happy
2.46,0.407,2.87,3.1,1.69,-0.121,Happy,Happy
2.3,0.435,2.95,2.67,1.69,-0.162,Happy,Happy
2.47,0.406,3.21,2.44,1.88,-0.134,Happy,Happy
2.8,0.358,3.28,2.37,2.03,-0.0678,Happy,Happy
2.96,0.338,3.28,2.3,1.95,-0.0469,Happy,Happy
3.01,0.332,3.31,2.37,1.98,-0.0453,Happy,Happy
3.1,0.323,3.33,2.96,1.96,-0.0465,Happy,Happy
3.34,0.299,3.41,3.34,1.96,-0.0432,Happy,Happy
3.45,0.29,3.4,3.39,1.98,-0.0427,Happy,Happy
3.4,0.294,3.37,3.61,2.03,-0.0388,Happy,Happy
3.41,0.294,3.39,4,2.21,-0.0141,Happy,Happy
3.41,0.293,3.43,4.31,2.31,-0.00487,Happy,Happy
3.43,0.292,3.38,4.65,2.32,-0.00625,Happy,Happy
3.5,0.286,3.05,5.1,2.04,-0.0144,Happy,Happy
3.47,0.289,3.12,5.38,2.28,-0.0269,Happy,Happy
3.42,0.292,3.05,5.46,2.29,-0.0324,Happy,Happy
3.38,0.296,3,5.46,2.26,-0.0323,Happy,Happy
3.35,0.299,3.08,5.44,2.43,-0.0338,Happy,Happy
3.33,0.301,2.85,5.47,2.44,-0.0299,Happy,Happy
3.48,0.287,2.9,5.49,2.46,-0.0214,Happy,Happy
3.56,0.281,2.89,5.46,2.43,-0.0237,Happy,Happy
3.51,0.285,2.82,5.39,2.28,-0.0299,Happy,Happy
3.5,0.285,2.71,5.31,2.22,-0.0299,Happy,Happy
3.45,0.29,2.64,5.15,2.23,-0.0307,Happy,Happy
3.31,0.302,2.85,4.73,2.14,-0.0129,Happy,Happy
3.41,0.293,2.85,4.1,1.96,0.011,Happy,Happy
3.68,0.272,2.84,3.8,1.98,0.0129,Happy,Happy
3.8,0.263,2.9,3.78,1.8,0.0117,Happy,Happy
3.78,0.264,2.73,3.58,1.71,0.0117,Happy,Happy
3.66,0.273,2.89,3.51,1.62,0.0145,Happy,Happy
