alpha,arousal1,betha,theta,gamma,valence1,Stimuli(Visual),Response
3.59,0.279,3.94,4.73,3.33,0.00979,Happy,
3.84,0.261,4.06,4.94,3.4,0.0089,Happy,
4.29,0.233,4.21,4.99,3.39,-0.00185,Happy,
4.45,0.224,4.24,5.25,3.5,-0.00858,Happy,
4.43,0.226,4.29,5.52,3.54,-0.00591,Happy,
4.51,0.222,4.37,5.53,3.59,0.00372,Happy,
4.55,0.22,4.4,5.59,3.73,0.00804,Happy,
4.54,0.22,4.8,5.69,4.6,0.0101,Happy,
4.76,0.21,5.29,5.74,4.67,0.0103,Happy,
5.77,0.173,5.28,7.04,4.61,0.00229,Happy,
6.37,0.157,5.26,7.98,4.56,0.000716,Happy,
6.46,0.155,5.2,8.2,4.53,0.000701,Happy,
6.49,0.154,5.16,8.25,4.53,0.000475,Happy,
6.49,0.154,5.1,8.31,4.48,0.000208,Happy,
6.52,0.153,5.08,8.33,4.44,0.000009,Happy,
6.53,0.153,5.06,8.34,4.4,-0.000308,Happy,
6.52,0.153,5.03,8.35,4.38,-0.000607,Happy,
6.51,0.154,5.02,8.35,4.32,-0.0008,Happy,
6.52,0.153,4.27,8.34,2.43,-0.000894,Happy,
6.38,0.157,3.3,8.26,2.32,-0.00117,Happy,
5.77,0.173,3.25,7.71,2.45,-0.00199,Happy,
5.13,0.195,3.47,6.86,2.55,-0.00523,Happy,
4.82,0.207,3.48,6.7,2.61,-0.0108,Happy,
4.57,0.219,3.48,6.3,2.61,-0.0101,Happy,
4.03,0.248,3.48,5.64,2.6,-0.00151,Happy,
3.84,0.26,3.45,5.23,2.61,0.00659,Happy,
3.52,0.284,3.49,4.76,2.65,0.015,Happy,
3.52,0.284,3.45,4.29,2.63,0.0206,Happy,
3.62,0.276,3.48,4.24,2.85,0.0261,Happy,
3.52,0.284,3.53,4.26,3.03,0.0226,Happy,
3.44,0.291,3.5,3.97,3.01,0.0191,Happy,
3.36,0.297,3.25,3.99,2.95,0.0231,Happy,
