alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Agressive
2.77,0.361,3.38,3.69,2.69,0.00129,Agressive,Agressive
2.65,0.377,3.37,3.79,2.59,-0.00145,Agressive,Agressive
2.67,0.375,3.21,3.78,2.49,0.0156,Agressive,Agressive
2.7,0.371,3.25,3.79,2.51,0.0309,Agressive,Agressive
2.76,0.363,3.53,3.88,2.65,0.023,Agressive,Agressive
3.02,0.331,3.74,3.96,2.71,0.000492,Agressive,Agressive
3.2,0.313,3.68,3.98,2.59,-0.00251,Agressive,Agressive
3.17,0.316,3.67,4.07,2.53,-0.00941,Agressive,Agressive
3.17,0.315,3.68,4.1,2.33,-0.00824,Agressive,Agressive
3.26,0.307,3.58,4.13,2.28,-0.00426,Agressive,Agressive
3.26,0.307,3.5,4.26,2.31,-0.00471,Agressive,Agressive
3.23,0.309,3.49,4.42,2.29,-0.00745,Agressive,Agressive
3.26,0.307,3.48,4.53,2.38,-0.00685,Agressive,Agressive
3.31,0.302,3.53,4.6,2.37,-0.0111,Agressive,Agressive
3.36,0.297,3.3,4.66,2.36,-0.0131,Agressive,Agressive
3.22,0.31,2.96,4.62,2.18,-0.0113,Agressive,Agressive
3.01,0.332,2.73,4.53,2.2,-0.00229,Agressive,Agressive
3.11,0.322,2.72,4.42,2.23,0.00363,Agressive,Agressive
3.36,0.297,2.83,4.34,2.37,0.0033,Agressive,Agressive
3.41,0.293,2.88,4.37,2.33,0.00386,Agressive,Agressive
3.34,0.3,2.92,4.3,2.22,0.00125,Agressive,Agressive
3.32,0.301,3.04,4.42,2.25,-0.00428,Agressive,Agressive
3.34,0.299,3.03,4.75,2.24,-0.0138,Agressive,Agressive
3.26,0.306,2.85,4.89,2.1,-0.02,Agressive,Agressive
3.16,0.317,2.84,5,2.05,-0.0286,Agressive,Agressive
3.17,0.315,2.88,5.09,1.93,-0.021,Agressive,Agressive
3.43,0.291,2.89,5.13,1.91,-0.00691,Agressive,Agressive
3.55,0.282,2.93,5.21,1.89,0.00899,Agressive,Agressive
3.44,0.291,2.86,5.28,1.61,0.0225,Agressive,Agressive
3.36,0.297,3.15,5.33,1.78,0.0254,Agressive,Agressive
3.37,0.297,3.25,5.38,1.79,0.024,Agressive,Agressive
3.59,0.278,3.29,5.36,1.83,0.0167,Agressive,Agressive
3.71,0.27,3.29,5.18,1.88,0.0186,Agressive,Agressive
3.71,0.27,3.42,4.98,1.98,0.02,Agressive,Agressive
3.7,0.27,3.42,4.84,2.15,0.0252,Agressive,Agressive
3.68,0.272,3.4,4.61,2.15,0.0264,Agressive,Agressive
3.58,0.28,3.39,4.53,2.19,0.023,Agressive,Agressive
3.39,0.295,3.66,4.48,2.23,0.0197,Agressive,Agressive
3.12,0.32,3.76,4.32,2.36,-0.00153,Agressive,Agressive
3,0.333,3.75,4.25,2.31,-0.0304,Agressive,Agressive
2.96,0.338,3.57,4.18,2.25,-0.027,Agressive,Agressive
2.74,0.365,3.53,4.23,2.32,-0.0291,Agressive,Agressive
2.3,0.434,3.48,4.34,2.26,-0.039,Agressive,Agressive
2.15,0.466,3.51,4.32,2.24,-0.000064,Agressive,Agressive
2.22,0.45,3.41,4.3,2.09,0.028,Agressive,Agressive
2.3,0.435,3.4,4.34,2.06,0.0438,Agressive,Agressive
2.34,0.428,3.49,4.34,2.05,0.0628,Agressive,Agressive
2.34,0.427,3.49,4.23,2.02,0.075,Agressive,Agressive
2.4,0.418,3,4.19,1.91,0.0739,Agressive,Agressive
2.35,0.426,2.92,4.23,2.01,0.09,Agressive,Agressive
2.42,0.414,2.96,4.27,2.05,0.107,Agressive,Agressive
2.8,0.358,2.91,4.16,2.08,0.0842,Agressive,Agressive
3.07,0.325,3,4.01,2.09,0.0718,Agressive,Agressive
3.1,0.323,3.04,3.97,2.01,0.0624,Agressive,Agressive
