alpha,arousal1,betha,theta,gamma,valence1,Stimuli(Visual),Response
3.81,0.263,3.42,5.25,1.81,0.0476,Happy,Happy
3.61,0.277,2.98,5.04,1.82,0.0508,Happy,Happy
3,0.333,2.93,4.44,1.83,0.06,Happy,Happy
2.6,0.385,2.98,3.63,1.86,0.0403,Happy,Happy
2.74,0.365,3.14,3.66,1.8,0.0408,Happy,Happy
2.83,0.354,3.14,3.83,1.75,0.0308,Happy,Happy
2.97,0.336,3.37,3.87,1.8,0.0219,Happy,Happy
3.2,0.312,3.43,3.87,1.86,0.0243,Happy,Happy
3.34,0.3,3.41,3.88,1.8,0.0318,Happy,Happy
3.35,0.298,3.59,3.97,1.8,0.0338,Happy,Happy
3.36,0.298,3.55,4.14,1.66,0.0284,Happy,Happy
2.48,0.403,3.28,4.27,2.1,-0.0549,Calm,Calm
2.32,0.431,3.31,4.33,2.09,-0.0829,Calm,Calm
2.4,0.417,3.43,4.33,2.04,-0.0675,Calm,Calm
2.44,0.41,3.41,4.3,2.08,-0.0595,Calm,Calm
2.61,0.384,3.29,4.3,2.14,-0.0554,Calm,Calm
2.72,0.367,3.37,4.32,1.95,-0.0557,Calm,Calm
2.76,0.363,3.45,4.3,2,-0.0556,Calm,Calm
2.74,0.366,3.29,4.24,1.93,-0.0554,Calm,Calm
2.7,0.37,3.24,4.07,1.96,-0.0565,Calm,Calm
2.71,0.369,3.27,3.76,1.85,-0.0536,Calm,Calm
2.78,0.359,3.26,3.45,1.79,-0.0537,Calm,Calm
2.81,0.356,3.2,3.3,1.8,-0.0543,Calm,Calm
2.77,0.36,3.23,3.22,1.83,-0.0624,Calm,Calm
2.7,0.37,3.25,3.17,1.85,-0.0629,Calm,Calm
2.62,0.381,3.22,3.15,1.64,-0.0532,Calm,Calm
2.44,0.41,3.23,3.11,1.63,-0.0616,Calm,Calm
2.13,0.469,3.12,3.08,1.81,-0.0969,Calm,Calm
2.06,0.485,3.1,3.09,1.72,-0.133,Calm,Calm
2.33,0.429,3.07,3.33,1.68,-0.115,Calm,Calm
2.54,0.394,3.11,3.66,1.6,-0.0906,Calm,Calm
2.61,0.383,3.26,3.79,1.75,-0.0636,Calm,Calm
2.53,0.395,3.3,3.8,1.73,-0.0533,Calm,Calm
2.47,0.405,3.39,3.8,1.81,-0.045,Calm,Calm
2.52,0.397,3.26,3.87,2.08,-0.0451,Calm,Calm
2.62,0.381,3.28,4.05,2.3,-0.0541,Calm,Calm
2.67,0.375,3.46,4.18,2.34,-0.0549,Calm,Calm
2.69,0.372,3.42,4.23,2.32,-0.0484,Calm,Calm
2.65,0.378,3.39,4.24,2.39,-0.0441,Calm,Calm
2.58,0.388,3.34,4.26,2.58,-0.0459,Calm,Calm
2.45,0.408,3.3,4.14,2.77,-0.0368,Calm,Calm
2.29,0.437,3.3,3.97,2.84,-0.0321,Calm,Calm
2.31,0.432,3.17,4.17,2.79,-0.0222,Calm,Calm
2.5,0.401,3.29,4.49,2.81,-0.0217,Calm,Calm
2.64,0.379,3.25,4.67,2.78,-0.0245,Calm,Calm
2.67,0.374,3.37,4.64,2.68,-0.00569,Calm,Calm
2.6,0.385,3.27,4.56,2.68,-0.00397,Calm,Calm
2.62,0.382,3.28,4.53,2.7,-0.0224,Calm,Calm
2.69,0.372,3.23,4.61,2.7,-0.0208,Calm,Calm
2.72,0.367,3.24,4.64,2.57,-0.0196,Calm,Calm
2.73,0.366,3.34,4.66,2.44,-0.0175,Calm,Calm
2.72,0.367,3.37,4.8,2.26,-0.0169,Calm,Calm
2.76,0.362,3.37,4.81,2.43,-0.0164,Calm,Calm
3.02,0.331,3.34,4.66,2.49,-0.0129,Calm,Calm
3.11,0.321,3.32,4.65,2.44,-0.0173,Calm,Calm
3.17,0.315,3.27,4.75,2.34,-0.0161,Calm,Calm
3.25,0.307,3.17,4.77,2.32,-0.0083,Calm,Calm
3.25,0.307,3.22,4.77,2.22,0.000093,Calm,Calm
3.22,0.31,3.14,4.81,2.16,0.00063,Calm,Calm
3.31,0.302,3.16,4.75,2.25,-0.000108,Calm,Calm
3.42,0.293,3.34,4.8,2.21,0.00797,Calm,Calm
3.53,0.283,3.21,4.88,2.17,0.0172,Calm,Calm
3.57,0.28,3.23,4.75,2.13,0.0168,Calm,Calm
3.54,0.282,3.22,4.64,1.87,0.0126,Calm,Calm
3.52,0.284,3.22,4.62,1.82,0.0122,Calm,Calm
3.46,0.289,3.13,4.35,1.84,0.0223,Calm,Calm
3.36,0.297,2.99,4.13,1.86,0.0261,Calm,Calm
3.34,0.3,2.95,4.13,1.85,0.0193,Calm,Calm
