alpha,arousal1,beta,theta,gamma,valence1,Stimuli (Audio),Response
4.466,0.224,5.224,5.443,4.449,-0.012,Happy,Happy
4.505,0.222,5.241,5.48,4.5,-0.01,Happy,Happy
4.529,0.221,5.266,5.459,4.639,-0.009,Happy,Happy
4.507,0.222,5.282,5.443,4.733,-0.01,Happy,Happy
4.519,0.221,5.286,5.396,4.749,-0.01,Happy,Happy
4.488,0.223,5.246,5.341,4.578,-0.011,Happy,Happy
4.436,0.225,5.233,5.405,4.564,-0.011,Happy,Happy
4.418,0.226,5.224,5.448,4.238,-0.011,Happy,Happy
4.392,0.228,4.425,5.413,4.197,-0.011,Happy,Happy
4.036,0.248,4.169,5.343,3.927,-0.012,Happy,Happy
3.355,0.298,4.145,5.238,3.919,-0.02,Happy,Happy
3.118,0.321,4.085,5.213,3.923,-0.031,Happy,Happy
2.927,0.342,3.967,5.208,3.833,-0.033,Happy,Happy
2.997,0.334,3.942,5.263,3.544,-0.001,Happy,Happy
3.146,0.318,3.931,5.319,3.204,0.014,Happy,Happy
3.311,0.302,3.9,5.353,3.293,0.013,Happy,Happy
3.464,0.289,3.789,5.336,3.388,0.012,Happy,Happy
3.488,0.287,3.751,5.253,3.391,0.011,Happy,Happy
3.479,0.287,3.739,5.236,3.176,0.011,Happy,Happy
3.456,0.289,3.791,5.222,3.15,0.016,Happy,Happy
3.451,0.29,3.799,5.093,3.428,0.028,Happy,Happy
3.449,0.29,3.894,5.013,3.406,0.027,Happy,Happy
3.458,0.289,4.238,5.036,3.43,0.015,Happy,Happy
3.386,0.295,4.51,4.986,3.546,-0.003,Happy,Happy
3.319,0.301,4.485,4.913,3.564,-0.018,Happy,Happy
3.336,0.3,4.656,4.898,3.61,-0.011,Happy,Happy
3.298,0.303,4.694,4.827,3.6,-0.003,Happy,Happy
3.181,0.314,4.731,4.655,3.592,-0.001,Happy,Happy
3.197,0.313,4.699,4.569,3.579,-0.006,Happy,Happy
3.289,0.304,4.709,4.612,3.66,-0.014,Happy,Happy
3.4,0.294,4.697,4.612,3.629,-0.02,Happy,Happy
3.493,0.286,4.638,4.466,3.517,-0.02,Happy,Happy
3.525,0.284,4.597,4.257,3.514,-0.017,Happy,Happy
3.493,0.286,4.209,4.15,3.495,-0.009,Happy,Happy
3.484,0.287,4.153,4.125,3.389,0.003,Happy,Happy
3.495,0.286,4.012,4.132,3.341,0.001,Happy,Happy
3.388,0.295,3.819,4.101,3.292,-0.025,Happy,Happy
3.282,0.305,3.695,4.018,3.334,-0.046,Happy,Happy
3.248,0.308,3.812,3.871,3.34,-0.041,Happy,Happy
3.18,0.314,3.862,3.724,3.351,-0.024,Happy,Happy
3.002,0.333,3.871,3.577,3.264,-0.008,Happy,Happy
2.878,0.347,3.833,3.605,3.374,0.01,Happy,Happy
2.826,0.354,3.859,3.729,4.208,0.045,Happy,Happy
2.819,0.355,4.517,3.711,5.039,0.089,Happy,Happy
2.887,0.346,4.755,4.072,5.231,0.084,Happy,Happy
2.984,0.335,4.86,4.828,5.279,0.065,Happy,Happy
3.381,0.296,4.884,5.154,5.454,0.037,Happy,Happy
3.61,0.277,4.897,5.201,5.48,0.026,Happy,Happy
3.747,0.267,4.856,5.175,5.454,0.019,Happy,Happy
3.879,0.258,4.865,5.16,5.448,0.013,Happy,Happy
3.977,0.251,4.956,5.165,5.463,0.012,Happy,Happy
3.992,0.251,5.009,5.168,5.495,0.018,Happy,Happy
