alpha,arousal1,beta,theta,gamma,valence1,Stimuli (Audio),Response
3.352,0.298,3.742,4.365,1.775,0.002,Happy,Calm
3.249,0.308,3.865,4.337,1.749,0.005,Happy,Calm
3.015,0.332,3.917,4.246,1.825,0.002,Happy,Calm
2.892,0.346,3.97,4.117,1.823,-0.006,Happy,Calm
2.805,0.357,3.917,4.071,1.741,-0.01,Happy,Calm
2.652,0.377,3.947,4.126,1.781,-0.012,Happy,Calm
2.547,0.393,3.951,4.114,1.754,-0.006,Happy,Calm
2.443,0.409,4.003,3.838,1.748,0.007,Happy,Calm
2.298,0.435,3.986,3.849,1.827,0.021,Happy,Calm
2.248,0.445,3.953,4.283,1.906,0.02,Happy,Calm
2.398,0.417,3.831,4.605,1.807,-0.018,Happy,Calm
2.574,0.388,3.756,4.747,1.751,-0.036,Happy,Calm
2.702,0.37,3.635,4.813,1.681,-0.041,Happy,Calm
2.797,0.358,3.51,4.856,1.563,-0.05,Happy,Calm
2.805,0.356,3.514,4.891,1.624,-0.063,Happy,Calm
2.787,0.359,3.567,4.959,1.682,-0.072,Happy,Calm
2.776,0.36,3.567,5.013,1.669,-0.075,Happy,Calm
2.754,0.363,3.393,5.008,1.741,-0.097,Happy,Calm
2.776,0.36,3.404,4.981,1.755,-0.109,Happy,Calm
2.851,0.351,3.34,4.889,1.668,-0.105,Happy,Calm
2.895,0.345,3.357,4.752,1.924,-0.106,Happy,Calm
2.761,0.362,3.615,4.623,1.954,-0.101,Happy,Calm
2.61,0.383,3.694,4.549,2.055,-0.088,Happy,Calm
2.574,0.388,3.71,4.582,2.059,-0.084,Happy,Calm
2.491,0.402,3.715,4.555,2.051,-0.072,Happy,Calm
2.419,0.413,3.675,4.457,2.045,-0.031,Happy,Calm
2.671,0.374,3.574,4.276,2.01,0.007,Happy,Calm
2.956,0.338,3.592,4.164,2.055,0.013,Happy,Calm
3.184,0.314,3.517,4.406,2.078,0.004,Happy,Calm
3.407,0.294,3.508,4.647,2.068,-0.007,Happy,Calm
3.443,0.29,3.501,4.655,1.968,-0.01,Happy,Calm
3.501,0.286,3.29,4.67,1.779,-0.008,Happy,Calm
3.53,0.283,3.137,4.743,1.814,-0.008,Happy,Calm
3.536,0.283,3.184,4.705,1.743,-0.019,Happy,Calm
3.525,0.284,3.474,4.689,1.848,-0.024,Happy,Calm
3.529,0.283,3.581,4.77,1.857,-0.028,Happy,Calm
3.468,0.288,3.601,4.788,1.854,-0.038,Happy,Calm
3.381,0.296,3.622,4.795,1.87,-0.059,Happy,Calm
3.343,0.299,3.704,4.743,1.827,-0.077,Happy,Calm
3.181,0.314,3.836,4.558,1.844,-0.112,Happy,Calm
3.114,0.321,3.989,4.496,1.928,-0.14,Happy,Calm
3.059,0.327,4.123,4.47,1.987,-0.134,Happy,Calm
2.969,0.337,4.074,4.258,1.846,-0.161,Happy,Calm
2.915,0.343,4.058,4.066,1.805,-0.182,Happy,Calm
2.935,0.341,3.997,4.047,1.797,-0.168,Happy,Calm
2.92,0.342,3.835,3.88,1.777,-0.149,Happy,Calm
2.925,0.342,3.859,3.683,1.745,-0.14,Happy,Calm
2.962,0.338,3.876,3.638,1.932,-0.131,Happy,Calm
3.187,0.314,4.368,4.59,3.461,0.015,Sad,Happy
3.292,0.304,4.888,4.756,5.898,0.008,Sad,Happy
3.423,0.292,5.712,4.764,6.093,0.003,Sad,Happy
3.832,0.261,5.862,4.708,6.107,-0.006,Sad,Happy
4.432,0.226,5.868,4.76,6.115,-0.006,Sad,Happy
4.779,0.209,5.84,4.802,6.118,-0.004,Sad,Happy
4.873,0.205,5.842,4.818,6.121,-0.005,Sad,Happy
4.866,0.205,5.903,4.746,6.124,-0.004,Sad,Happy
4.957,0.202,5.998,4.583,6.135,0,Sad,Happy
5.173,0.193,6.177,4.53,6.173,-0.003,Sad,Happy
5.33,0.188,6.195,4.624,6.184,-0.004,Sad,Happy
5.397,0.185,6.219,4.782,5.973,-0.003,Sad,Happy
5.396,0.185,5.994,4.986,4.82,-0.002,Sad,Happy
5.682,0.176,5.794,6.314,4.755,-0.004,Sad,Happy
6.09,0.164,6.092,7.694,4.827,-0.007,Sad,Happy
6.247,0.16,6.296,8.245,4.83,-0.008,Sad,Happy
6.706,0.149,6.313,8.489,4.803,-0.007,Sad,Happy
7.046,0.142,6.289,8.654,4.811,-0.006,Sad,Happy
7.134,0.14,6.237,8.743,4.804,-0.006,Sad,Happy
7.124,0.14,6.179,8.789,4.705,-0.006,Sad,Happy
7.096,0.141,5.995,8.808,4.597,-0.007,Sad,Happy
7.071,0.141,5.97,8.81,4.569,-0.007,Sad,Happy
7.065,0.142,5.906,8.82,4.107,-0.007,Sad,Happy
7.057,0.142,5.884,8.858,3.818,-0.007,Sad,Happy
6.954,0.144,5.623,8.811,3.65,-0.007,Sad,Happy
6.82,0.147,4.951,8.52,3.252,-0.007,Sad,Happy
6.552,0.153,4.279,8.093,3.186,-0.007,Sad,Happy
5.892,0.17,4.079,7.587,3.126,-0.01,Sad,Happy
4.838,0.207,4.1,7.236,3.075,-0.018,Sad,Happy
3.992,0.251,4.086,7.038,3.008,-0.03,Sad,Happy
3.931,0.254,3.947,6.802,2.994,-0.03,Sad,Happy
3.872,0.258,4.002,6.638,2.92,-0.034,Sad,Happy
3.863,0.259,3.944,6.604,2.425,-0.034,Sad,Happy
3.771,0.265,3.68,6.45,2.383,-0.039,Sad,Happy
3.524,0.284,3.671,5.776,2.321,-0.051,Sad,Happy
3.237,0.309,3.548,4.973,2.211,-0.062,Sad,Happy
2.961,0.338,3.562,4.779,2.071,-0.07,Sad,Happy
2.52,0.397,3.544,4.48,2.061,-0.101,Sad,Happy
2.342,0.427,3.473,4.294,2.056,-0.099,Sad,Happy
2.381,0.42,3.536,4.375,1.999,-0.073,Sad,Happy
2.431,0.411,3.582,4.547,1.952,-0.056,Sad,Happy
2.437,0.41,3.56,4.629,1.934,-0.056,Sad,Happy
2.545,0.393,3.473,4.657,1.799,-0.035,Sad,Happy
2.671,0.374,3.486,4.679,1.791,0.012,Sad,Happy
2.692,0.372,3.373,4.821,1.952,0.049,Sad,Happy
2.812,0.356,3.297,5.041,1.897,0.03,Sad,Happy
3.094,0.323,3.435,5.138,1.929,0.003,Sad,Happy
3.284,0.305,3.473,5.149,1.957,0.005,Sad,Happy
3.317,0.301,3.478,5.204,1.9,0.008,Sad,Happy
3.3,0.303,3.556,5.227,1.904,0.006,Sad,Happy
3.269,0.306,3.435,5.147,1.779,0.006,Sad,Happy
3.258,0.307,3.441,5.024,1.8,0.004,Sad,Happy
3.295,0.303,3.468,4.926,1.744,-0.006,Sad,Happy
3.255,0.307,3.724,4.87,1.812,-0.021,Sad,Happy
3.159,0.317,3.764,4.851,1.801,-0.037,Sad,Happy
3.108,0.322,3.816,4.705,1.635,-0.041,Sad,Happy
2.956,0.338,3.828,4.463,1.745,-0.044,Sad,Happy
2.652,0.377,3.675,4.202,1.756,-0.057,Sad,Happy
2.495,0.401,3.669,4.019,1.886,-0.081,Sad,Happy
2.519,0.397,3.639,3.973,1.954,-0.087,Sad,Happy
2.502,0.4,3.575,4,2.121,-0.081,Sad,Happy
2.572,0.389,3.651,4.011,2.33,-0.073,Sad,Happy
2.583,0.387,3.657,3.98,2.26,-0.071,Sad,Happy
2.598,0.385,3.573,3.979,2.243,-0.063,Sad,Happy
2.603,0.384,3.301,4.016,2.187,-0.06,Sad,Happy
2.62,0.382,3.434,4.08,2.221,-0.067,Sad,Happy
2.724,0.367,3.333,4.096,2.303,-0.071,Sad,Happy
2.823,0.354,3.511,4.001,2.423,-0.074,Sad,Happy
2.758,0.363,3.563,3.826,2.526,-0.081,Sad,Happy
2.728,0.367,3.663,3.622,2.518,-0.079,Sad,Happy
2.708,0.369,3.839,3.538,2.533,-0.066,Sad,Happy
2.676,0.374,3.91,3.542,2.368,-0.07,Sad,Happy
2.665,0.375,3.887,3.622,2.328,-0.068,Sad,Happy
2.596,0.385,3.967,3.708,2.353,-0.051,Sad,Happy
2.563,0.39,3.999,3.701,2.533,-0.03,Sad,Happy
2.678,0.373,4.209,3.665,3.081,-0.024,Sad,Happy
2.767,0.361,4.415,3.54,3.666,-0.023,Sad,Happy
2.935,0.341,4.593,3.499,3.729,0,Sad,Happy
3.364,0.297,4.532,3.847,3.838,0.006,Sad,Happy
3.635,0.275,4.549,4.083,3.881,0.013,Sad,Happy
3.797,0.263,4.494,4.231,4.005,0.013,Sad,Happy
3.852,0.26,4.44,4.342,4.129,0.01,Sad,Happy
3.848,0.26,4.553,4.396,4.313,0.01,Sad,Happy
3.836,0.261,4.596,4.384,4.331,0.01,Sad,Happy
3.826,0.261,4.577,4.411,4.439,0.007,Sad,Happy
3.836,0.261,4.55,4.439,4.465,0.002,Sad,Happy
3.821,0.262,4.422,4.425,4.271,0.002,Sad,Happy
3.787,0.264,4.463,4.401,4.212,0.006,Sad,Happy
3.646,0.274,4.435,4.332,4.189,0.007,Sad,Happy
3.367,0.297,4.468,4.178,4.129,-0.01,Sad,Happy
2.954,0.339,4.635,4.045,4.144,-0.063,Sad,Happy
2.663,0.376,4.743,4.004,4.264,-0.115,Sad,Happy
2.955,0.338,4.918,4.007,4.149,-0.065,Sad,Happy
3.562,0.281,4.882,4.282,4.094,-0.023,Sad,Happy
3.791,0.264,4.956,4.564,4.098,-0.013,Sad,Happy
3.789,0.264,4.995,4.624,3.917,-0.009,Sad,Happy
3.845,0.26,5.065,4.634,3.914,0.001,Sad,Happy
3.93,0.254,5.072,4.662,3.766,0.006,Sad,Happy
3.949,0.253,4.999,4.691,3.728,0.003,Sad,Happy
3.935,0.254,4.981,4.701,3.684,0.005,Sad,Happy
3.892,0.257,4.911,4.68,3.594,0.011,Sad,Happy
3.887,0.257,4.791,4.621,3.468,0.012,Sad,Happy
3.899,0.256,4.612,4.535,2.711,0.007,Sad,Happy
3.802,0.263,4.481,4.407,2.418,0.001,Sad,Happy
3.364,0.297,4.339,4.109,2.275,-0.003,Sad,Happy
3.182,0.314,4.201,3.837,2.014,-0.013,Sad,Happy
3.929,0.255,4.634,4.09,5.293,0.036,Agressive,Sad
4.015,0.249,4.453,4.073,5.457,0.031,Agressive,Sad
3.992,0.25,4.485,4.073,5.758,0.03,Agressive,Sad
3.953,0.253,4.612,4.1,5.823,0.032,Agressive,Sad
4.009,0.249,4.651,4.197,5.863,0.044,Agressive,Sad
4.108,0.243,4.687,4.263,5.861,0.059,Agressive,Sad
4.028,0.248,4.563,4.167,5.859,0.074,Agressive,Sad
3.923,0.255,4.701,4.037,5.836,0.09,Agressive,Sad
3.887,0.257,4.63,4.115,5.841,0.088,Agressive,Sad
3.929,0.255,4.592,4.39,5.787,0.066,Agressive,Sad
3.927,0.255,4.809,4.42,5.729,0.053,Agressive,Sad
3.845,0.26,4.93,4.405,5.601,0.056,Agressive,Sad
3.829,0.261,4.94,4.64,5.575,0.072,Agressive,Sad
3.862,0.259,4.995,4.724,5.351,0.064,Agressive,Sad
4.015,0.249,4.96,4.738,5.336,0.034,Agressive,Sad
3.883,0.258,4.932,4.687,5.299,0.016,Agressive,Sad
3.744,0.267,4.902,4.64,5.537,-0.015,Agressive,Sad
3.888,0.257,5.423,4.703,5.942,-0.028,Agressive,Sad
4.176,0.239,5.933,4.779,6.006,-0.022,Agressive,Sad
4.501,0.222,6.037,4.739,5.999,-0.021,Agressive,Sad
4.612,0.217,6.543,4.75,6.256,-0.022,Agressive,Sad
4.766,0.21,6.729,5.422,6.276,-0.011,Agressive,Sad
5.323,0.188,6.752,5.759,6.239,-0.003,Agressive,Sad
5.612,0.178,6.775,5.803,6.187,-0.004,Agressive,Sad
5.618,0.178,6.771,5.977,6.13,-0.004,Agressive,Sad
5.67,0.176,6.783,6.054,6.169,-0.002,Agressive,Sad
5.701,0.175,6.792,6.078,6.159,-0.002,Agressive,Sad
5.691,0.176,6.797,6.196,5.924,-0.001,Agressive,Sad
5.659,0.177,6.537,6.307,5.595,0,Agressive,Sad
5.59,0.179,6.48,6.34,5.545,0,Agressive,Sad
5.497,0.182,6.376,6.369,5.009,0.002,Agressive,Sad
5.458,0.183,5.775,6.371,4.553,0.003,Agressive,Sad
5.241,0.191,5.254,6.149,4.445,-0.002,Agressive,Sad
4.492,0.223,5.213,5.911,4.458,-0.004,Agressive,Sad
4.193,0.239,5.159,5.722,4.472,0.015,Agressive,Sad
4.188,0.239,5.095,5.511,4.42,0.03,Agressive,Sad
3.877,0.258,5.009,5.494,4.147,0.054,Agressive,Sad
3.853,0.26,5.042,5.339,4.167,0.052,Agressive,Sad
3.813,0.262,4.985,4.871,4.075,0.056,Agressive,Sad
3.762,0.266,4.969,4.384,4.143,0.055,Agressive,Sad
3.752,0.267,4.823,4.192,4.109,0.05,Agressive,Sad
3.735,0.268,4.712,3.867,4.097,0.05,Agressive,Sad
3.89,0.257,4.725,3.7,4.129,0.04,Agressive,Sad
3.994,0.25,4.557,3.755,4.308,0.037,Agressive,Sad
3.882,0.258,4.54,3.735,4.322,0.042,Agressive,Sad
3.641,0.275,4.436,3.825,4.29,0.034,Agressive,Sad
3.574,0.28,4.451,3.904,4.258,0.009,Agressive,Sad
3.676,0.272,4.433,4.005,4.183,-0.001,Agressive,Sad
3.742,0.267,4.367,4.107,4.145,-0.006,Agressive,Sad
3.724,0.268,4.424,4.1,4.079,-0.009,Agressive,Sad
3.713,0.269,4.337,4.006,3.911,-0.006,Agressive,Sad
3.758,0.266,4.263,4.035,3.799,-0.004,Agressive,Sad
3.828,0.261,4.367,4.176,3.625,-0.007,Agressive,Sad
3.742,0.267,4.361,4.334,3.506,-0.004,Agressive,Sad
3.728,0.268,4.634,4.439,2.974,0.014,Agressive,Sad
3.773,0.265,4.557,4.429,2.74,0.018,Agressive,Sad
3.759,0.266,4.521,4.434,2.798,0.013,Agressive,Sad
3.664,0.273,4.486,4.502,2.872,0.011,Agressive,Sad
3.512,0.285,4.405,4.469,3.012,0.015,Agressive,Sad
3.449,0.29,4.313,4.394,2.928,0.026,Agressive,Sad
3.512,0.285,4.461,4.394,2.869,0.026,Agressive,Sad
3.617,0.276,4.677,4.384,3.016,0.016,Agressive,Sad
3.604,0.277,4.862,4.342,3.051,0.012,Agressive,Sad
3.486,0.287,4.933,4.328,3.026,0.014,Agressive,Sad
3.278,0.305,4.884,4.294,2.994,0.003,Agressive,Sad
3.2,0.312,5.019,4.256,3.076,-0.004,Agressive,Sad
3.371,0.297,5.051,4.268,3.059,0.01,Agressive,Sad
3.384,0.296,5.069,4.188,2.906,0.018,Agressive,Sad
3.334,0.3,5.078,4.09,2.839,0.025,Agressive,Sad
3.342,0.299,5.096,4.25,2.742,0.021,Agressive,Sad
3.371,0.297,5.103,4.363,2.699,0.019,Agressive,Sad
3.281,0.305,4.995,4.353,2.43,0.024,Agressive,Sad
3.118,0.321,4.801,4.404,2.239,0.051,Agressive,Sad
3.163,0.316,4.553,4.366,2.212,0.083,Agressive,Sad
3.386,0.295,4.48,4.2,2.196,0.078,Agressive,Sad
3.588,0.279,4.292,4.053,2.106,0.048,Agressive,Sad
3.582,0.279,3.938,4.049,1.969,0.019,Agressive,Sad
3.485,0.287,4.136,4.051,2.003,0.002,Agressive,Sad
3.519,0.284,4.161,3.968,1.972,-0.004,Agressive,Sad
3.616,0.277,4.135,3.812,2.027,-0.001,Agressive,Sad
3.67,0.272,4.081,3.504,1.987,0.005,Agressive,Sad
3.648,0.274,4.144,3.469,1.973,0.006,Agressive,Sad
3.631,0.275,4.13,3.611,1.975,0.003,Agressive,Sad
3.617,0.276,4.14,3.617,1.991,-0.006,Agressive,Sad
3.5,0.286,4.224,3.758,1.821,-0.029,Agressive,Sad
3.242,0.308,4.256,3.765,1.925,-0.051,Agressive,Sad
3.025,0.331,4.288,3.743,2.028,-0.043,Agressive,Sad
2.916,0.343,4.203,3.79,2.057,-0.012,Agressive,Sad
2.819,0.355,4.024,3.797,2.239,0.013,Agressive,Sad
2.591,0.386,4.039,3.79,2.276,0.047,Agressive,Sad
2.244,0.446,4.112,3.832,2.311,0.058,Agressive,Sad
2.079,0.481,4.072,3.886,2.377,0.044,Agressive,Sad
2.061,0.485,4.035,3.857,2.525,0.043,Agressive,Sad
1.899,0.526,4.114,3.915,2.804,0.075,Agressive,Sad
1.906,0.525,4.241,3.962,2.821,0.087,Agressive,Sad
2.354,0.425,4.078,4.226,2.81,0.025,Agressive,Sad
2.873,0.348,4.122,4.536,2.803,-0.004,Agressive,Sad
2.937,0.34,4.202,4.639,2.76,0.009,Agressive,Sad
3.238,0.309,4.272,4.798,2.706,0.03,Agressive,Sad
3.81,0.262,4.48,4.907,2.598,0.017,Agressive,Sad
4.15,0.241,4.516,4.927,2.569,0.007,Agressive,Sad
4.189,0.239,4.532,4.934,2.546,0.004,Agressive,Sad
4.197,0.238,4.532,4.907,2.493,0.005,Agressive,Sad
4.199,0.238,4.525,4.984,1.974,0.005,Agressive,Sad
4.225,0.237,4.411,5.07,1.813,0,Agressive,Sad
4.235,0.236,4.402,4.982,1.853,-0.003,Agressive,Sad
4.137,0.242,4.379,4.824,1.841,0.001,Agressive,Sad
