alpha,arousal1,betha,theta,gamma,valence1
3.3,0.303,3.38,3.58,2.18,-0.0211
3.36,0.298,3.38,4.02,2.23,-0.00237
3.42,0.293,3.39,4.29,2.42,0.00173
3.37,0.297,3.38,4.45,2.42,0.00359
3.38,0.296,3.29,4.89,2.45,0.00983
3.52,0.284,3.08,5.23,2.43,-0.00393
3.61,0.277,2.96,5.31,2.33,-0.0224
3.54,0.282,2.93,5.33,2.27,-0.0353
3.56,0.281,2.8,5.34,2.24,-0.024
3.71,0.269,2.7,5.33,2.18,-0.00678
3.92,0.255,3.1,5.31,2.1,0.00138
4.01,0.249,3.21,5.27,2.16,-0.00121
3.99,0.25,3.28,5.16,2.26,-0.00904
3.99,0.251,3.28,5.1,2.02,-0.0123
3.96,0.252,3.33,5.03,1.95,-0.0133
3.95,0.253,3.36,4.59,1.86,-0.0126
3.93,0.254,3.26,3.94,1.92,-0.000265
4,0.25,3.32,4.02,1.92,0.0119
4.01,0.25,3.31,4.16,1.97,0.0152
3.9,0.257,3.32,4.19,1.98,0.0126
3.74,0.268,3.1,4.33,2.04,0.00376
3.6,0.278,2.93,4.58,2.04,0.00232
3.63,0.275,2.75,4.62,2.07,0.0134
3.67,0.272,2.69,4.6,2.02,0.0298
3.74,0.268,2.74,4.75,2.07,0.043
3.84,0.261,2.58,5.03,2.13,0.0499
3.82,0.262,2.61,5.16,2.16,0.0546
3.72,0.269,2.81,5.13,2.27,0.058
3.62,0.276,2.91,5.04,2.27,0.0601
3.71,0.269,2.99,4.99,2.3,0.0492
3.75,0.266,3.05,4.99,2.46,0.0452
3.71,0.27,3.22,4.86,2.53,0.0488
3.54,0.283,3.3,4.7,2.61,0.0489
3.4,0.295,3.44,4.67,2.65,0.0302
3.37,0.297,3.52,4.62,2.54,0.00661
3.29,0.304,3.57,4.24,2.53,-0.00953
3.09,0.324,3.55,3.4,2.52,-0.0252
2.78,0.36,3.59,2.85,2.43,-0.0489
2.68,0.373,3.48,2.9,2.43,-0.052
2.44,0.41,3.42,2.73,2.43,-0.0705
2.01,0.498,3.56,2.73,2.38,-0.102
2.07,0.483,3.49,2.64,2.28,-0.0921
2.45,0.408,3.39,2.51,2.24,-0.0652
2.67,0.374,3.27,2.74,2.08,-0.0384
2.7,0.371,3.19,3.41,2.06,-0.0158
2.69,0.371,3.16,4.4,2.11,-0.00386
3.19,0.313,3.09,4.99,2.09,0.0045
3.67,0.273,3.2,5.09,2.12,0.0163
3.93,0.254,3.15,5.14,2.08,0.0189
4.07,0.246,3.12,5.22,2.06,0.0199
4.09,0.244,3.07,5.25,2.08,0.0212
4.12,0.243,2.97,5.26,2.24,0.0201
4.12,0.243,2.93,5.26,2.28,0.022
4.08,0.245,3.01,5.26,2.29,0.025
4.09,0.244,3.37,5.26,2.37,0.0235
4.22,0.237,3.44,5.23,2.28,0.0158
4.24,0.236,3.43,4.98,2.29,0.0103
4.08,0.245,3.38,4.57,2.3,0.00538
3.84,0.261,3.38,4.56,2.21,0.000244
3.52,0.284,3.41,4.63,2.22,-0.0153
3.52,0.284,3.46,4.63,2.2,-0.0218
3.63,0.276,3.47,4.64,2.02,-0.015
3.64,0.275,3.64,4.69,2.07,-0.0115
3.69,0.271,3.67,5.19,2.11,-0.00401
3.9,0.256,3.52,5.6,1.97,0.00868
3.94,0.254,3.29,5.69,1.8,0.0189
3.79,0.264,3.23,5.67,1.94,0.0389
3.71,0.269,3.31,5.64,1.94,0.0536
3.78,0.265,3.43,5.58,1.94,0.0505
3.83,0.261,3.41,5.5,2.03,0.0471
3.78,0.265,3.46,5.45,2.08,0.0481
3.65,0.274,3.45,5.45,2.07,0.0503
3.59,0.279,3.3,5.45,2.09,0.0488
3.51,0.285,3.24,5.29,2.22,0.0479
3.28,0.305,3.2,4.69,2.16,0.0436
2.94,0.34,3.2,4.16,2.18,0.0368
2.57,0.389,3.28,4.16,2.2,-0.0189
2.62,0.381,3.29,4.17,2.13,-0.0467
2.62,0.382,3.34,4.08,2.23,-0.0537
2.56,0.391,3.25,4.31,2.23,-0.0774
2.59,0.386,3.14,4.76,2.12,-0.0715
2.65,0.377,3.14,5,2.18,-0.0446
2.64,0.378,3.1,5.05,2.25,-0.0287
2.64,0.379,3.08,5.07,2.2,-0.0282
2.63,0.381,3.01,5.08,2.08,-0.0259
2.65,0.378,3.06,5.01,2.06,-0.0217
2.69,0.371,3.27,4.93,2.11,-0.00864
2.8,0.358,3.27,4.89,2.14,0.0118
2.98,0.336,3.25,4.87,2.03,0.0244
3.05,0.328,3.01,4.9,1.97,0.0298
3.03,0.33,2.95,4.76,1.99,0.0279
3.08,0.325,2.93,4.22,1.99,0.0249
3.18,0.314,2.9,3.55,1.9,0.0217
3.28,0.305,3.04,3.9,1.83,0.02
3.46,0.289,3.06,4.73,1.85,0.017
3.59,0.278,3.12,5.15,1.87,0.0122
3.63,0.275,3.03,5.22,1.87,0.0099
3.58,0.279,2.64,5.21,1.82,0.0101
3.52,0.284,2.65,5.24,1.86,0.0101
3.53,0.283,2.83,5.32,1.86,0.0166
3.5,0.286,2.85,5.38,1.86,0.028
3.44,0.291,2.94,5.43,1.95,0.0358
3.33,0.3,3.1,5.44,2.08,0.0405
3.29,0.304,3.15,5.43,2.01,0.0394
3.23,0.31,3.07,5.3,2.02,0.0463
3.04,0.329,3.03,4.83,2.11,0.0649
2.82,0.355,3.02,4.29,2.12,0.11
3.62,0.276,3.75,3.6,2.46,0.0282
3.63,0.276,3.73,3.37,2.43,0.0292
3.39,0.295,3.7,3.44,2.38,0.0301
3.07,0.326,3.6,3.45,2.37,0.0183
3.1,0.322,3.63,3.51,2.3,-0.0109
3.44,0.291,3.57,3.45,2.13,-0.0294
3.7,0.27,3.52,3.47,1.98,-0.0365
3.81,0.262,3.69,3.61,1.99,-0.0362
3.84,0.261,3.61,3.55,2,-0.0299
3.86,0.259,3.66,3.63,1.96,-0.0267
3.83,0.261,3.36,3.69,1.81,-0.025
3.83,0.261,3.44,3.62,1.87,-0.0205
3.8,0.263,3.44,3.44,1.88,-0.0177
3.79,0.264,3.47,3.41,1.94,-0.0172
3.82,0.262,3.33,3.43,1.88,-0.015
3.74,0.268,3.38,3.3,1.9,-0.0127
3.37,0.297,3.43,3.26,1.88,0.00344
2.93,0.341,3.45,3.24,1.75,0.0667
2.84,0.352,3.2,3.92,1.7,0.0738
2.72,0.368,3.18,4.28,1.69,0.043
2.83,0.353,3.14,4.41,1.68,0.025
2.78,0.359,3.15,4.62,1.78,0.0153
2.65,0.378,2.92,4.75,1.7,0.0115
2.56,0.391,2.97,4.77,1.88,0.00296
2.56,0.391,3.01,4.77,1.93,-0.00883
2.82,0.354,3.04,4.8,2.02,0.00291
2.96,0.337,2.88,4.82,2.1,0.0211
3,0.333,2.99,4.82,2.27,0.0119
3.17,0.315,3.03,4.71,2.32,-0.00517
3.23,0.31,3.02,4.43,2.5,-0.00198
3.17,0.315,2.97,4.19,2.53,0.0072
3.09,0.324,3.04,3.97,2.55,0.0103
2.99,0.334,3.28,3.62,2.52,0.00613
2.98,0.336,3.3,3.38,2.57,0.003
3.02,0.331,3.28,3.57,2.45,0.00568
2.9,0.345,3.25,4.43,2.37,0.0029
2.81,0.356,3.21,5.06,2.44,-0.0335
2.99,0.335,3.24,5.21,2.38,-0.0409
2.95,0.339,3.22,5.23,2.2,-0.031
2.65,0.377,3.2,5.27,2.2,-0.0077
2.58,0.387,3.23,5.3,2.04,0.0128
2.67,0.375,3.31,5.3,2.07,0.0302
2.83,0.353,3.1,5.3,2.04,0.0242
2.99,0.334,2.92,5.31,2.02,0.00887
3,0.333,2.85,5.32,1.95,0.00262
2.98,0.336,2.9,5.24,2.35,-0.0037
2.99,0.334,2.92,4.84,2.57,0.00948
2.79,0.358,3.12,4.1,2.46,0.0209
2.66,0.376,3.11,3.83,2.49,0.0222
2.82,0.355,3.02,3.93,2.46,0.0184
2.85,0.351,3.02,3.75,2.41,0.0199
2.8,0.357,3.03,3.76,2.39,0.0154
2.67,0.375,3.05,4.18,2.51,0.00857
