alpha,arousal1,betha,arousal2,theta,gamma,valence1,'Stimuli (Audio)',Response
2.95,0.338,3.06,1.04,4.56,2.17,-0.031,Sad,Calm
2.95,0.339,3.06,1.04,4.58,2.04,-0.0286,Sad,Calm
2.95,0.339,3.46,1.18,4.57,2.2,-0.0223,Sad,Calm
3.01,0.332,3.37,1.12,4.54,2.14,-0.0176,Sad,Calm
3.04,0.329,3.35,1.1,4.43,2.29,-0.0144,Sad,Calm
2.92,0.343,3.37,1.15,4.3,2.36,-0.0371,Sad,Calm
2.86,0.35,3.35,1.17,4.28,2.32,-0.0789,Sad,Calm
2.88,0.347,3.38,1.17,4.3,2.26,-0.082,Sad,Calm
2.85,0.351,3.36,1.18,4.19,2.33,-0.0723,Sad,Calm
2.86,0.349,3.33,1.16,3.97,2.31,-0.0617,Sad,Calm
2.81,0.356,3.33,1.19,3.81,2.24,-0.0504,Sad,Calm
2.67,0.374,3.33,1.25,3.63,2.26,-0.0369,Sad,Calm
2.54,0.394,3.29,1.3,3.43,2.38,-0.0226,Sad,Calm
2.42,0.413,2.7,1.11,3.27,2.27,-0.0252,Sad,Calm
2.32,0.432,2.78,1.2,3.19,2.29,-0.0536,Sad,Calm
2.23,0.449,2.75,1.23,3.23,2.12,-0.0713,Sad,Calm
2.08,0.48,2.72,1.31,3.36,2.13,-0.064,Sad,Calm
2.08,0.481,2.78,1.34,3.49,2.12,-0.0403,Sad,Calm
2.12,0.471,2.69,1.27,3.38,2.1,-0.0216,Sad,Calm
2.07,0.483,2.75,1.33,3.14,2.16,-0.0295,Sad,Calm
1.99,0.502,2.79,1.4,3.05,2.32,-0.062,Sad,Calm
1.98,0.505,3.46,1.75,3.16,2.28,-0.079,Sad,Calm
