alpha,arousal1,betha,arousal2,theta,gamma,valence1,'Stimuli (Audio)',Response
3.05,0.328,3.5,1.15,3.5,2.15,-0.0392,Agressive,Agressive
3.05,0.328,3.56,1.17,3.74,2.13,-0.0305,Agressive,Agressive
3.09,0.324,3.57,1.16,4.11,2.25,-0.0221,Agressive,Agressive
3.16,0.317,3.72,1.18,4.19,2.23,-0.0139,Agressive,Agressive
3.23,0.31,3.79,1.17,4.24,2.3,-0.00239,Agressive,Agressive
3.34,0.3,3.74,1.12,4.33,2.29,-0.00509,Agressive,Agressive
3.49,0.287,3.57,1.02,4.34,2.27,-0.00492,Agressive,Agressive
3.5,0.286,3.56,1.02,4.31,2.4,-0.00363,Agressive,Agressive
3.43,0.292,3.52,1.03,4.35,2.39,-0.000367,Agressive,Agressive
3.35,0.299,3.52,1.05,4.35,2.36,0.00388,Agressive,Agressive
3.15,0.318,3.45,1.1,4.26,2.37,0.00636,Agressive,Agressive
2.99,0.334,3.69,1.23,4.18,2.5,0.00928,Agressive,Agressive
2.94,0.34,3.69,1.25,3.89,2.51,0.00486,Agressive,Agressive
2.93,0.342,3.7,1.26,3.66,2.43,-0.00566,Agressive,Agressive
2.98,0.336,3.31,1.11,3.67,2.37,-0.0321,Agressive,Agressive
2.96,0.337,3.25,1.1,3.58,2.33,-0.0341,Agressive,Agressive
2.86,0.349,3.37,1.18,3.44,2.44,-0.0347,Agressive,Agressive
2.78,0.359,3.47,1.25,3.53,2.54,-0.0325,Agressive,Agressive
2.86,0.349,3.54,1.24,3.64,2.54,-0.0374,Agressive,Agressive
3.03,0.33,3.55,1.17,3.68,2.82,-0.0355,Agressive,Agressive
3.01,0.332,3.7,1.23,3.63,2.86,-0.0342,Agressive,Agressive
3.02,0.331,3.8,1.26,3.99,2.83,-0.0317,Agressive,Agressive
3.95,0.253,3.69,0.932,6.26,2.8,-0.0216,Agressive,Agressive
5.08,0.197,3.82,0.752,7.73,2.79,-0.00968,Agressive,Agressive
5.42,0.184,3.83,0.707,8.3,2.77,-0.00741,Agressive,Agressive
5.59,0.179,3.88,0.693,8.47,2.73,-0.00611,Agressive,Agressive
4.06,0.246,3.56,0.877,5.35,1.95,-0.0267,Agressive,Sad
4.2,0.238,3.63,0.864,5.42,2.01,-0.0231,Agressive,Sad
4.38,0.228,3.55,0.81,5.49,2,-0.0215,Agressive,Sad
4.37,0.229,3.56,0.814,5.51,2,-0.0229,Agressive,Sad
4.22,0.237,3.63,0.86,5.38,2.12,-0.0238,Agressive,Sad
4.14,0.242,3.63,0.876,5.07,2.13,-0.0238,Agressive,Sad
4.15,0.241,3.55,0.856,4.69,2.17,-0.0258,Agressive,Sad
4.14,0.242,3.5,0.845,4.51,2.17,-0.0256,Agressive,Sad
4.11,0.243,3.5,0.851,4.49,2.15,-0.0245,Agressive,Sad
4.08,0.245,3.42,0.839,4.5,2.03,-0.0251,Agressive,Sad
4,0.25,3.31,0.827,4.54,2.03,-0.0257,Agressive,Sad
3.9,0.256,3.38,0.866,4.52,2.01,-0.0263,Agressive,Sad
3.62,0.277,3.3,0.912,4.35,1.98,-0.0354,Agressive,Sad
2.92,0.343,3.29,1.13,4.07,1.91,-0.0582,Agressive,Sad
2.48,0.403,3.32,1.34,3.86,1.86,-0.0801,Agressive,Sad
2.55,0.392,3.19,1.25,3.77,1.63,-0.0519,Agressive,Sad
2.64,0.378,3.12,1.18,3.74,1.58,-0.0246,Agressive,Sad
2.63,0.381,3.15,1.2,3.72,1.52,0.00908,Agressive,Sad
2.65,0.377,3.12,1.18,3.63,1.49,0.0252,Agressive,Sad
2.67,0.374,3.16,1.18,3.53,1.53,0.0526,Agressive,Sad
2.61,0.383,3.17,1.21,3.35,1.48,0.0921,Agressive,Sad
2.57,0.388,3.12,1.21,3.05,1.42,0.0894,Agressive,Sad
2.48,0.403,2.97,1.2,2.64,1.33,0.0971,Agressive,Sad
2.5,0.4,3.32,1.33,2.46,1.4,0.0975,Agressive,Sad
2.77,0.361,3.25,1.17,2.48,1.51,0.0564,Agressive,Sad
2.77,0.36,3.22,1.16,2.55,1.49,0.0456,Agressive,Sad
2.72,0.367,3.23,1.19,2.69,1.51,0.0419,Agressive,Sad
2.72,0.368,3.24,1.19,2.71,1.52,0.0347,Agressive,Sad
2.68,0.373,3.22,1.2,2.71,1.71,0.0277,Agressive,Sad
2.69,0.372,3.16,1.18,2.78,1.71,-0.00307,Agressive,Sad
2.73,0.367,3.15,1.15,3.22,1.67,-0.0441,Agressive,Sad
2.81,0.356,3.27,1.16,3.74,1.8,-0.0689,Agressive,Sad
2.92,0.342,3.23,1.11,3.89,1.76,-0.0633,Agressive,Sad
3.06,0.327,3.01,0.984,3.87,1.76,-0.0438,Agressive,Sad
2.99,0.334,2.97,0.995,3.84,1.71,-0.0466,Agressive,Sad
2.85,0.351,3.02,1.06,3.82,1.69,-0.0504,Agressive,Sad
2.84,0.352,3.03,1.07,3.77,1.83,-0.036,Agressive,Sad
2.87,0.349,3.05,1.06,3.78,1.82,-0.023,Agressive,Sad
2.88,0.348,3,1.04,3.81,1.83,-0.0138,Agressive,Sad
2.89,0.346,2.99,1.03,3.81,1.69,-0.00297,Agressive,Sad
2.88,0.347,3.34,1.16,3.7,1.79,0.00671,Agressive,Sad
3.03,0.33,3.37,1.11,3.26,1.84,0.0173,Agressive,Sad
3.21,0.312,3.28,1.02,2.63,1.92,0.016,Agressive,Sad
3.25,0.308,3.25,0.999,2.37,2.04,0.00255,Agressive,Sad
3.16,0.316,3.37,1.07,2.28,2.03,-0.00388,Agressive,Sad
3.22,0.31,3.29,1.02,2.3,2.07,-0.00299,Agressive,Sad
3.34,0.3,3.26,0.977,2.47,2.05,-0.00969,Agressive,Sad
3.33,0.3,3.2,0.96,2.84,2,-0.0144,Agressive,Sad
3.31,0.302,3.36,1.01,3.06,2.07,-0.0142,Agressive,Sad
3.33,0.301,3.32,0.999,3.35,2.06,-0.0158,Agressive,Sad
3.35,0.299,3.24,0.967,3.67,2.08,-0.0178,Agressive,Sad
3.27,0.305,2.9,0.886,3.87,1.96,-0.0153,Agressive,Sad
3.09,0.323,3.1,1,3.93,1.9,0.000385,Agressive,Sad
2.98,0.335,3.2,1.07,4,1.76,0.035,Agressive,Sad
3.05,0.328,3.16,1.04,4.02,1.64,0.0509,Agressive,Sad
3.03,0.33,2.99,0.987,4.13,1.54,0.0509,Agressive,Sad
3.12,0.321,2.95,0.946,4.3,1.55,0.0617,Agressive,Sad
3.15,0.317,3.01,0.954,4.29,1.91,0.073,Agressive,Sad
3.28,0.305,3.15,0.96,4.28,1.85,0.0404,Agressive,Sad
3.53,0.284,2.98,0.846,4.64,1.83,0.0127,Agressive,Sad
3.71,0.27,3.19,0.861,4.91,1.76,0.0121,Agressive,Sad
3.86,0.259,3.26,0.847,4.9,1.77,0.0123,Agressive,Sad
3.89,0.257,3.28,0.844,4.89,1.78,0.00924,Agressive,Sad
3.9,0.256,3.05,0.78,4.96,1.83,0.00404,Agressive,Sad
3.85,0.26,2.98,0.773,5.01,2.02,-0.00206,Agressive,Sad
3.83,0.261,3,0.782,5.04,2.07,-0.00335,Agressive,Sad
3.79,0.264,3.03,0.799,4.99,2.13,-0.00436,Agressive,Sad
3.73,0.268,3.33,0.892,4.92,2.1,-0.00919,Agressive,Sad
3.69,0.271,3.24,0.877,4.95,1.97,-0.00666,Agressive,Sad
3.68,0.272,3.36,0.914,4.95,2.03,0.00862,Agressive,Sad
3.51,0.285,3.31,0.943,4.76,2.06,0.0194,Agressive,Sad
3.3,0.303,3.19,0.965,4.56,2.06,0.0205,Agressive,Sad
3.25,0.308,3.17,0.974,4.52,2.07,0.0152,Agressive,Sad
3.31,0.302,3.22,0.972,4.47,2.11,0.00917,Agressive,Sad
3.37,0.297,3.4,1.01,4.35,2.12,0.000119,Agressive,Sad
3.35,0.299,3.44,1.03,4.19,1.96,-0.00364,Agressive,Sad
3.39,0.295,3.49,1.03,4.12,1.94,-0.0137,Agressive,Sad
3.49,0.286,3.48,0.996,4.12,1.87,-0.0301,Agressive,Sad
3.51,0.285,3.31,0.941,4.13,1.89,-0.0402,Agressive,Sad
3.44,0.291,3.3,0.959,4.03,1.85,-0.0527,Agressive,Sad
3.29,0.304,3.2,0.973,3.63,1.75,-0.0766,Agressive,Sad
3.2,0.312,3.23,1.01,3.16,1.8,-0.0893,Agressive,Sad
3.23,0.31,3.27,1.01,3.1,2.01,-0.0836,Agressive,Sad
3.23,0.309,3.23,0.999,3.28,1.98,-0.0825,Agressive,Sad
3.1,0.323,3.27,1.06,3.47,2.02,-0.0932,Agressive,Sad
3.01,0.333,3.25,1.08,3.55,2.45,-0.105,Agressive,Sad
3.11,0.321,4.01,1.29,3.55,3.46,-0.0932,Agressive,Sad
3.02,0.331,4.3,1.42,3.69,3.64,-0.0763,Agressive,Sad
3.11,0.322,4.35,1.4,4.38,3.74,-0.0389,Agressive,Sad
3.46,0.289,4.46,1.29,4.61,3.77,-0.013,Agressive,Sad
3.79,0.264,4.47,1.18,4.58,3.83,0.0183,Agressive,Sad
3.95,0.253,4.47,1.13,4.64,3.84,0.0306,Agressive,Sad
4,0.25,4.53,1.13,4.73,3.86,0.0303,Agressive,Sad
3.97,0.252,4.66,1.17,4.7,3.88,0.0301,Agressive,Sad
3.9,0.256,4.66,1.19,4.67,3.9,0.0343,Agressive,Sad
3.91,0.256,4.63,1.19,4.71,3.9,0.0323,Agressive,Sad
3.94,0.254,4.63,1.18,4.74,3.46,0.0361,Agressive,Sad
4.03,0.248,4.25,1.05,4.74,3.17,0.0383,Agressive,Sad
4.09,0.245,4.04,0.988,4.58,3.02,0.0364,Agressive,Sad
4.01,0.249,4.54,1.13,4.26,3.73,0.0435,Agressive,Sad
5.82,0.172,9.38,1.61,7,6.94,-0.00123,Agressive,Sad
8.85,0.113,9.69,1.1,9.69,6.94,-0.00108,Agressive,Sad
9.86,0.101,9.71,0.984,10.9,6.94,-0.00076,Agressive,Sad
10.1,0.0986,9.71,0.957,11.3,6.94,-0.000732,Agressive,Sad
10.2,0.0982,9.71,0.953,11.4,6.96,-0.000743,Agressive,Sad
10.2,0.0981,9.71,0.952,11.4,6.97,-0.000747,Agressive,Sad
3,0.334,2.76,0.921,4.71,1.65,-0.0346,Calm,Happy
2.92,0.343,2.81,0.964,4.46,1.66,-0.0201,Calm,Happy
2.94,0.34,2.94,1,4.17,1.67,-0.02,Calm,Happy
2.98,0.336,3.27,1.1,4.16,1.74,-0.0194,Calm,Happy
2.98,0.335,3.55,1.19,4.21,1.71,-0.00941,Calm,Happy
3.08,0.324,3.64,1.18,4.09,1.74,0.00821,Calm,Happy
3.14,0.318,3.6,1.15,4,1.58,0.0155,Calm,Happy
2.96,0.338,3.54,1.2,4.4,1.6,0.021,Calm,Happy
2.89,0.346,3.54,1.22,4.78,1.65,0.00416,Calm,Happy
2.91,0.343,3.59,1.23,4.86,1.63,-0.00712,Calm,Happy
2.89,0.347,3.59,1.25,4.84,1.63,-0.00987,Calm,Happy
2.88,0.348,3.59,1.25,4.84,1.57,-0.0105,Calm,Happy
2.96,0.338,3.55,1.2,4.8,1.63,-0.00306,Calm,Happy
2.94,0.34,3.45,1.17,4.76,1.66,-0.00617,Calm,Happy
2.91,0.344,3.24,1.12,4.72,1.72,-0.0156,Calm,Happy
2.92,0.342,3,1.03,4.69,1.92,-0.014,Calm,Happy
2.88,0.347,2.9,1.01,4.73,1.91,-0.0252,Calm,Happy
2.94,0.34,2.95,1,4.54,1.9,-0.0354,Calm,Happy
2.94,0.34,2.96,1.01,3.88,1.88,-0.0284,Calm,Happy
2.92,0.343,2.95,1.01,3.24,1.84,-0.0133,Calm,Happy
2.98,0.336,2.86,0.961,3.29,1.82,0.00775,Calm,Happy
3.01,0.332,2.8,0.93,3.35,1.84,0.016,Calm,Happy
2.94,0.341,2.77,0.944,3.34,1.87,0.0221,Calm,Happy
2.87,0.348,3.05,1.06,3.3,1.92,0.03,Calm,Happy
3.01,0.333,2.99,0.996,3.28,1.87,0.0254,Calm,Happy
3.3,0.303,2.98,0.903,3.42,1.8,0.0115,Calm,Happy
3.36,0.298,2.99,0.889,3.49,1.66,0.00499,Calm,Happy
3.25,0.308,2.93,0.904,3.47,1.62,0.00257,Calm,Happy
3.17,0.316,2.93,0.925,3.5,1.74,0.0107,Calm,Happy
3.17,0.315,2.94,0.926,3.67,1.72,0.0206,Calm,Happy
3.18,0.314,2.95,0.927,3.93,1.74,0.0184,Calm,Happy
3.2,0.313,3,0.94,4,1.72,0.00518,Calm,Happy
3.28,0.305,2.98,0.908,4.04,1.69,-0.0178,Calm,Happy
3.37,0.296,2.94,0.872,4.09,1.64,-0.0295,Calm,Happy
3.36,0.298,2.58,0.769,4.07,1.62,-0.0338,Calm,Happy
3.2,0.312,2.49,0.777,4.05,1.48,-0.0423,Calm,Happy
2.93,0.342,2.52,0.86,3.97,1.39,-0.0597,Calm,Happy
2.75,0.364,2.47,0.899,3.85,1.44,-0.0674,Calm,Happy
2.76,0.362,2.51,0.909,3.88,1.52,-0.0741,Calm,Happy
2.77,0.361,2.67,0.963,3.93,1.57,-0.0936,Calm,Happy
2.71,0.369,2.76,1.02,3.79,1.6,-0.121,Calm,Happy
2.61,0.383,2.81,1.08,3.58,1.67,-0.141,Calm,Happy
2.45,0.408,2.89,1.18,3.61,1.69,-0.122,Calm,Happy
2.18,0.459,2.89,1.33,3.57,1.63,-0.0759,Calm,Happy
2.01,0.499,2.89,1.44,3.53,1.62,-0.0461,Calm,Happy
2.06,0.486,2.87,1.4,3.61,1.61,-0.027,Calm,Happy
2.17,0.46,2.84,1.3,3.72,1.61,-0.00114,Calm,Happy
2.12,0.472,2.71,1.28,3.73,1.67,-0.00374,Calm,Happy
2.15,0.466,2.88,1.34,3.74,1.68,-0.0183,Calm,Happy
2.16,0.463,2.94,1.36,3.64,1.47,0.00925,Calm,Happy
2.51,0.398,2.77,1.1,3.55,1.42,0.0246,Calm,Happy
2.74,0.365,2.75,1,3.46,1.47,0.0161,Calm,Happy
2.75,0.364,2.63,0.955,3.14,1.53,0.0109,Calm,Happy
2.73,0.366,2.57,0.94,2.85,1.65,0.0173,Calm,Happy
2.94,0.34,2.75,0.935,2.9,1.8,0.0182,Calm,Happy
3.2,0.312,2.98,0.932,2.99,2,0.0104,Calm,Happy
3.21,0.312,3.25,1.01,3.17,2.17,0.00729,Calm,Happy
3.41,0.293,3.41,1,3.36,2.24,0.00701,Calm,Happy
3.86,0.259,3.52,0.912,3.55,2.19,-0.00229,Calm,Happy
4.13,0.242,3.4,0.824,3.6,2.29,-0.0094,Calm,Happy
4.21,0.238,3.72,0.883,3.61,2.37,-0.014,Calm,Happy
4.19,0.238,4.03,0.96,3.86,2.39,-0.0169,Calm,Happy
4.32,0.232,4.05,0.938,4.9,2.35,-0.0174,Calm,Happy
4.43,0.226,4.07,0.918,5.49,2.31,-0.0195,Calm,Happy
4.42,0.226,4.03,0.911,5.63,2.28,-0.0227,Calm,Happy
4.37,0.229,3.99,0.913,5.66,2.29,-0.0247,Calm,Happy
4.34,0.231,3.95,0.91,5.71,1.99,-0.0251,Calm,Happy
4.33,0.231,4,0.924,5.69,1.98,-0.029,Calm,Happy
4.26,0.235,3.9,0.914,5.65,2.02,-0.0381,Calm,Happy
4.04,0.247,3.87,0.957,5.64,2.11,-0.0495,Calm,Happy
3.72,0.269,3.86,1.04,5.66,2.04,-0.064,Calm,Happy
3.58,0.28,3.48,0.974,5.71,2.12,-0.0686,Calm,Happy
3.56,0.281,6,1.68,6.15,3.68,-0.0685,Calm,Happy
6.87,0.145,8.03,1.17,8.92,4.28,-0.00287,Calm,Happy
8.71,0.115,8.16,0.937,10.4,4.28,-0.000865,Calm,Happy
9.27,0.108,8.17,0.881,11,4.26,-0.000815,Calm,Happy
9.41,0.106,8.17,0.868,11.1,4.26,-0.000906,Calm,Happy
9.44,0.106,8.17,0.866,11.1,4.25,-0.000897,Calm,Happy
9.46,0.106,8.17,0.864,11.1,4.27,-0.00091,Calm,Happy
9.47,0.106,8.17,0.863,11.2,4.3,-0.000921,Calm,Happy
9.48,0.105,8.17,0.862,11.2,4.3,-0.000882,Calm,Happy
9.49,0.105,8.17,0.861,11.2,4.3,-0.000845,Calm,Happy
9.5,0.105,8.17,0.861,11.2,4.26,-0.000835,Calm,Happy
9.5,0.105,7.58,0.799,11.2,2.39,-0.000823,Calm,Happy
9.36,0.107,5.55,0.593,11.1,2.36,-0.00091,Calm,Happy
8.75,0.114,3.97,0.454,10.6,2.38,-0.001,Calm,Happy
7.5,0.133,3.72,0.496,9.8,2.43,-0.00058,Calm,Happy
6.96,0.144,3.7,0.532,9.38,2.49,-0.000426,Calm,Happy
6.63,0.151,3.73,0.562,9.18,2.46,0.000694,Calm,Happy
6.3,0.159,3.25,0.516,9,2.28,0.00271,Calm,Happy
5.99,0.167,3.06,0.511,8.66,2.08,0.00521,Calm,Happy
5.34,0.187,3.11,0.582,7.93,1.92,0.00809,Calm,Happy
4.67,0.214,3.15,0.675,7.1,1.98,0.0124,Calm,Happy
4.18,0.239,3.22,0.771,6.49,2.04,0.0161,Calm,Happy
3.87,0.258,3.22,0.831,6.04,1.98,0.0138,Calm,Happy
3.37,0.297,3.24,0.961,5.51,1.92,0.0124,Calm,Happy
3.14,0.319,3.11,0.993,4.87,1.87,0.00982,Calm,Happy
3.08,0.325,3.06,0.994,4.45,1.83,0.00483,Calm,Happy
3.12,0.32,3.05,0.976,4.12,1.87,0.00509,Calm,Happy
3.11,0.321,3.06,0.982,3.83,1.93,0.00739,Calm,Happy
3.13,0.32,2.99,0.956,3.54,1.87,0.00185,Calm,Happy
3.19,0.314,2.88,0.905,3.41,1.85,-0.00513,Calm,Happy
3.11,0.321,2.85,0.915,3.41,1.8,-0.0187,Calm,Happy
3.07,0.326,2.59,0.845,3.09,1.76,-0.0222,Calm,Happy
3.04,0.329,2.56,0.843,2.96,1.81,-0.0121,Calm,Happy
2.94,0.341,2.61,0.888,3.19,1.8,0.00181,Calm,Happy
3,0.333,2.62,0.873,3.16,1.86,0.00699,Calm,Happy
2.74,0.365,2.62,0.954,3.26,1.4,-0.0649,Calm,Calm
3.05,0.328,2.72,0.892,3.38,1.36,-0.0638,Calm,Calm
3.14,0.319,2.78,0.885,3.4,1.43,-0.0466,Calm,Calm
3.12,0.32,3.11,0.997,3.35,1.54,-0.0476,Calm,Calm
3.14,0.319,3.12,0.994,3.3,1.33,-0.0517,Calm,Calm
3.22,0.31,3.09,0.959,3.18,1.32,-0.0336,Calm,Calm
3.32,0.302,3,0.905,2.99,1.53,-0.0228,Calm,Calm
3.32,0.302,3.06,0.922,3.12,1.58,-0.0258,Calm,Calm
3.25,0.308,3.06,0.942,3.37,1.55,-0.0253,Calm,Calm
3.26,0.307,3.06,0.941,3.48,1.56,-0.0212,Calm,Calm
3.34,0.299,2.98,0.893,3.45,1.56,-0.00565,Calm,Calm
3.25,0.308,2.97,0.913,3.46,1.62,0.0178,Calm,Calm
3.06,0.326,2.94,0.96,3.53,1.59,0.0333,Calm,Calm
3.03,0.33,2.88,0.952,3.54,1.44,0.0297,Calm,Calm
3.03,0.331,2.77,0.917,3.52,1.5,0.0358,Calm,Calm
3.01,0.332,2.86,0.952,3.46,1.58,0.0337,Calm,Calm
2.88,0.347,2.95,1.02,3.44,1.7,0.0133,Calm,Calm
2.66,0.376,2.99,1.12,3.46,1.63,0.0175,Calm,Calm
2.61,0.383,2.95,1.13,3.38,1.64,0.0295,Calm,Calm
2.71,0.369,2.9,1.07,3.11,1.7,0.0215,Calm,Calm
2.79,0.359,3.04,1.09,3.12,1.69,-0.00367,Calm,Calm
2.71,0.368,3.04,1.12,3.14,1.65,-0.0131,Calm,Calm
2.64,0.379,3.08,1.17,3.22,1.67,-0.0119,Calm,Calm
2.7,0.37,3.13,1.16,3.73,1.91,-0.0279,Calm,Calm
3.2,0.312,3.93,1.23,4.39,1.95,-0.0392,Calm,Calm
4.58,0.218,3.93,0.858,6.38,1.91,-0.0147,Calm,Calm
5.25,0.19,3.92,0.748,7.58,1.93,-0.00983,Calm,Calm
5.45,0.184,3.96,0.728,7.99,1.82,-0.00887,Calm,Calm
5.49,0.182,3.95,0.72,8.1,1.84,-0.00849,Calm,Calm
5.51,0.181,3.94,0.716,8.16,1.83,-0.00822,Calm,Calm
5.52,0.181,3.94,0.713,8.2,1.84,-0.00843,Calm,Calm
5.51,0.181,3.9,0.707,8.22,1.98,-0.00871,Calm,Calm
5.5,0.182,3.89,0.707,8.23,2.05,-0.00896,Calm,Calm
5.5,0.182,4.02,0.73,8.23,2.14,-0.00898,Calm,Calm
5.51,0.182,3.88,0.704,8.23,2.04,-0.00837,Calm,Calm
5.41,0.185,3.41,0.629,8.17,2.15,-0.00754,Calm,Calm
5.02,0.199,3.33,0.663,7.83,2.13,-0.0085,Calm,Calm
4.12,0.243,3.33,0.807,7.21,2.07,-0.013,Calm,Calm
3.53,0.283,3.3,0.935,6.75,2.11,-0.00936,Calm,Calm
3.42,0.292,3.28,0.958,6.26,2.19,-0.0101,Calm,Calm
3.15,0.317,3.27,1.04,5.59,2.18,-0.00148,Calm,Calm
3.14,0.319,3.32,1.06,5.2,2.2,0.0173,Calm,Calm
3.28,0.305,3.49,1.07,5.04,2.09,0.0227,Calm,Calm
3.38,0.296,3.44,1.02,4.7,2.06,0.023,Calm,Calm
3.37,0.296,3.28,0.973,4.42,1.97,0.026,Calm,Calm
3.22,0.31,3.27,1.02,4.19,1.92,0.0327,Calm,Calm
3.09,0.323,3.19,1.03,3.97,1.82,0.0433,Calm,Calm
3.08,0.325,3.13,1.02,3.78,1.97,0.0433,Calm,Calm
3.02,0.332,3.12,1.04,3.48,2.05,0.0464,Calm,Calm
2.85,0.351,3.11,1.09,3.21,2.07,0.0495,Calm,Calm
2.87,0.348,3.3,1.15,3.21,2.16,0.0343,Calm,Calm
2.88,0.347,3.45,1.2,3.4,2.19,0.0206,Calm,Calm
2.76,0.362,3.3,1.2,3.51,2.13,0.00516,Calm,Calm
2.5,0.4,3.22,1.29,3.39,2.16,-0.0181,Calm,Calm
2.31,0.432,3.17,1.37,3.24,2.11,-0.0603,Calm,Calm
2.25,0.445,3.06,1.36,3.28,2.11,-0.107,Calm,Calm
2.17,0.461,3.03,1.4,3.31,2.11,-0.153,Calm,Calm
2.06,0.484,3.03,1.47,3.36,2.02,-0.179,Calm,Calm
2.08,0.481,3.02,1.45,3.44,1.86,-0.147,Calm,Calm
2.12,0.472,3.16,1.49,3.5,1.84,-0.131,Calm,Calm
1.93,0.518,3.12,1.62,3.53,1.49,-0.156,Calm,Calm
1.84,0.544,2.79,1.52,3.46,1.44,-0.14,Calm,Calm
2.12,0.472,2.58,1.22,3.31,1.3,-0.0749,Calm,Calm
2.44,0.41,2.57,1.05,3.23,1.31,-0.0608,Calm,Calm
2.58,0.387,2.68,1.04,3.28,1.29,-0.0504,Calm,Calm
2.64,0.378,2.63,0.994,3.31,1.36,-0.0216,Calm,Calm
2.63,0.38,2.89,1.1,3.44,1.39,-0.0076,Calm,Calm
2.73,0.366,2.95,1.08,3.83,1.57,-0.0174,Calm,Calm
3.04,0.329,3.15,1.04,3.93,1.72,-0.0412,Calm,Calm
3.25,0.307,3.28,1.01,3.87,1.73,-0.0548,Calm,Calm
3.28,0.305,3.31,1.01,3.98,1.81,-0.0537,Calm,Calm
3.44,0.29,3.34,0.969,4.08,1.83,-0.0383,Calm,Calm
