 ,Class 1,Class 2,Class 3,Class 4,Class 5
SVM,0.40937499999999999,0.35312500000000002,0.37812499999999999,0.36875000000000002,0.44687500000000002
kNN,0.69687500000000002,0.62812500000000004,0.59687500000000004,0.66874999999999996,0.671875
DT,0.58437499999999998,0.59375,0.56562500000000004,0.68437499999999996,0.65625
