alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Respuesta
2.9,0.35,2.49,3.08,1.28,-0.06,Agressive,Sad
2.9,0.34,2.34,3.11,1.32,-0.05,Agressive,Sad
2.65,0.38,2.23,3.15,1.29,-0.02,Agressive,Sad
2.31,0.43,2.23,3.09,1.3,0,Agressive,Sad
2.14,0.47,2.35,3.03,1.36,-0.03,Agressive,Sad
2.3,0.43,2.33,2.94,1.32,-0.08,Agressive,Sad
2.56,0.39,2.33,2.8,1.39,-0.1,Agressive,Sad
2.67,0.37,2.25,2.76,1.47,-0.12,Agressive,Sad
2.7,0.37,2.03,2.75,1.5,-0.12,Agressive,Sad
2.78,0.36,2.14,2.79,1.56,-0.12,Agressive,Sad
2.95,0.34,2.22,2.77,1.61,-0.09,Agressive,Sad
3.04,0.33,2.45,2.59,1.63,-0.08,Agressive,Sad
2.99,0.33,2.48,2.38,1.61,-0.09,Agressive,Sad
2.92,0.34,2.5,2.36,1.66,-0.1,Agressive,Sad
2.89,0.35,2.48,2.51,1.7,-0.1,Agressive,Sad
2.82,0.35,2.54,2.8,1.79,-0.1,Agressive,Sad
2.63,0.38,4.47,2.95,3.87,-0.09,Agressive,Sad
2.61,0.38,4.49,3.08,3.86,-0.07,Agressive,Sad
3.16,0.32,4.51,3.71,3.86,-0.04,Agressive,Sad
3.38,0.3,4.5,3.95,3.85,-0.03,Agressive,Sad
3.4,0.29,4.52,3.93,3.86,-0.03,Agressive,Sad
3.37,0.3,4.51,3.99,3.85,-0.04,Agressive,Sad
3.37,0.3,4.49,4.05,3.86,-0.05,Agressive,Sad
3.37,0.3,4.5,4.05,3.87,-0.05,Agressive,Sad
3.38,0.3,4.51,4.06,3.87,-0.06,Agressive,Sad
3.38,0.3,4.5,4.03,3.87,-0.06,Agressive,Sad
3.39,0.3,4.49,3.96,3.33,-0.06,Agressive,Sad
3.4,0.29,2.68,3.94,1.7,-0.06,Agressive,Sad
3.21,0.31,2.59,3.84,1.67,-0.08,Agressive,Sad
2.79,0.36,2.53,3.53,1.72,-0.12,Agressive,Sad
2.63,0.38,2.62,3.32,1.73,-0.16,Agressive,Sad
2.67,0.38,2.46,3.29,1.65,-0.16,Agressive,Sad
2.57,0.39,2.44,3.14,1.69,-0.11,Agressive,Sad
2.58,0.39,2.66,3.15,1.79,-0.08,Agressive,Sad
2.57,0.39,2.73,3.21,1.76,-0.07,Agressive,Sad
2.61,0.38,2.71,3.13,1.74,-0.05,Agressive,Sad
2.64,0.38,2.82,3.05,1.67,-0.03,Agressive,Sad
2.6,0.38,2.78,3.03,1.71,-0.02,Agressive,Sad
2.6,0.38,2.8,3.01,1.75,-0.03,Agressive,Sad
2.56,0.39,2.72,2.85,1.95,-0.03,Agressive,Sad
2.38,0.42,2.72,2.55,1.91,-0.03,Agressive,Sad
2.07,0.48,2.63,2.49,1.94,-0.01,Agressive,Sad
1.79,0.56,2.67,2.48,1.97,0.01,Agressive,Sad
1.6,0.63,2.66,2.4,1.9,0,Agressive,Sad
1.54,0.65,2.42,2.39,1.92,0,Agressive,Sad
1.71,0.59,2.34,2.75,1.83,0.02,Agressive,Sad
1.97,0.51,2.35,3.2,1.86,-0.01,Agressive,Sad
2.28,0.44,2.17,3.26,1.93,-0.04,Agressive,Sad
2.4,0.42,2.38,3.22,1.88,-0.01,Agressive,Sad
2.37,0.42,2.41,3.27,1.84,0.01,Agressive,Sad
2.37,0.42,2.48,3.35,1.75,0.02,Agressive,Sad
2.36,0.42,2.47,3.39,1.73,0.03,Agressive,Sad
2.35,0.43,2.56,3.43,1.83,0.05,Agressive,Sad
2.35,0.43,2.54,3.54,1.83,0.04,Agressive,Sad
2.4,0.42,2.49,3.62,1.78,0.02,Agressive,Sad
2.39,0.42,2.77,3.54,1.78,0.02,Agressive,Sad
2.29,0.44,2.77,3.31,1.86,0.01,Agressive,Sad
1.94,0.52,2.75,3.11,1.83,0.01,Agressive,Sad
1.5,0.67,2.64,3.1,1.76,0.01,Agressive,Sad
1.44,0.69,2.64,3.09,1.77,-0.05,Agressive,Sad
1.45,0.69,2.69,3.02,1.66,-0.08,Agressive,Sad
1.6,0.63,2.72,2.92,1.69,-0.12,Agressive,Sad
1.74,0.58,2.7,3.06,1.58,-0.14,Agressive,Sad
1.86,0.54,2.69,3.25,1.55,-0.14,Agressive,Sad
1.91,0.52,2.79,3.23,1.61,-0.1,Agressive,Sad
1.87,0.54,2.79,3.19,1.59,-0.09,Agressive,Sad
1.83,0.55,2.52,3.24,1.66,-0.08,Agressive,Sad
1.85,0.54,2.49,3.28,1.54,-0.1,Agressive,Sad
1.94,0.51,2.65,3.23,1.5,-0.08,Agressive,Sad
2.05,0.49,2.72,3.23,1.49,-0.04,Agressive,Sad
2.13,0.47,2.67,3.28,1.6,-0.03,Agressive,Sad
2.11,0.47,2.9,3.33,1.73,-0.02,Agressive,Sad
2.03,0.49,2.94,3.22,1.71,-0.01,Agressive,Sad
1.97,0.51,2.89,2.93,1.72,-0.03,Agressive,Sad
1.9,0.53,2.83,2.61,1.65,-0.08,Agressive,Sad
1.88,0.53,2.8,2.69,1.73,-0.09,Agressive,Sad
1.98,0.51,2.83,2.86,1.86,-0.06,Agressive,Sad
2.06,0.49,2.84,2.83,1.86,-0.06,Agressive,Sad
2.03,0.49,2.92,2.73,1.82,-0.03,Agressive,Sad
2,0.5,2.74,2.65,1.85,-0.02,Agressive,Sad
1.93,0.52,2.85,2.63,1.8,-0.05,Agressive,Sad
1.92,0.52,2.74,2.84,1.73,-0.06,Agressive,Sad
1.93,0.52,2.43,3.12,1.66,-0.06,Agressive,Sad
2.02,0.49,2.49,3.18,1.63,-0.03,Agressive,Sad
2.12,0.47,2.6,3.2,1.57,-0.01,Agressive,Sad
2.17,0.46,2.59,3.23,1.57,-0.02,Agressive,Sad
2.21,0.45,2.56,3.2,1.13,-0.03,Agressive,Sad
2.17,0.46,2.52,3.22,1.13,-0.05,Agressive,Sad
2.18,0.46,2.48,3.29,1.16,-0.06,Agressive,Sad
2.24,0.45,2.47,3.3,1.27,-0.06,Agressive,Sad
2.15,0.47,2.47,3.29,1.29,-0.06,Agressive,Sad
2.09,0.48,2.32,3.19,1.24,-0.06,Agressive,Sad
2.32,0.43,2.29,2.91,1.31,-0.05,Agressive,Sad
2.52,0.4,2.25,2.73,1.49,-0.06,Agressive,Sad
2.62,0.38,2.31,2.69,1.5,-0.09,Agressive,Sad
2.7,0.37,2.22,2.56,1.52,-0.1,Agressive,Sad
2.77,0.36,2.24,2.46,1.53,-0.1,Agressive,Sad
2.87,0.35,2.2,2.47,1.56,-0.09,Agressive,Sad
2.95,0.34,2.17,2.33,1.53,-0.09,Agressive,Sad
2.98,0.34,2.35,2.4,1.57,-0.09,Agressive,Sad
2.97,0.34,2.4,2.71,1.68,-0.1,Agressive,Sad
2.99,0.33,2.41,2.82,1.88,-0.1,Agressive,Sad
2.99,0.33,2.49,2.84,1.9,-0.1,Agressive,Sad
3.16,0.32,2.99,3.01,1.91,-0.1,Agressive,Sad
3.44,0.29,2.92,3.08,1.9,-0.07,Agressive,Sad
3.5,0.29,2.89,3.06,1.98,-0.05,Agressive,Sad
3.47,0.29,2.95,3.12,1.98,-0.05,Agressive,Sad
2.16,0.46,3.11,3.44,2.23,-0.22,Calm,Happy
2.37,0.42,4.31,4.29,2.32,-0.16,Calm,Happy
3.22,0.31,4.35,5.61,2.41,-0.05,Calm,Happy
3.91,0.26,4.34,6.19,2.55,-0.02,Calm,Happy
4.19,0.24,4.33,6.29,2.6,-0.02,Calm,Happy
4.25,0.24,4.36,6.3,2.74,-0.02,Calm,Happy
4.24,0.24,4.4,6.39,2.88,-0.02,Calm,Happy
4.39,0.23,4.4,6.46,2.9,-0.01,Calm,Happy
4.58,0.22,4.42,6.47,2.89,-0.01,Calm,Happy
4.62,0.22,4.43,6.48,2.85,-0.01,Calm,Happy
4.65,0.22,4.45,6.47,2.76,-0.01,Calm,Happy
4.66,0.21,3.96,6.46,2.62,-0.01,Calm,Happy
4.63,0.22,3.24,6.36,2.61,-0.01,Calm,Happy
4.39,0.23,3.28,5.92,2.76,-0.01,Calm,Happy
4.15,0.24,3.31,5.25,2.73,-0.02,Calm,Happy
4.22,0.24,3.31,5.23,2.75,-0.02,Calm,Happy
4.42,0.23,3.28,5.15,2.59,-0.01,Calm,Happy
4.57,0.22,3.09,4.74,2.71,-0.02,Calm,Happy
4.51,0.22,3.21,4.69,2.83,-0.02,Calm,Happy
4.41,0.23,3.4,4.77,2.83,-0.02,Calm,Happy
4.38,0.23,3.57,4.86,2.83,-0.02,Calm,Happy
4.36,0.23,3.55,4.97,2.84,-0.02,Calm,Happy
4.33,0.23,3.58,5.04,2.84,-0.02,Calm,Happy
4.35,0.23,3.57,5.12,2.76,-0.02,Calm,Happy
4.33,0.23,3.49,5.15,2.54,-0.01,Calm,Happy
4.22,0.24,3.56,4.92,2.57,-0.02,Calm,Happy
3.93,0.25,3.68,4.91,2.42,-0.02,Calm,Happy
3.77,0.27,3.65,5.37,2.41,-0.02,Calm,Happy
3.82,0.26,3.67,5.62,2.17,-0.01,Calm,Happy
3.87,0.26,3.65,5.69,2.41,0,Calm,Happy
3.94,0.25,3.59,5.64,2.41,0,Calm,Happy
4.19,0.24,3.79,5.6,2.45,0,Calm,Happy
4.41,0.23,3.85,5.62,2.45,-0.01,Calm,Happy
4.51,0.22,3.8,5.6,2.4,-0.01,Calm,Happy
4.55,0.22,3.83,5.54,2.47,-0.01,Calm,Happy
4.55,0.22,3.81,5.52,2.47,-0.01,Calm,Happy
4.56,0.22,3.76,5.52,2.39,-0.01,Calm,Happy
4.51,0.22,3.69,5.32,2.39,-0.01,Calm,Happy
4.37,0.23,3.67,4.87,2.36,-0.01,Calm,Happy
4.19,0.24,3.62,4.4,2.16,-0.01,Calm,Happy
4.03,0.25,3.47,4.12,1.8,-0.02,Calm,Happy
3.81,0.26,3.32,4.12,1.71,-0.02,Calm,Happy
3.37,0.3,2.92,3.99,1.67,-0.03,Calm,Happy
2.76,0.36,2.9,3.62,1.68,-0.05,Calm,Happy
2.13,0.47,2.93,3.43,1.78,-0.08,Calm,Happy
1.79,0.56,2.88,3.39,1.66,-0.06,Calm,Happy
1.76,0.57,2.9,3.3,1.66,-0.07,Calm,Happy
1.73,0.58,2.94,3.33,1.63,-0.1,Calm,Happy
1.72,0.58,2.96,3.36,1.48,-0.12,Calm,Happy
1.7,0.59,2.85,3.31,1.49,-0.14,Calm,Happy
1.63,0.61,2.86,3.37,1.51,-0.18,Calm,Happy
1.57,0.64,2.87,3.5,1.52,-0.24,Calm,Happy
1.55,0.65,2.92,3.56,1.44,-0.31,Calm,Happy
1.39,0.72,2.74,3.6,1.48,-0.46,Calm,Happy
1.07,0.93,2.68,3.63,1.59,-0.62,Calm,Happy
0.86,1.16,2.64,3.63,1.54,-0.54,Calm,Happy
1.16,0.86,2.76,3.62,1.59,-0.18,Calm,Happy
1.73,0.58,3.08,3.66,1.74,-0.14,Calm,Happy
1.85,0.54,3.14,3.71,1.81,-0.17,Calm,Happy
1.92,0.52,3.21,3.71,1.85,-0.12,Calm,Happy
1.96,0.51,3.21,3.6,1.88,-0.1,Calm,Happy
2.02,0.49,3.22,3.41,1.91,-0.06,Calm,Happy
2.22,0.45,3.2,3.31,1.96,-0.04,Calm,Happy
2.44,0.41,3.13,3.28,1.98,-0.04,Calm,Happy
2.51,0.4,3.15,3.37,1.95,-0.04,Calm,Happy
2.56,0.39,3.29,3.65,1.91,-0.04,Calm,Happy
2.57,0.39,3.3,3.88,1.88,-0.04,Calm,Happy
2.5,0.4,3.26,3.94,1.88,-0.04,Calm,Happy
2.62,0.38,3.13,3.88,2.09,-0.02,Calm,Happy
2.84,0.35,2.94,3.94,2.17,-0.02,Calm,Happy
3.19,0.31,2.91,4.18,2.17,-0.03,Calm,Happy
3.35,0.3,3.07,4.23,2.24,-0.03,Calm,Happy
3.35,0.3,3.18,4.41,2.49,-0.03,Calm,Happy
3.43,0.29,3.27,4.87,2.47,-0.03,Calm,Happy
3.63,0.28,3.49,5.04,2.57,-0.03,Calm,Happy
3.8,0.26,3.56,5.07,2.58,-0.03,Calm,Happy
4.04,0.25,3.45,5.11,2.56,-0.02,Calm,Happy
4.17,0.24,3.45,5.12,2.7,-0.02,Calm,Happy
4.21,0.24,3.74,5.1,2.89,-0.02,Calm,Happy
4.19,0.24,3.82,5.13,2.76,-0.02,Calm,Happy
4.2,0.24,3.92,5.14,2.77,-0.02,Calm,Happy
4.2,0.24,3.93,5.04,2.77,-0.02,Calm,Happy
4.21,0.24,3.87,5.03,2.74,-0.02,Calm,Happy
4.28,0.23,3.9,4.89,2.82,-0.02,Calm,Happy
4.37,0.23,3.93,4.47,2.99,-0.01,Calm,Happy
4.33,0.23,3.9,4.46,2.99,-0.01,Calm,Happy
4.2,0.24,3.89,5.25,3.06,-0.01,Calm,Happy
4.08,0.25,3.88,5.86,3.08,-0.02,Calm,Happy
3.97,0.25,3.83,6.03,2.86,-0.02,Calm,Happy
3.92,0.25,3.62,6.09,2.83,-0.02,Calm,Happy
3.93,0.25,3.53,6.13,2.84,-0.02,Calm,Happy
3.9,0.26,3.49,6.13,2.91,-0.02,Calm,Happy
3.84,0.26,3.93,6.14,2.92,-0.02,Calm,Happy
4.04,0.25,3.98,6.17,2.74,-0.02,Calm,Happy
4.21,0.24,3.85,6.22,2.65,-0.01,Calm,Happy
4.16,0.24,3.75,6.23,2.45,-0.01,Calm,Happy
4.23,0.24,3.69,6.24,2.41,-0.01,Calm,Happy
4.36,0.23,3.67,5.98,2.27,-0.01,Calm,Happy
4.41,0.23,3.66,5.37,2.3,-0.01,Calm,Happy
4.4,0.23,3.58,4.98,2.48,-0.01,Calm,Happy
4.46,0.22,4.88,4.93,2.99,-0.01,Calm,Happy
4.68,0.21,5.05,5.66,3.02,-0.01,Calm,Happy
4.9,0.2,5.12,6.36,3.02,-0.01,Calm,Happy
4.93,0.2,5.04,6.8,3,-0.01,Calm,Happy
4.81,0.21,5.07,7.02,3.06,-0.01,Calm,Happy
4.81,0.21,5.1,7.07,3.06,-0.01,Calm,Happy
4.88,0.2,4.14,5.38,3.05,-0.01,Happy,Happy
4.86,0.21,4.09,5.15,2.9,-0.01,Happy,Happy
4.68,0.21,4.04,5.08,2.81,-0.02,Happy,Happy
4.29,0.23,3.94,5.13,2.69,-0.02,Happy,Happy
4.05,0.25,3.92,5.18,2.61,-0.03,Happy,Happy
3.89,0.26,3.82,5.21,2.55,-0.03,Happy,Happy
3.79,0.26,3.75,5.27,2.46,-0.03,Happy,Happy
3.6,0.28,3.7,5.27,2.32,-0.04,Happy,Happy
3.37,0.3,3.17,5.12,2.22,-0.04,Happy,Happy
3.13,0.32,2.67,4.67,1.82,-0.07,Happy,Happy
2.56,0.39,2.69,4.31,1.76,-0.13,Happy,Happy
2.15,0.47,2.66,4.27,1.69,-0.17,Happy,Happy
2.14,0.47,2.48,4.23,1.69,-0.13,Happy,Happy
2.11,0.47,2.37,4.16,1.63,-0.11,Happy,Happy
2.04,0.49,2.43,3.98,1.69,-0.08,Happy,Happy
2.1,0.48,2.62,3.69,1.72,-0.07,Happy,Happy
2.43,0.41,2.8,3.18,1.96,-0.07,Happy,Happy
2.87,0.35,2.94,2.63,2.05,-0.05,Happy,Happy
3.07,0.33,3.06,2.36,2.11,-0.05,Happy,Happy
3.07,0.33,3.27,2.39,2.24,-0.05,Happy,Happy
3.04,0.33,3.21,2.46,2.24,-0.04,Happy,Happy
3.06,0.33,3.57,2.51,2.66,-0.02,Happy,Happy
3.24,0.31,3.78,3.03,2.8,-0.01,Happy,Happy
3.47,0.29,3.81,3.66,2.82,-0.01,Happy,Happy
3.62,0.28,3.89,4.04,2.86,-0.02,Happy,Happy
3.68,0.27,3.89,4.17,2.86,-0.02,Happy,Happy
3.69,0.27,3.83,4.2,2.82,-0.01,Happy,Happy
3.54,0.28,3.7,4.23,2.78,-0.01,Happy,Happy
3.34,0.3,3.66,4.24,2.77,0,Happy,Happy
3.27,0.31,3.6,4.25,2.7,0.01,Happy,Happy
3.26,0.31,3.51,4.29,2.62,0.01,Happy,Happy
3.25,0.31,3.5,4.32,2.67,0,Happy,Happy
3.16,0.32,3.08,4.27,2.13,-0.01,Happy,Happy
2.93,0.34,2.82,4.08,2.06,-0.03,Happy,Happy
2.59,0.39,2.65,3.82,2.05,-0.04,Happy,Happy
2.26,0.44,2.5,3.6,1.98,-0.04,Happy,Happy
2.04,0.49,2.5,3.41,1.98,-0.04,Happy,Happy
1.88,0.53,2.63,3.3,2.08,-0.06,Happy,Happy
1.79,0.56,2.65,3.26,2.18,-0.12,Happy,Happy
1.83,0.55,2.68,3.25,2.16,-0.17,Happy,Happy
1.93,0.52,2.89,3.35,2.21,-0.2,Happy,Happy
2.37,0.42,2.98,3.36,2.29,-0.18,Happy,Happy
