alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Respuesta
4.69,0.21,4.23,5.62,3.46,-0.03,Happy,Happy
4.7,0.21,4.37,5.63,3.51,-0.03,Happy,Happy
4.69,0.21,4.37,5.62,3.56,-0.03,Happy,Happy
4.7,0.21,5.25,5.58,4.06,-0.03,Happy,Happy
4.75,0.21,5.74,5.61,4.35,-0.02,Happy,Happy
4.86,0.21,5.78,6.28,4.47,-0.02,Happy,Happy
5.16,0.19,5.87,6.94,4.56,-0.01,Happy,Happy
5.15,0.19,5.91,7.19,4.52,-0.01,Happy,Happy
5.08,0.2,6.16,7.27,4.58,-0.01,Happy,Happy
5.04,0.2,6.21,7.4,4.59,-0.01,Happy,Happy
5.02,0.2,6.22,7.46,4.57,-0.01,Happy,Happy
5.04,0.2,6.19,7.49,4.59,-0.01,Happy,Happy
5.11,0.2,6.21,7.53,4.65,-0.01,Happy,Happy
5.19,0.19,6.19,7.53,4.78,-0.01,Happy,Happy
5.25,0.19,5.86,7.53,4.59,0,Happy,Happy
5.29,0.19,5.68,7.47,4.74,0,Happy,Happy
5.15,0.19,5.71,7.16,4.87,0,Happy,Happy
4.86,0.21,5.65,6.69,4.95,0,Happy,Happy
4.79,0.21,5.59,6.46,4.97,0,Happy,Happy
4.64,0.22,4.94,6.26,4.92,0,Happy,Happy
4.54,0.22,5.01,5.73,4.96,0,Happy,Happy
4.57,0.22,4.93,5.14,4.96,0,Happy,Happy
4.53,0.22,4.79,4.62,4.91,0,Happy,Happy
4.32,0.23,4.85,4.25,4.93,0,Happy,Happy
3.79,0.26,4.89,4.13,4.88,-0.01,Happy,Happy
3.24,0.31,4.81,4.29,4.89,-0.04,Happy,Happy
3.35,0.3,4.73,4.44,4.87,-0.03,Happy,Happy
3.47,0.29,4.52,4.48,4.69,-0.04,Happy,Happy
3.48,0.29,4.45,4.5,4.62,-0.04,Happy,Happy
3.54,0.28,4.44,4.5,4.68,-0.04,Happy,Happy
3.65,0.27,4.6,4.59,4.68,-0.04,Happy,Happy
3.71,0.27,4.58,4.82,4.66,-0.04,Happy,Happy
3.79,0.26,4.67,4.98,4.73,-0.05,Happy,Happy
3.89,0.26,4.71,4.98,4.79,-0.04,Happy,Happy
3.89,0.26,4.53,4.97,4.74,-0.04,Happy,Happy
3.83,0.26,4.52,4.96,4.54,-0.04,Happy,Happy
3.66,0.27,4.49,4.81,4.43,-0.04,Happy,Happy
3.62,0.28,4.46,4.81,4.17,-0.04,Happy,Happy
3.97,0.25,4.48,4.9,4.26,-0.02,Happy,Happy
4.17,0.24,4.44,4.95,4.24,-0.01,Happy,Happy
4.15,0.24,4.27,5.02,4.24,-0.01,Happy,Happy
4.11,0.24,4.49,5,4.25,-0.01,Happy,Happy
4,0.25,4.6,4.9,4.49,0,Happy,Happy
3.93,0.25,4.49,5.08,4.49,0,Happy,Happy
4.02,0.25,4.61,5.46,4.49,0.01,Happy,Happy
4.15,0.24,4.69,5.63,4.74,0.01,Happy,Happy
4.23,0.24,4.7,5.71,4.78,0.01,Happy,Happy
4.23,0.24,4.67,5.72,4.78,0.01,Happy,Happy
4.03,0.25,4.64,5.64,4.87,0.01,Happy,Happy
3.69,0.27,4.62,5.59,4.88,0.02,Happy,Happy
3.54,0.28,4.63,5.56,4.84,0.02,Happy,Happy
3.52,0.28,4.56,5.53,4.86,0.03,Happy,Happy
3.52,0.28,4.33,5.53,4.9,0.04,Happy,Happy
3.49,0.29,4.13,5.45,4.79,0.05,Happy,Happy
3.32,0.3,4.17,5.04,4.78,0.05,Happy,Happy
3.11,0.32,3.99,4.4,4.71,0.05,Happy,Happy
2.68,0.37,3.9,3.85,4.62,0.07,Happy,Happy
2.38,0.42,3.99,3.55,4.64,0.08,Happy,Happy
2.36,0.42,3.92,3.49,4.64,0.08,Happy,Happy
2.35,0.43,3.95,3.5,4.51,0.09,Happy,Happy
2.33,0.43,3.88,3.57,4.44,0.11,Happy,Happy
2.27,0.44,3.81,3.6,4.47,0.09,Happy,Happy
2.16,0.46,3.93,3.67,4.39,0.02,Happy,Happy
2.28,0.44,3.98,3.68,4.36,-0.05,Happy,Happy
2.55,0.39,3.89,3.68,4.53,-0.05,Happy,Happy
2.79,0.36,3.83,3.8,4.47,-0.07,Happy,Happy
2.99,0.33,3.84,3.83,4.41,-0.06,Happy,Happy
3.01,0.33,4.03,3.85,4.3,-0.05,Happy,Happy
3.01,0.33,4.09,3.94,4.23,-0.05,Happy,Happy
3.07,0.33,4.11,4.09,4.23,-0.03,Happy,Happy
3.12,0.32,4.09,4.16,4.23,-0.02,Happy,Happy
3.08,0.32,4.15,4.12,4.23,-0.02,Happy,Happy
3.12,0.32,4.12,4.07,4.13,-0.03,Happy,Happy
3.12,0.32,4.08,3.93,4.08,-0.03,Happy,Happy
3.09,0.32,4.07,3.93,3.89,-0.03,Happy,Happy
2.95,0.34,4.1,4.03,3.82,-0.02,Happy,Happy
2.73,0.37,4.13,3.99,4.18,0,Happy,Happy
2.63,0.38,4.18,3.96,4.83,-0.01,Happy,Happy
2.72,0.37,4.17,4.01,5.28,-0.01,Happy,Happy
2.94,0.34,4.21,3.93,5.8,-0.03,Happy,Happy
3.04,0.33,4.34,3.89,5.92,-0.04,Happy,Happy
3.05,0.33,4.41,3.97,5.95,-0.05,Happy,Happy
3.13,0.32,4.45,4.04,5.96,-0.05,Happy,Happy
3.15,0.32,4.49,4.06,5.98,-0.04,Happy,Happy
3.11,0.32,4.48,4.05,5.99,-0.03,Happy,Happy
3.07,0.33,4.45,3.96,5.99,-0.04,Happy,Happy
2.94,0.34,4.37,3.75,5.99,-0.04,Happy,Happy
2.83,0.35,4.53,3.58,5.86,-0.04,Happy,Happy
3.18,0.31,4.54,3.83,5.68,-0.03,Happy,Happy
4.04,0.25,4.45,4.82,5.38,-0.02,Happy,Happy
4.61,0.22,4.39,5.25,4.54,-0.01,Happy,Happy
4.94,0.2,4.37,5.26,4.36,-0.01,Happy,Happy
5.1,0.2,4.29,5.23,4.2,-0.01,Happy,Happy
5.17,0.19,4.27,5.22,4,-0.01,Happy,Happy
5.21,0.19,4.22,5.21,3.86,-0.01,Happy,Happy
5.25,0.19,4.27,5.23,3.8,-0.01,Happy,Happy
5.31,0.19,4.28,5.41,3.75,-0.01,Happy,Happy
5.36,0.19,4.07,5.58,3.34,-0.01,Happy,Happy
5.37,0.19,3.99,5.63,3.33,-0.01,Happy,Happy
5.32,0.19,4.27,5.56,3.05,-0.01,Happy,Happy
5.11,0.2,4.36,5.22,3.06,-0.01,Happy,Happy
4.66,0.21,4.39,5,3,-0.01,Happy,Happy
4.37,0.23,4.53,5.09,3.29,-0.01,Happy,Happy
4.21,0.24,4.68,5.29,3.31,-0.01,Happy,Happy
4.26,0.23,4.68,6.07,3.3,-0.01,Happy,Happy
4.5,0.22,4.62,6.53,3.28,-0.01,Happy,Happy
4.48,0.22,4.61,6.65,3.25,-0.01,Happy,Happy
3.13,0.32,2.94,3.43,3.65,0.08,Calm,Sad
3.27,0.31,3.08,3.48,3.74,0.08,Calm,Sad
3.41,0.29,2.96,3.57,3.7,0.06,Calm,Sad
3.44,0.29,3.21,3.65,3.78,0.05,Calm,Sad
3.39,0.3,3.38,3.68,3.83,0.02,Calm,Sad
3.46,0.29,3.49,3.75,3.79,0,Calm,Sad
3.67,0.27,3.52,4.05,3.82,0,Calm,Sad
3.77,0.26,3.51,4.27,3.84,0,Calm,Sad
3.76,0.27,3.55,4.21,3.91,0,Calm,Sad
3.78,0.26,3.57,4.1,3.85,0,Calm,Sad
3.78,0.26,3.58,4.11,3.83,0,Calm,Sad
3.73,0.27,3.61,4.12,3.71,0,Calm,Sad
3.62,0.28,3.6,4.07,3.69,0,Calm,Sad
3.49,0.29,3.63,4.01,3.68,0,Calm,Sad
3.4,0.29,3.39,3.98,3.59,0.01,Calm,Sad
3.32,0.3,3.28,4.02,3.54,0,Calm,Sad
3.03,0.33,3.23,3.89,3.28,-0.01,Calm,Sad
2.63,0.38,3.24,3.41,3.31,-0.03,Calm,Sad
2.82,0.35,3.25,3.19,3.11,-0.07,Calm,Sad
2.83,0.35,3.28,3.22,3.02,-0.1,Calm,Sad
3.18,0.31,6.88,3.76,6.92,-0.2,Calm,Sad
6.72,0.15,8.98,7.55,7.29,-0.33,Calm,Sad
8.46,0.12,9.08,9.46,7.29,-0.28,Calm,Sad
9.13,0.11,9.08,10.05,7.29,-0.24,Calm,Sad
9.27,0.11,9.08,10.16,7.29,-0.23,Calm,Sad
9.28,0.11,9.08,10.2,7.29,-0.23,Calm,Sad
9.3,0.11,9.08,10.24,7.29,-0.23,Calm,Sad
9.31,0.11,9.08,10.25,7.29,-0.22,Calm,Sad
9.31,0.11,9.08,10.25,7.29,-0.22,Calm,Sad
9.31,0.11,9.08,10.26,7.29,-0.23,Calm,Sad
9.31,0.11,9.08,10.26,7.28,-0.23,Calm,Sad
9.31,0.11,8.12,10.25,3.63,-0.23,Calm,Sad
9.17,0.11,5.71,10.06,2.81,-0.24,Calm,Sad
8.39,0.12,3.92,9.37,2.83,-0.27,Calm,Sad
6.69,0.15,3.18,8.22,2.88,-0.3,Calm,Sad
6.04,0.17,3.12,7.67,2.88,-0.33,Calm,Sad
5.42,0.18,3.82,7.26,2.99,-0.31,Calm,Sad
4.59,0.22,5.25,6.49,3.82,-0.23,Calm,Sad
4.74,0.21,6.19,6.04,3.96,-0.05,Calm,Sad
5.57,0.18,6.3,6.81,3.92,-0.01,Calm,Sad
5.87,0.17,6.3,7.32,3.88,0,Calm,Sad
5.92,0.17,6.3,7.49,3.88,0,Calm,Sad
5.9,0.17,6.3,7.56,3.93,0.01,Calm,Sad
5.89,0.17,6.3,7.63,3.94,0.01,Calm,Sad
5.89,0.17,6.3,7.68,3.91,0.01,Calm,Sad
5.9,0.17,6.3,7.71,3.9,0.01,Calm,Sad
5.9,0.17,6.3,7.73,3.89,0.01,Calm,Sad
5.9,0.17,6.24,7.73,3.79,0.01,Calm,Sad
5.88,0.17,5.65,7.71,2.88,0.01,Calm,Sad
5.53,0.18,3.99,7.61,3.09,0.01,Calm,Sad
4.47,0.22,4.23,7.31,3.49,0.02,Calm,Sad
3.29,0.3,5.33,6.9,3.58,-0.01,Calm,Sad
4.27,0.23,5.53,7.23,3.94,0,Calm,Sad
5.17,0.19,5.75,7.57,4.11,0,Calm,Sad
5.79,0.17,5.93,7.57,4.2,0,Calm,Sad
6.16,0.16,6,7.56,4.27,0,Calm,Sad
6.33,0.16,6.02,7.68,4.33,0,Calm,Sad
6.38,0.16,6.04,7.83,4.39,0,Calm,Sad
6.39,0.16,6.05,7.89,4.4,0,Calm,Sad
6.4,0.16,6.06,7.91,4.38,0,Calm,Sad
6.4,0.16,6.03,7.93,4.18,0,Calm,Sad
6.4,0.16,5.71,7.93,4.14,0,Calm,Sad
6.37,0.16,5.52,7.84,4.08,0,Calm,Sad
6.23,0.16,5.27,7.48,3.59,0,Calm,Sad
5.96,0.17,4.76,7.07,3.55,0,Calm,Sad
5.6,0.18,4.21,7.04,3.35,0,Calm,Sad
4.74,0.21,3.81,6.95,3.24,0,Calm,Sad
3.95,0.25,3.65,6.45,3.1,-0.01,Calm,Sad
4.03,0.25,3.52,5.62,3.06,-0.02,Calm,Sad
3.98,0.25,3.3,5.25,3.18,-0.03,Calm,Sad
3.96,0.25,3.32,5.12,3.21,-0.03,Calm,Sad
3.95,0.25,3.41,4.76,3.14,-0.03,Calm,Sad
3.95,0.25,3.39,4.54,2.99,-0.03,Calm,Sad
3.96,0.25,3.36,4.43,3.08,-0.03,Calm,Sad
3.95,0.25,3.45,4.12,3.12,-0.03,Calm,Sad
3.87,0.26,3.66,3.88,3.29,-0.04,Calm,Sad
3.79,0.26,3.6,3.54,3.16,-0.04,Calm,Sad
3.7,0.27,3.55,3.35,3.25,-0.05,Calm,Sad
3.28,0.3,3.57,3.25,3.45,-0.06,Calm,Sad
2.45,0.41,3.57,3.07,3.44,-0.12,Calm,Sad
2.19,0.46,3.53,3,3.33,-0.17,Calm,Sad
1.99,0.5,3.52,2.71,3.41,-0.14,Calm,Sad
1.79,0.56,3.48,2.12,3.86,-0.07,Calm,Sad
1.9,0.53,3.8,2.64,4.06,-0.07,Calm,Sad
2.85,0.35,4.5,4.29,4.44,-0.01,Calm,Sad
4.32,0.23,4.76,4.68,4.42,-0.01,Calm,Sad
5.14,0.19,4.85,5.34,4.43,-0.01,Calm,Sad
5.43,0.18,4.87,6.1,4.44,-0.01,Calm,Sad
5.46,0.18,4.88,6.45,4.38,-0.01,Calm,Sad
5.47,0.18,4.9,6.57,4.42,-0.01,Calm,Sad
5.47,0.18,4.94,6.61,4.51,-0.01,Calm,Sad
5.47,0.18,4.99,6.63,4.54,-0.01,Calm,Sad
5.48,0.18,5.01,6.65,4.59,-0.01,Calm,Sad
5.49,0.18,5.04,6.66,4.64,-0.01,Calm,Sad
5.49,0.18,4.92,6.65,4.5,-0.01,Calm,Sad
5.4,0.19,4.72,6.59,4.58,-0.01,Calm,Sad
5.01,0.2,4.63,6.49,4.72,-0.01,Calm,Sad
4.38,0.23,4.53,6.18,4.78,0,Calm,Sad
4.07,0.25,4.62,5.76,4.83,0.01,Calm,Sad
4.06,0.25,4.66,5.49,4.89,0.01,Calm,Sad
4.13,0.24,4.7,5.31,4.91,0.01,Calm,Sad
4.19,0.24,4.7,5.17,4.93,0.01,Calm,Sad
4.19,0.24,4.67,5.14,4.95,0.01,Calm,Sad
4.22,0.24,4.7,5.14,4.89,0,Calm,Sad
4.22,0.24,4.63,5.12,4.83,0,Calm,Sad
4.2,0.24,4.57,5.14,4.8,0,Calm,Sad
4.41,0.23,4.77,6.31,2.99,0,Agressive,Happy
4.44,0.23,4.78,6.32,3.07,0,Agressive,Happy
4.45,0.22,4.84,6.32,3.37,0,Agressive,Happy
