alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Respuesta
4.93,0.2,4.19,5.21,2.83,-0.01,Sad,Sad
4.93,0.2,4.18,5.17,2.74,-0.01,Sad,Sad
4.94,0.2,3.5,5.14,2.37,-0.01,Sad,Sad
4.82,0.21,3.01,4.84,2.26,-0.01,Sad,Sad
4.43,0.23,3,3.88,2.2,-0.01,Sad,Sad
3.96,0.25,3.11,3.46,2.26,-0.02,Sad,Sad
3.54,0.28,3.09,3.34,2.24,-0.02,Sad,Sad
3.29,0.3,3.03,3.15,2.23,-0.03,Sad,Sad
3.28,0.3,3.53,3.12,2.63,-0.03,Sad,Sad
3.25,0.31,4.22,3.73,2.91,-0.03,Sad,Sad
3.68,0.27,4.52,4.36,2.97,-0.02,Sad,Sad
3.95,0.25,4.59,4.66,3.12,-0.02,Sad,Sad
3.96,0.25,4.62,4.75,3.16,-0.02,Sad,Sad
4.3,0.23,4.67,5.05,3.18,-0.01,Sad,Sad
4.56,0.22,4.75,5.32,3.31,-0.01,Sad,Sad
4.6,0.22,5.04,5.52,3.37,-0.01,Sad,Sad
4.77,0.21,5.14,5.56,3.36,-0.01,Sad,Sad
5.41,0.19,5.19,6.32,3.45,-0.01,Sad,Sad
5.71,0.18,5.23,7.04,3.46,0,Sad,Sad
5.75,0.17,5.17,7.29,3.61,0,Sad,Sad
5.84,0.17,5.72,7.33,4.34,-0.01,Sad,Sad
6.38,0.16,6,7.81,4.65,-0.01,Sad,Sad
7.09,0.14,6.02,8.19,4.63,-0.01,Sad,Sad
7.36,0.14,6.01,8.27,4.67,0,Sad,Sad
7.39,0.14,6.05,8.27,4.67,0,Sad,Sad
7.39,0.14,6.07,8.28,4.65,0,Sad,Sad
7.45,0.13,6.04,8.29,4.66,0,Sad,Sad
7.49,0.13,6.06,8.29,4.67,0,Sad,Sad
7.45,0.13,6.07,8.19,4.66,0,Sad,Sad
7.44,0.13,6.12,8.08,4.7,0,Sad,Sad
7.44,0.13,5.92,8.06,4.58,0,Sad,Sad
7.38,0.14,5.55,7.97,3.52,0,Sad,Sad
7.04,0.14,5.09,7.48,3.21,0,Sad,Sad
6.41,0.16,5.06,6.82,3.21,0,Sad,Sad
5.99,0.17,5.03,6.68,3.04,0,Sad,Sad
5.88,0.17,4.71,6.64,2.99,0,Sad,Sad
5.75,0.17,4.55,6.51,2.86,0,Sad,Sad
5.28,0.19,4.32,6.33,2.74,-0.01,Sad,Sad
4.49,0.22,4.07,6.06,2.54,-0.01,Sad,Sad
3.84,0.26,3.85,5.82,2.41,-0.02,Sad,Sad
3.49,0.29,2.87,5.69,2.04,-0.03,Sad,Sad
3.43,0.29,2.86,5.43,2.06,-0.03,Sad,Sad
3.3,0.3,2.81,4.86,1.86,-0.03,Sad,Sad
2.79,0.36,2.81,4.46,1.85,0,Sad,Sad
2.18,0.46,2.98,4.39,1.95,0.02,Sad,Sad
2.33,0.43,3.04,4.63,2.03,-0.02,Sad,Sad
2.21,0.45,3.02,5.28,2.08,-0.07,Sad,Sad
2.21,0.45,2.96,5.79,2.03,-0.1,Sad,Sad
2.19,0.46,2.99,6.01,2.07,-0.09,Sad,Sad
2.25,0.45,2.99,6.07,2.11,-0.07,Sad,Sad
2.36,0.42,3.09,6.08,2.17,-0.07,Sad,Sad
2.45,0.41,3.64,6.12,2.27,-0.08,Sad,Sad
2.99,0.33,3.75,6.21,2.5,-0.05,Sad,Sad
3.91,0.26,4.49,6.31,2.7,-0.02,Sad,Sad
4.71,0.21,4.81,6.45,2.91,-0.01,Sad,Sad
5.2,0.19,4.93,6.64,2.98,-0.01,Sad,Sad
5.39,0.19,4.98,6.69,3.26,-0.01,Sad,Sad
5.44,0.18,5.33,6.63,3.77,-0.01,Sad,Sad
5.48,0.18,5.33,6.72,3.78,-0.01,Sad,Sad
5.51,0.18,5.33,6.99,3.77,0,Sad,Sad
5.53,0.18,5.33,7.12,3.8,0,Sad,Sad
5.55,0.18,5.3,7.14,3.81,0,Sad,Sad
5.57,0.18,5.25,7.14,3.79,0,Sad,Sad
5.51,0.18,5.2,7.13,3.71,0,Sad,Sad
5.35,0.19,5.56,7.12,3.99,0,Sad,Sad
5.11,0.2,5.95,7.21,3.97,0,Sad,Sad
4.76,0.21,6.01,7.63,4.03,0.02,Sad,Sad
4.54,0.22,6.03,7.89,3.64,0.02,Sad,Sad
5.4,0.19,5.97,7.93,3.53,0,Sad,Sad
5.83,0.17,5.97,8.05,3.55,-0.01,Sad,Sad
5.9,0.17,5.97,8.15,3.58,-0.01,Sad,Sad
5.9,0.17,5.97,8.22,3.69,-0.01,Sad,Sad
5.88,0.17,5.97,8.25,4.23,-0.01,Sad,Sad
5.88,0.17,5.97,8.26,4.33,-0.01,Sad,Sad
5.89,0.17,5.97,8.28,4.56,-0.01,Sad,Sad
5.89,0.17,5.29,8.28,4.5,-0.01,Sad,Sad
5.82,0.17,4.49,8.22,4.59,-0.01,Sad,Sad
5.8,0.17,4.04,7.97,4.61,-0.01,Sad,Sad
5.63,0.18,3.46,7.71,4.68,-0.01,Sad,Sad
4.99,0.2,3.1,7.48,4.75,-0.01,Sad,Sad
3.78,0.26,3.1,7.05,4.74,-0.01,Sad,Sad
2.95,0.34,3.07,6.58,4.71,-0.01,Sad,Sad
2.97,0.34,3.06,6.17,4.67,0,Sad,Sad
2.9,0.34,2.95,5.73,4.25,-0.01,Sad,Sad
2.68,0.37,2.93,5.34,4.13,-0.03,Sad,Sad
