alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Respuesta
2.37,0.42,3.07,4.93,3.76,-0.07,Sad,Sad
2.4,0.42,4.42,4.63,3.51,-0.06,Sad,Sad
3.27,0.31,4.52,4.98,3.37,-0.01,Sad,Sad
4.27,0.23,4.59,5.17,2.96,-0.01,Sad,Sad
4.69,0.21,4.6,5.18,2.47,-0.01,Sad,Sad
4.77,0.21,4.56,5.32,1.9,-0.01,Sad,Sad
4.78,0.21,4.56,5.55,2.76,-0.01,Sad,Sad
4.78,0.21,4.56,5.73,3.28,-0.01,Sad,Sad
4.82,0.21,4.57,5.79,3.32,-0.01,Sad,Sad
4.85,0.21,4.59,5.78,3.41,-0.01,Sad,Sad
4.85,0.21,4.58,5.78,3.54,-0.01,Sad,Sad
4.86,0.21,4.39,5.77,3.51,-0.01,Sad,Sad
4.83,0.21,3.43,5.68,3.47,-0.01,Sad,Sad
4.54,0.22,3.06,5.36,3.49,-0.01,Sad,Sad
3.94,0.25,3.1,5.17,3.49,-0.02,Sad,Sad
3.38,0.3,3.26,5.11,3.48,-0.01,Sad,Sad
3.42,0.29,3.32,4.98,3.44,0.01,Sad,Sad
3.57,0.28,3.37,4.74,3.15,0.01,Sad,Sad
3.53,0.28,3.8,4.59,2.59,0.01,Sad,Sad
3.78,0.26,3.82,5.24,2.6,0,Sad,Sad
4.11,0.24,3.91,5.78,2.01,0,Sad,Sad
4.15,0.24,3.91,5.94,1.98,0,Sad,Sad
4.77,0.21,4.67,6.28,2.86,-0.02,Calm,Happy
4.78,0.21,4.69,6.46,3.26,-0.02,Calm,Happy
5.01,0.2,4.73,6.62,3.41,-0.01,Calm,Happy
5.22,0.19,4.84,6.76,3.47,-0.01,Calm,Happy
5.31,0.19,4.88,6.83,3.52,-0.01,Calm,Happy
5.32,0.19,4.93,6.82,3.61,-0.01,Calm,Happy
5.34,0.19,4.99,6.89,3.73,-0.01,Calm,Happy
5.43,0.18,5.28,6.97,3.96,-0.01,Calm,Happy
5.64,0.18,5.24,6.98,4.24,-0.01,Calm,Happy
5.92,0.17,5.29,7.02,4.36,-0.01,Calm,Happy
5.95,0.17,5.23,7.11,4.49,0,Calm,Happy
6.07,0.16,5.61,7.12,4.62,0,Calm,Happy
6.17,0.16,5.75,7.02,5.06,0,Calm,Happy
6.16,0.16,6.04,6.91,5.25,0,Calm,Happy
6.4,0.16,6.08,7.13,5.27,0,Calm,Happy
6.6,0.15,6.09,7.39,5.28,0,Calm,Happy
6.62,0.15,6.1,7.44,5.35,0,Calm,Happy
6.62,0.15,6.13,7.41,5.39,0,Calm,Happy
6.63,0.15,6.08,7.51,5.45,0,Calm,Happy
6.51,0.15,6.15,7.67,5.46,0.01,Calm,Happy
6.39,0.16,6.08,7.7,5.49,0.01,Calm,Happy
6.36,0.16,6.06,7.63,5.52,0.01,Calm,Happy
6.3,0.16,5.92,7.61,5.48,0.01,Calm,Happy
6.27,0.16,5.72,7.6,5.17,0.01,Calm,Happy
6.16,0.16,5.56,7.61,5.37,0.01,Calm,Happy
5.83,0.17,5.52,7.5,5.35,0,Calm,Happy
5.61,0.18,5.52,7.37,5.41,-0.01,Calm,Happy
5.64,0.18,5.45,7.36,5.4,-0.01,Calm,Happy
5.62,0.18,5.4,7.4,5.34,-0.01,Calm,Happy
5.6,0.18,5.18,7.4,5.29,-0.01,Calm,Happy
5.73,0.17,5.13,7.25,5.22,-0.01,Calm,Happy
5.8,0.17,5.11,7,5.12,-0.01,Calm,Happy
5.72,0.17,4.92,6.93,5.01,-0.02,Calm,Happy
5.62,0.18,4.88,6.94,4.98,-0.02,Calm,Happy
5.55,0.18,4.5,6.92,4.83,-0.02,Calm,Happy
5.48,0.18,4.3,6.79,4.41,-0.02,Calm,Happy
5.34,0.19,4.24,6.67,4.35,-0.02,Calm,Happy
5.16,0.19,4.23,6.56,4.05,-0.02,Calm,Happy
5.1,0.2,4.07,6.38,3.91,-0.02,Calm,Happy
5.03,0.2,3.81,5.93,3.54,-0.02,Calm,Happy
4.76,0.21,3.53,5.36,3.35,-0.03,Calm,Happy
4.18,0.24,3.3,5.27,3.17,-0.04,Calm,Happy
3.36,0.3,3.27,5.43,3.12,-0.04,Calm,Happy
2.81,0.36,3.35,5.43,2.88,-0.02,Calm,Happy
2.9,0.35,3.36,5.38,2.79,-0.02,Calm,Happy
2.94,0.34,3.36,5.44,2.82,-0.03,Calm,Happy
2.92,0.34,3.43,5.42,2.79,-0.03,Calm,Happy
2.89,0.35,3.44,5.32,3.04,-0.03,Calm,Happy
2.88,0.35,3.52,5.33,2.98,-0.02,Calm,Happy
3.19,0.31,3.68,5.31,3.07,-0.01,Calm,Happy
3.75,0.27,4.06,5.34,3.17,-0.01,Calm,Happy
4.11,0.24,4.12,5.43,3.13,-0.01,Calm,Happy
4.34,0.23,4.14,5.54,3.26,-0.01,Calm,Happy
4.42,0.23,4.19,5.67,3.33,-0.01,Calm,Happy
4.42,0.23,4.11,5.89,3.38,-0.01,Calm,Happy
4.41,0.23,4.1,6.06,3.41,-0.01,Calm,Happy
4.42,0.23,4.54,6.12,3.73,-0.01,Calm,Happy
4.48,0.22,4.94,6.42,4.01,-0.01,Calm,Happy
4.8,0.21,5.01,7.14,4.01,-0.01,Calm,Happy
5.02,0.2,4.99,7.54,3.99,-0.01,Calm,Happy
5.02,0.2,4.94,7.66,3.93,-0.01,Calm,Happy
4.86,0.21,4.86,7.72,3.91,0,Calm,Happy
4.73,0.21,4.84,7.76,3.9,0,Calm,Happy
4.64,0.22,4.86,7.74,3.86,0,Calm,Happy
4.61,0.22,4.86,7.7,3.87,0,Calm,Happy
4.61,0.22,4.87,7.66,3.86,0,Calm,Happy
4.62,0.22,4.94,7.63,3.88,0,Calm,Happy
4.63,0.22,4.33,7.62,3.34,0,Calm,Happy
4.57,0.22,3.97,7.5,3.09,0,Calm,Happy
4.07,0.25,3.89,6.99,3.1,0,Calm,Happy
3.35,0.3,4.04,6.19,3.13,-0.01,Calm,Happy
3.66,0.27,4.23,5.69,3.09,-0.02,Calm,Happy
4.38,0.23,4.23,5.34,3.14,-0.01,Calm,Happy
4.7,0.21,4.16,5.35,3.11,-0.01,Calm,Happy
4.75,0.21,4.16,5.42,3.03,-0.01,Calm,Happy
4.78,0.21,4.08,5.42,3.05,-0.01,Calm,Happy
4.78,0.21,4.04,5.46,2.99,-0.01,Calm,Happy
4.77,0.21,4.11,5.61,3.05,-0.01,Calm,Happy
4.74,0.21,4.33,5.97,3.03,-0.01,Calm,Happy
4.74,0.21,4.34,6.26,2.96,-0.01,Calm,Happy
4.77,0.21,4.32,6.32,3,-0.01,Calm,Happy
4.82,0.21,4.09,6.27,3.1,-0.01,Calm,Happy
4.76,0.21,4.06,6.3,3.83,-0.01,Calm,Happy
4.5,0.22,4.22,6.31,4.33,-0.02,Calm,Happy
4.24,0.24,4.26,6.22,4.6,-0.02,Calm,Happy
4.29,0.23,4.52,6.18,4.67,-0.02,Calm,Happy
4.34,0.23,4.66,6.17,4.7,-0.01,Calm,Happy
4.4,0.23,4.63,6.17,4.68,-0.02,Calm,Happy
4.52,0.22,4.44,6.15,4.67,-0.02,Calm,Happy
4.57,0.22,4.3,5.91,4.65,-0.02,Calm,Happy
4.56,0.22,4.29,5.64,4.65,-0.02,Calm,Happy
4.52,0.22,4.26,5.61,4.61,-0.02,Calm,Happy
4.43,0.23,4.26,5.64,4.6,-0.02,Calm,Happy
4.22,0.24,4.21,5.7,3.85,-0.02,Calm,Happy
4.06,0.25,4.21,5.86,3.82,-0.02,Calm,Happy
4.07,0.25,4.21,5.87,2.9,-0.02,Calm,Happy
4.04,0.25,4.12,5.96,2.73,-0.02,Calm,Happy
3.98,0.25,4.03,6.2,2.55,-0.03,Calm,Happy
4.06,0.25,4.05,6.23,2.46,-0.02,Calm,Happy
4.26,0.23,4.11,6.21,2.51,-0.02,Calm,Happy
4.4,0.23,4.09,6.2,2.54,-0.02,Calm,Happy
4.5,0.22,4.11,6.17,2.53,-0.02,Calm,Happy
4.67,0.21,4.1,6.14,2.68,-0.01,Calm,Happy
4.76,0.21,4.1,6.06,2.81,-0.01,Calm,Happy
4.76,0.21,4.28,5.83,3.8,-0.01,Calm,Happy
4.78,0.21,4.31,5.8,3.89,-0.01,Calm,Happy
6.31,0.16,5.95,7.58,2.49,0,Happy,Happy
6.24,0.16,4.35,7.49,2.29,0,Happy,Happy
5.73,0.17,4.21,7.2,2.4,0,Happy,Happy
5.06,0.2,4.26,7,2.38,0,Happy,Happy
5.05,0.2,4,7.11,2.45,0,Happy,Happy
4.92,0.2,3.83,6.98,2.59,0,Happy,Happy
4.66,0.21,3.83,6.7,2.69,-0.01,Happy,Happy
4.69,0.21,3.99,6.56,2.77,-0.01,Happy,Happy
4.74,0.21,4.02,6.5,2.79,-0.01,Happy,Happy
4.7,0.21,4.09,6.45,3.07,-0.01,Happy,Happy
4.7,0.21,4.06,6.38,3.18,-0.01,Happy,Happy
4.63,0.22,4.05,6.34,3.2,-0.01,Happy,Happy
4.59,0.22,4.05,6.25,3.25,-0.01,Happy,Happy
4.6,0.22,3.96,6.08,3.29,-0.01,Happy,Happy
4.56,0.22,3.6,5.86,3.3,-0.01,Happy,Happy
4.31,0.23,3.6,5.56,3.24,-0.01,Happy,Happy
4.12,0.24,3.63,5.31,3.26,0,Happy,Happy
4.16,0.24,3.5,5.29,3.53,-0.01,Happy,Happy
4.03,0.25,3.44,5.12,3.56,-0.02,Happy,Happy
3.92,0.26,3.56,4.83,3.54,-0.02,Happy,Happy
4.04,0.25,4.17,4.82,3.51,-0.02,Happy,Happy
4.75,0.21,4.18,5.31,3.55,-0.01,Happy,Happy
5.38,0.19,4.19,5.48,3.62,-0.01,Happy,Happy
5.57,0.18,4.37,5.57,3.58,-0.01,Happy,Happy
5.58,0.18,4.39,5.68,3.56,-0.01,Happy,Happy
5.61,0.18,4.57,5.74,3.59,-0.01,Happy,Happy
5.69,0.18,4.65,5.77,3.64,-0.01,Happy,Happy
5.73,0.17,4.65,5.82,3.56,-0.01,Happy,Happy
5.75,0.17,4.63,5.9,3.38,-0.01,Happy,Happy
5.76,0.17,4.6,5.93,3.32,-0.01,Happy,Happy
5.76,0.17,4.45,5.93,3.34,-0.01,Happy,Happy
5.67,0.18,4.13,5.78,3.1,-0.01,Happy,Happy
5.31,0.19,4.12,5.48,3.08,-0.01,Happy,Happy
4.82,0.21,4.06,5.42,2.99,-0.01,Happy,Happy
4.6,0.22,3.98,5.3,2.94,-0.01,Happy,Happy
4.59,0.22,3.96,4.9,2.84,-0.01,Happy,Happy
4.43,0.23,3.42,4.44,2.75,-0.01,Happy,Happy
4.15,0.24,3.24,4.33,2.56,-0.02,Happy,Happy
3.66,0.27,3.28,3.73,2.56,-0.02,Happy,Happy
3.16,0.32,3.52,3.11,2.56,-0.03,Happy,Happy
3.22,0.31,3.72,3.93,2.7,-0.02,Happy,Happy
3.7,0.27,4.06,4.55,2.71,-0.02,Happy,Happy
3.84,0.26,4.25,4.72,2.6,-0.01,Happy,Happy
3.85,0.26,4.38,4.78,2.64,-0.02,Happy,Happy
3.88,0.26,4.3,4.83,2.48,-0.02,Happy,Happy
3.91,0.26,4.28,4.9,2.5,-0.02,Happy,Happy
3.94,0.25,4.3,4.91,2.56,-0.02,Happy,Happy
3.94,0.25,4.32,5.16,2.65,-0.02,Happy,Happy
4.06,0.25,4.36,5.59,2.74,-0.02,Happy,Happy
4.38,0.23,4.33,5.74,2.99,-0.02,Happy,Happy
4.57,0.22,4.3,5.7,3.07,-0.01,Happy,Happy
4.51,0.22,4.15,5.56,3.31,-0.01,Happy,Happy
4.37,0.23,4.02,5.48,3.36,-0.02,Happy,Happy
4.34,0.23,3.86,5.47,3.39,-0.02,Happy,Happy
4.33,0.23,3.7,5.47,3.38,-0.02,Happy,Happy
4.31,0.23,3.81,5.45,3.37,-0.01,Happy,Happy
4.24,0.24,3.83,5.44,3.35,-0.01,Happy,Happy
4.17,0.24,3.78,5.42,3.38,-0.01,Happy,Happy
4.1,0.24,3.91,5.09,3.32,-0.01,Happy,Happy
3.9,0.26,3.85,4.55,3.15,-0.01,Happy,Happy
3.45,0.29,3.9,4.59,3.06,0,Happy,Happy
2.87,0.35,3.82,4.64,3,0.01,Happy,Happy
2.66,0.38,3.75,4.58,2.49,0.01,Happy,Happy
2.77,0.36,3.91,4.51,2.36,0.02,Happy,Happy
2.9,0.34,4.48,4.49,2.45,0.01,Happy,Happy
3.25,0.31,4.68,4.54,2.46,0,Happy,Happy
3.99,0.25,4.71,4.58,2.49,0,Happy,Happy
4.61,0.22,4.77,4.64,2.48,0,Happy,Happy
4.93,0.2,4.71,4.7,2.38,0,Happy,Happy
5.04,0.2,4.66,4.64,2.36,0,Happy,Happy
5.03,0.2,4.65,4.37,2.36,0,Happy,Happy
5.01,0.2,4.62,4.18,2.36,0,Happy,Happy
5.02,0.2,4.65,4.16,2.33,0,Happy,Happy
5.04,0.2,4.66,4.22,2.25,0,Happy,Happy
5.05,0.2,4.52,4.24,2.23,0,Happy,Happy
5.04,0.2,4.04,4.11,2.06,0,Happy,Happy
4.95,0.2,3.5,4.02,2.01,0,Happy,Happy
4.65,0.22,2.99,3.9,2.04,0,Happy,Happy
4.11,0.24,3.08,3.99,2.19,0.01,Happy,Happy
3.55,0.28,3.11,4.33,2.18,0.01,Happy,Happy
3.22,0.31,3.11,4.56,2.21,0.01,Happy,Happy
3.23,0.31,3.1,4.64,2.16,0.01,Happy,Happy
3.27,0.31,2.92,4.64,2.11,0.01,Happy,Happy
3.21,0.31,2.87,4.59,2.07,0.01,Happy,Happy
3.14,0.32,2.73,4.53,2.05,0.02,Happy,Happy
3.09,0.32,2.86,4.67,1.96,0.02,Happy,Happy
2.98,0.34,2.92,4.87,2,0.03,Happy,Happy
2.92,0.34,3.03,4.9,2.01,0.03,Happy,Happy
2.81,0.36,3.25,4.87,2.04,0.01,Happy,Happy
2.76,0.36,3.2,4.88,2.05,-0.02,Happy,Happy
2.91,0.34,3.33,4.98,2.06,-0.08,Happy,Happy
3.01,0.33,3.43,5.01,2.1,-0.12,Happy,Happy
3,0.33,3.45,4.99,2.1,-0.13,Happy,Happy
2.99,0.33,3.44,5.01,2.08,-0.14,Happy,Happy
3.07,0.33,3.36,5.04,2.14,-0.15,Happy,Happy
3.02,0.33,3.3,5.06,2.25,-0.18,Happy,Happy
2.96,0.34,3.22,4.95,2.37,-0.2,Happy,Happy
2.95,0.34,3.21,4.78,2.42,-0.22,Happy,Happy
2.95,0.34,3.19,4.8,2.43,-0.22,Happy,Happy
2.9,0.34,2.93,4.81,2.31,-0.23,Happy,Happy
2.77,0.36,2.93,4.62,2.75,-0.22,Happy,Happy
2.56,0.39,2.74,4.14,2.97,-0.15,Happy,Happy
2.48,0.4,2.93,3.81,2.95,-0.09,Happy,Happy
2.45,0.41,3.14,3.82,2.96,-0.09,Happy,Happy
2.19,0.46,3.22,3.83,3.1,-0.09,Happy,Happy
2.12,0.47,3.97,3.96,3.45,-0.08,Happy,Happy
2.89,0.35,4.09,3.86,3.42,-0.07,Happy,Happy
2.92,0.34,3.01,4.33,3.2,-0.02,Calm,Calm
2.68,0.37,3.08,4.29,3.25,-0.02,Calm,Calm
2.79,0.36,3.04,4.34,3.29,-0.04,Calm,Calm
3.05,0.33,2.96,4.39,3.29,-0.06,Calm,Calm
3.1,0.32,3,4.34,3.3,-0.09,Calm,Calm
3.05,0.33,3,4.17,3.14,-0.11,Calm,Calm
3.09,0.32,3.12,4.06,3.07,-0.09,Calm,Calm
3.05,0.33,3.37,3.99,3.08,-0.09,Calm,Calm
2.99,0.33,3.42,3.88,3.11,-0.11,Calm,Calm
3.09,0.32,3.6,3.86,3.08,-0.1,Calm,Calm
3.27,0.31,3.61,4.4,2.85,-0.08,Calm,Calm
3.43,0.29,3.74,5.32,2.87,-0.07,Calm,Calm
3.78,0.26,3.79,5.92,2.76,-0.04,Calm,Calm
4.13,0.24,3.77,6.36,2.71,-0.02,Calm,Calm
4.26,0.23,3.78,6.57,2.7,-0.01,Calm,Calm
4.31,0.23,3.79,6.65,2.53,0,Calm,Calm
4.33,0.23,3.76,6.69,2.49,0,Calm,Calm
4.36,0.23,3.5,6.7,2.39,0,Calm,Calm
4.39,0.23,3.44,6.7,2.33,0,Calm,Calm
4.38,0.23,3.36,6.71,2.22,0,Calm,Calm
4.36,0.23,3.15,6.7,2.06,0,Calm,Calm
4.32,0.23,3.1,6.59,1.93,0,Calm,Calm
4.2,0.24,2.42,6.4,1.7,0,Calm,Calm
3.83,0.26,2.4,6.1,1.7,0,Calm,Calm
3.37,0.3,2.51,5.55,1.7,0,Calm,Calm
3.02,0.33,2.48,4.93,1.73,-0.01,Calm,Calm
2.87,0.35,2.34,4.3,1.63,-0.01,Calm,Calm
2.86,0.35,2.35,4.02,1.52,-0.02,Calm,Calm
2.58,0.39,2.34,4.01,1.71,-0.06,Calm,Calm
2.56,0.39,2.47,3.81,1.89,-0.09,Calm,Calm
2.54,0.39,2.36,3.68,1.89,-0.08,Calm,Calm
2.39,0.42,2.32,3.8,1.87,-0.09,Calm,Calm
2.34,0.43,2.42,3.91,2.18,-0.11,Calm,Calm
2.47,0.41,2.49,4.03,2.22,-0.1,Calm,Calm
2.58,0.39,2.59,4.06,2.14,-0.11,Calm,Calm
2.65,0.38,2.62,4.01,2.19,-0.12,Calm,Calm
2.53,0.39,2.67,4,2.4,-0.14,Calm,Calm
2.39,0.42,2.91,3.83,2.61,-0.16,Calm,Calm
2.65,0.38,3.46,3.68,2.68,-0.09,Calm,Calm
2.68,0.37,3.58,3.87,2.66,-0.08,Calm,Calm
2.77,0.36,3.63,4.06,2.75,-0.1,Calm,Calm
2.82,0.35,3.67,4.04,2.85,-0.1,Calm,Calm
2.83,0.35,3.71,4.05,2.84,-0.1,Calm,Calm
2.98,0.34,3.74,4.26,2.76,-0.08,Calm,Calm
3.04,0.33,3.83,4.38,2.77,-0.06,Calm,Calm
2.97,0.34,3.82,4.39,2.78,-0.06,Calm,Calm
2.93,0.34,3.87,4.39,2.79,-0.05,Calm,Calm
3.09,0.32,3.9,4.38,2.48,-0.04,Calm,Calm
3.32,0.3,3.72,4.38,2.5,-0.04,Calm,Calm
3.44,0.29,3.55,4.28,2.47,-0.05,Calm,Calm
3.48,0.29,3.48,4.1,2.32,-0.05,Calm,Calm
3.43,0.29,3.46,4.01,2.35,-0.04,Calm,Calm
3.41,0.29,3.55,4.23,2.32,-0.03,Calm,Calm
3.54,0.28,3.54,4.66,2.27,-0.03,Calm,Calm
3.52,0.28,3.48,4.82,2.27,-0.03,Calm,Calm
3.5,0.29,3.41,4.8,2.28,-0.04,Calm,Calm
3.54,0.28,3.74,4.83,2.38,-0.04,Calm,Calm
3.86,0.26,3.89,4.84,2.41,-0.03,Calm,Calm
4.1,0.24,3.88,4.87,2.4,-0.02,Calm,Calm
4.23,0.24,3.87,4.88,2.39,-0.01,Calm,Calm
4.41,0.23,3.86,4.91,2.4,-0.01,Calm,Calm
4.52,0.22,3.84,4.95,2.39,-0.01,Calm,Calm
4.55,0.22,3.74,4.97,2.19,-0.01,Calm,Calm
4.54,0.22,3.75,4.84,2.23,-0.01,Calm,Calm
4.5,0.22,3.73,4.42,2.21,-0.01,Calm,Calm
4.5,0.22,3.76,3.84,2.17,-0.01,Calm,Calm
4.5,0.22,3.73,3.61,2.04,-0.01,Calm,Calm
4.45,0.22,3.08,3.59,1.88,-0.01,Calm,Calm
4.29,0.23,2.94,3.45,1.91,-0.01,Calm,Calm
4.01,0.25,2.91,3.35,1.83,-0.01,Calm,Calm
3.6,0.28,2.82,3.41,1.99,-0.03,Calm,Calm
3.24,0.31,2.89,3.23,2.24,-0.03,Calm,Calm
3.1,0.32,3.27,3.04,2.32,-0.03,Calm,Calm
3.04,0.33,3.59,3.44,2.37,-0.03,Calm,Calm
3.13,0.32,3.83,4.01,2.46,-0.02,Calm,Calm
3.14,0.32,3.84,4.38,2.5,-0.02,Calm,Calm
3.11,0.32,3.83,4.59,2.55,-0.02,Calm,Calm
3.1,0.32,3.85,4.66,2.58,-0.02,Calm,Calm
3.09,0.32,3.84,4.68,2.56,-0.02,Calm,Calm
2.98,0.34,3.81,4.69,2.49,-0.03,Calm,Calm
2.93,0.34,3.79,4.69,2.44,-0.02,Calm,Calm
3.04,0.33,3.87,4.75,2.34,-0.01,Calm,Calm
3.22,0.31,3.98,4.9,2.28,-0.02,Calm,Calm
3.22,0.31,3.79,4.97,2.32,-0.01,Calm,Calm
3.32,0.3,3.77,5.37,2.42,-0.01,Calm,Calm
3.5,0.29,3.63,5.88,2.58,-0.01,Calm,Calm
3.56,0.28,3.78,6.13,2.86,0,Calm,Calm
3.58,0.28,3.86,6.18,2.97,0,Calm,Calm
3.61,0.28,3.84,6.21,3.07,0,Calm,Calm
3.68,0.27,3.86,6.23,3.17,-0.01,Calm,Calm
3.76,0.27,4,6.25,3.17,-0.01,Calm,Calm
3.88,0.26,4.04,6.25,3.24,-0.01,Calm,Calm
3.93,0.25,3.91,6.22,3.2,0,Calm,Calm
3.83,0.26,3.89,6.19,3.21,0.01,Calm,Calm
3.82,0.26,3.83,6.12,3.21,0.01,Calm,Calm
3.69,0.27,3.75,5.75,3.18,0.01,Calm,Calm
3.54,0.28,3.65,4.97,2.91,0.01,Calm,Calm
3.59,0.28,3.6,4.27,2.76,0.01,Calm,Calm
3.66,0.27,3.57,4.36,2.94,0.01,Calm,Calm
3.63,0.28,3.9,4.39,3.41,0.01,Calm,Calm
3.62,0.28,4.15,4.64,3.84,0.02,Calm,Calm
3.75,0.27,4.13,4.86,3.94,0.03,Calm,Calm
3.85,0.26,4.21,5.34,4.1,0.04,Calm,Calm
3.86,0.26,4.28,5.68,4.2,0.04,Calm,Calm
3.83,0.26,4.49,5.85,4.34,0.04,Calm,Calm
3.9,0.26,4.56,5.98,4.35,0.03,Calm,Calm
3.98,0.25,4.56,6.05,4.37,0.03,Calm,Calm
3.71,0.27,3.27,4.51,2.28,-0.04,Sad,Sad
3.89,0.26,3.5,4.67,2.36,-0.04,Sad,Sad
4.11,0.24,3.81,4.83,2.69,-0.03,Sad,Sad
4.7,0.21,4.45,5.35,3.06,-0.01,Sad,Sad
