6.55796,6.25438,5.95e-05
3.41439,5.30143,6.14e-05
7.00296,5.39787,8.3e-05
6.55484,1.90779,7.66e-05
5.83365,2.59444,6.77e-05
6.82373,1.0159,6.57e-05
13.4465,1.5963,0.000124659
12.061,1.73099,0.000113376
12.948,1.51677,0.000115165
13.9036,1.18579,0.000117313
13.3885,1.42629,0.000117244
19.5812,1.41895,0.000111931
18.6737,0.692059,0.000106314
14.0251,1.94761,0.000100633
12.4757,1.26442,8.33e-05
12.5387,1.16052,8.02e-05
8.92399,1.15737,7.92e-05
9.3535,0.862266,9.16e-05
10.6453,0.911755,0.000104765
11.2123,1.11987,0.000114271
11.1848,0.771833,0.000122382
11.2591,1.63003,0.000105348
11.0395,1.6637,9.01e-05
12.1671,2.63603,9.09e-05
14.2105,1.22063,0.00012207
13.6756,2.97293,0.000121122
13.959,1.22167,0.00012166
11.5557,3.01542,0.000100892
11.1017,2.37367,9.58e-05
6.99166,3.90551,7.11e-05
6.30076,2.1053,6.88e-05
7.24334,3.00028,6.94e-05
7.1259,2.66837,7.08e-05
6.19029,2.73852,6.57e-05
6.82582,2.4807,7.81e-05
7.08537,2.47132,7.14e-05
8.46128,2.72276,8.12e-05
6.48893,2.14513,7.61e-05
6.73267,2.81162,7.82e-05
8.0912,2.78832,9.79e-05
8.23505,1.33368,8.33e-05
8.37105,2.80372,9.79e-05
7.52161,2.69917,0.000103383
9.61568,1.93756,0.000106498
8.80483,3.72422,9.84e-05
6.82675,1.56255,7.89e-05
6.47422,3.18646,7.82e-05
5.7852,1.6069,7.14e-05
6.34751,2.08219,7.88e-05
21.2249,2.4692,9.62e-05
27.7047,1.11104,0.000104976
26.1785,3.16864,0.00013498
27.4442,1.03444,0.00014623
31.8642,1.6928,0.000161957
32.815,2.21423,0.000178033
34.2237,0.687442,0.000158507
33.6022,2.08612,0.000157442
32.3739,0.779684,0.000153436
35.2726,1.22441,0.000151842
39.9443,2.41618,0.000143478
26.8464,1.93538,0.000139019
27.1336,2.50349,0.000154014
27.0997,2.01879,0.000114269
26.5435,1.37192,0.000104997
22.4049,2.72909,0.000100796
19.9877,1.07095,0.000115704
25.5111,1.96615,0.000131782
