alpha,arousal1,beta,theta,gamma,valence1,Stimuli (Audio),Respuesta
3.44,0.29,3.72,5.08,2.15,0.01,Happy,Happy
3.45,0.29,3.88,4.91,2.52,0.01,Happy,Happy
3.54,0.28,4.11,4.88,2.5,0.02,Happy,Happy
3.81,0.26,4.12,4.78,2.5,0.01,Happy,Happy
3.99,0.25,4.11,4.68,2.53,0.01,Happy,Happy
4.03,0.25,4.14,4.56,2.53,0.01,Happy,Happy
4.04,0.25,4.02,4.48,2.25,0.01,Happy,Happy
4.08,0.25,4.25,4.48,2.41,0.01,Happy,Happy
4.09,0.24,4.34,4.45,2.5,0.01,Happy,Happy
4.06,0.25,4.58,4.44,2.78,0,Happy,Happy
4.1,0.24,4.88,4.37,3.38,0,Happy,Happy
4.23,0.24,5.05,4.7,3.7,-0.01,Happy,Happy
4.48,0.22,4.91,5.81,3.7,-0.01,Happy,Happy
4.44,0.23,5.01,6.65,3.82,-0.01,Happy,Happy
4.3,0.23,5.17,7.07,3.86,-0.01,Happy,Happy
4.45,0.22,5.19,7.21,3.89,-0.01,Happy,Happy
4.55,0.22,5.19,7.32,3.9,-0.01,Happy,Happy
4.55,0.22,5.14,7.45,3.9,-0.01,Happy,Happy
4.54,0.22,5.02,7.54,3.88,-0.01,Happy,Happy
4.62,0.22,5.05,7.57,3.9,-0.01,Happy,Happy
4.77,0.21,4.98,7.57,3.66,0,Happy,Happy
4.85,0.21,4.68,7.58,3.44,0,Happy,Happy
4.73,0.21,4.55,7.56,3.08,0,Happy,Happy
4.58,0.22,4.6,7.42,3.02,0,Happy,Happy
4.6,0.22,4.22,7.14,2.77,0.01,Happy,Happy
4.57,0.22,4.21,6.76,2.87,0.01,Happy,Happy
4.44,0.23,4.3,6.43,2.81,0.01,Happy,Happy
4.44,0.23,4.35,6.19,2.82,0.02,Happy,Happy
4.57,0.22,4.4,6.01,2.81,0.02,Happy,Happy
4.65,0.22,4.46,5.69,2.84,0.02,Happy,Happy
4.54,0.22,4.28,5.46,2.77,0.02,Happy,Happy
4.4,0.23,4.34,5.36,2.9,0.02,Happy,Happy
4.44,0.23,4.34,5.32,2.88,0.04,Happy,Happy
4.55,0.22,4.32,5.33,2.84,0.05,Happy,Happy
4.54,0.22,4.25,5.26,2.71,0.05,Happy,Happy
4.41,0.23,4.25,5.12,2.61,0.05,Happy,Happy
4.36,0.23,4.01,5.03,2.56,0.06,Happy,Happy
4.33,0.23,4.04,4.97,2.71,0.06,Happy,Happy
4.3,0.23,3.99,4.65,2.73,0.05,Happy,Happy
4.25,0.24,3.91,4.17,2.72,0.05,Happy,Happy
4.15,0.24,3.6,3.77,2.66,0.05,Happy,Happy
4.15,0.24,3.54,3.65,2.43,0.05,Happy,Happy
4.01,0.25,3.43,3.58,2.76,0.04,Happy,Happy
3.82,0.26,3.89,3.37,2.85,0.03,Happy,Happy
3.83,0.26,3.88,3.26,2.9,0.01,Happy,Happy
3.93,0.25,3.85,3.32,2.9,0,Happy,Happy
3.94,0.25,3.86,3.43,2.88,0,Happy,Happy
