alpha,arousal1,beta,theta,gamma,valence1,Stimuli (Audio),Response
3.99,0.25,4.82,5.54,3.87,-0.03,Sad,Sad
3.98,0.25,5.21,5.47,4.35,-0.02,Sad,Sad
4,0.25,5.45,5.5,4.45,-0.02,Sad,Sad
4.25,0.24,5.65,5.52,4.57,0,Sad,Sad
4.41,0.23,5.57,5.52,4.65,0.01,Sad,Sad
4.28,0.23,5.6,5.42,4.96,0.02,Sad,Sad
4.24,0.24,5.65,5.31,5.17,0.03,Sad,Sad
4.29,0.23,5.64,5.28,5.16,0.03,Sad,Sad
4.33,0.23,5.65,5.14,5.17,0.04,Sad,Sad
4.6,0.22,5.64,4.9,5.15,0.04,Sad,Sad
4.81,0.21,5.59,4.61,5.15,0.03,Sad,Sad
4.93,0.2,5.57,4.57,5.16,0.02,Sad,Sad
4.99,0.2,5.23,4.5,4.99,0.02,Sad,Sad
4.95,0.2,5.11,4.4,4.98,0.02,Sad,Sad
4.84,0.21,4.94,4.49,4.9,0.02,Sad,Sad
4.84,0.21,4.95,4.65,4.61,0.02,Sad,Sad
4.85,0.21,4.88,4.77,4.4,0.03,Sad,Sad
4.84,0.21,4.73,4.77,4.02,0.03,Sad,Sad
4.81,0.21,4.71,4.78,3.99,0.02,Sad,Sad
4.8,0.21,4.55,4.78,3.83,0.01,Sad,Sad
4.81,0.21,4.53,4.87,3.83,0,Sad,Sad
4.84,0.21,4.5,4.94,3.12,0,Sad,Sad
4.92,0.2,4.92,5.24,3.63,0,Sad,Sad
5.15,0.19,5.79,5.66,3.69,0,Sad,Sad
6.17,0.16,5.92,6.05,3.68,0,Sad,Sad
6.84,0.15,5.91,7.28,3.74,0,Sad,Sad
7.09,0.14,5.9,7.9,3.74,0,Sad,Sad
7.13,0.14,5.89,8.1,3.7,0,Sad,Sad
7.13,0.14,5.89,8.17,3.66,0,Sad,Sad
7.14,0.14,5.89,8.2,3.62,0,Sad,Sad
7.13,0.14,5.89,8.2,3.61,0,Sad,Sad
7.11,0.14,5.88,8.21,3.56,0,Sad,Sad
7.09,0.14,5.9,8.23,3.38,0,Sad,Sad
7.08,0.14,5.71,8.23,2.89,0,Sad,Sad
7.03,0.14,4.62,8.23,2.62,0,Sad,Sad
6.64,0.15,4.21,8.08,2.33,0,Sad,Sad
5.49,0.18,4.01,7.56,2.25,0,Sad,Sad
4.21,0.24,3.99,7.02,2.25,-0.03,Sad,Sad
4.11,0.24,4.05,6.62,2.26,-0.03,Sad,Sad
3.98,0.25,4.34,6.14,2.54,-0.04,Sad,Sad
3.92,0.26,4.34,5.99,2.55,-0.03,Sad,Sad
4.07,0.25,4.35,5.98,2.58,-0.02,Sad,Sad
4.12,0.24,4.26,5.71,2.33,-0.01,Sad,Sad
4.06,0.25,3.93,5.32,2.2,0,Sad,Sad
3.81,0.26,3.93,4.8,2.14,0,Sad,Sad
3.52,0.28,3.96,4.34,2.11,0,Sad,Sad
3.48,0.29,4.29,4.12,2.6,-0.01,Sad,Sad
3.51,0.28,4.38,4.03,2.63,-0.02,Sad,Sad
3.57,0.28,4.38,4.04,2.68,-0.01,Sad,Sad
3.56,0.28,4.31,4.06,2.6,-0.01,Sad,Sad
3.49,0.29,4,3.97,2.51,0,Sad,Sad
3.22,0.31,3.91,3.71,2.49,0,Sad,Sad
2.89,0.35,3.88,3.49,2.44,-0.01,Sad,Sad
2.78,0.36,3.99,3.36,2.47,-0.02,Sad,Sad
2.88,0.35,4.23,3.41,2.54,-0.02,Sad,Sad
3.23,0.31,4.22,3.68,2.55,-0.01,Sad,Sad
3.59,0.28,4.19,3.81,2.5,0,Sad,Sad
3.73,0.27,3.71,3.79,2.04,0.01,Sad,Sad
3.72,0.27,3.68,3.76,2.02,0.02,Sad,Sad
3.69,0.27,3.66,3.78,1.91,0.01,Sad,Sad
3.71,0.27,3.65,3.76,1.93,0.01,Sad,Sad
3.73,0.27,3.84,3.69,2.24,0.01,Sad,Sad
3.81,0.26,3.88,3.71,2.26,0,Sad,Sad
3.93,0.25,3.86,3.76,2.3,0,Sad,Sad
4.02,0.25,3.54,3.8,2.2,-0.01,Sad,Sad
4.04,0.25,3.46,3.83,2.15,-0.01,Sad,Sad
3.9,0.26,3.85,3.59,2.17,-0.01,Sad,Sad
3.76,0.27,3.94,3.42,2.21,-0.02,Sad,Sad
3.79,0.26,4.41,3.42,2.49,-0.03,Sad,Sad
3.98,0.25,4.44,3.71,2.54,-0.03,Sad,Sad
4.13,0.24,4.43,4.09,2.54,-0.03,Sad,Sad
4.32,0.23,4.57,4.61,5.07,-0.02,Sad,Sad
5.27,0.19,7.68,6.13,6.02,0,Sad,Sad
6.96,0.14,7.77,8.05,6.02,0,Sad,Sad
7.77,0.13,7.78,8.78,6.03,0,Sad,Sad
7.9,0.13,8.23,8.91,6.79,0,Sad,Sad
7.99,0.13,8.35,9.17,6.8,0,Sad,Sad
8.28,0.12,8.36,9.6,6.8,0,Sad,Sad
8.5,0.12,8.5,9.81,7.22,0,Sad,Sad
8.52,0.12,8.81,9.94,7.25,0,Sad,Sad
8.81,0.11,8.9,10.16,7.35,0,Sad,Sad
9.08,0.11,8.91,10.24,7.35,0,Sad,Sad
9.22,0.11,8.83,10.32,7.07,0,Sad,Sad
9.25,0.11,8.55,10.39,7.05,0,Sad,Sad
9.13,0.11,8.54,10.34,7.05,0,Sad,Sad
9.04,0.11,8.53,10.27,6.96,0,Sad,Sad
9.04,0.11,8.14,10.26,6.5,0,Sad,Sad
8.99,0.11,8.08,10.15,6.51,0,Sad,Sad
8.8,0.11,8.08,9.94,6.51,0,Sad,Sad
8.73,0.11,7.17,9.84,5.03,0,Sad,Sad
8.66,0.12,6.6,9.66,5.69,0,Sad,Sad
8.35,0.12,7.46,9.31,5.75,0,Sad,Sad
8,0.13,7.56,9.29,5.74,0,Sad,Sad
7.93,0.13,7.56,9.3,5.74,0,Sad,Sad
7.95,0.13,7.7,9.2,6.47,0,Sad,Sad
8,0.12,8.35,9.21,6.68,0,Sad,Sad
8.26,0.12,8.39,9.62,6.68,0,Sad,Sad
8.47,0.12,8.39,9.88,6.68,0,Sad,Sad
8.54,0.12,8.39,9.92,6.68,0,Sad,Sad
8.53,0.12,8.39,9.94,6.68,0,Sad,Sad
8.54,0.12,8.4,9.96,6.68,0,Sad,Sad
8.53,0.12,8.25,9.97,6.22,0,Sad,Sad
8.46,0.12,7.89,9.91,6.21,0,Sad,Sad
8.17,0.12,7.87,9.72,6.22,0,Sad,Sad
7.93,0.13,8.07,9.57,6.84,0,Sad,Sad
7.99,0.13,8.09,9.59,6.22,0,Sad,Sad
8.23,0.12,8.15,9.64,7.01,0,Sad,Happy
4.07,0.25,4.67,4.28,3.16,-0.01,Sad,Happy
3.98,0.25,4.69,4.18,3.02,-0.01,Sad,Happy
3.94,0.25,4.67,4.12,2.99,-0.01,Sad,Happy
4.02,0.25,4.66,4.19,2.86,-0.01,Sad,Happy
3.96,0.25,4.63,4.25,2.73,-0.01,Sad,Happy
3.82,0.26,4.61,4.25,2.7,-0.01,Sad,Happy
3.66,0.27,4.66,4.33,2.64,0,Sad,Happy
3.56,0.28,4.68,4.4,2.63,0.02,Sad,Happy
3.55,0.28,4.68,4.39,2.88,0.03,Sad,Happy
3.57,0.28,4.72,4.41,2.9,0.03,Sad,Happy
3.74,0.27,4.72,4.5,2.92,0.01,Sad,Happy
3.9,0.26,4.71,4.61,2.92,0,Sad,Happy
3.95,0.25,4.71,4.69,2.91,0,Sad,Happy
3.91,0.26,4.71,4.72,2.98,0,Sad,Happy
3.86,0.26,4.51,4.69,2.86,0,Sad,Happy
4,0.25,4.45,4.61,2.87,-0.01,Sad,Happy
4.13,0.24,4.45,4.57,2.86,-0.01,Sad,Happy
4.18,0.24,4.39,4.53,2.86,-0.02,Sad,Happy
4.19,0.24,4.37,4.55,2.98,-0.02,Sad,Happy
4.18,0.24,4.4,4.59,3.02,-0.02,Sad,Happy
4.15,0.24,4.29,4.59,3.01,-0.02,Sad,Happy
3.98,0.25,4.31,4.5,3.01,-0.04,Sad,Happy
3.89,0.26,4.32,4.42,3,-0.04,Sad,Happy
3.9,0.26,4.32,4.42,3.02,-0.05,Sad,Happy
3.94,0.25,4.4,4.36,2.96,-0.05,Sad,Happy
3.93,0.25,4.35,4.32,2.94,-0.05,Sad,Happy
3.82,0.26,4.33,4.36,2.93,-0.05,Sad,Happy
3.63,0.28,4.3,4.32,2.94,-0.05,Sad,Happy
3.52,0.28,4.3,4.28,2.94,-0.05,Sad,Happy
3.5,0.29,4.3,4.23,2.79,-0.05,Sad,Happy
3.49,0.29,4.45,4.16,2.84,-0.05,Sad,Happy
3.58,0.28,4.49,4.23,2.84,-0.02,Sad,Happy
3.79,0.26,4.47,4.3,2.85,-0.01,Sad,Happy
3.8,0.26,4.47,4.19,2.85,0,Sad,Happy
3.73,0.27,4.46,4.08,2.81,0,Sad,Happy
3.71,0.27,4.57,4.08,2.99,0,Sad,Happy
3.76,0.27,4.61,4.01,2.99,0,Sad,Happy
3.92,0.26,4.62,3.95,2.99,0,Sad,Happy
4.03,0.25,4.63,3.97,2.98,-0.01,Sad,Happy
4.07,0.25,4.64,3.94,2.99,-0.01,Sad,Happy
4.07,0.25,4.33,3.88,2.67,-0.01,Sad,Happy
4.05,0.25,4.44,3.82,2.67,-0.01,Sad,Happy
3.86,0.26,4.43,3.48,2.66,-0.02,Sad,Happy
3.66,0.27,4.45,3.2,2.69,-0.02,Sad,Happy
3.61,0.28,4.45,3.19,2.73,-0.01,Sad,Happy
3.61,0.28,4.45,3.35,2.61,-0.01,Sad,Happy
3.6,0.28,4.27,3.67,2.72,-0.01,Sad,Happy
3.57,0.28,4.3,4.1,2.74,-0.02,Sad,Happy
3.56,0.28,4.26,4.42,2.74,-0.02,Sad,Happy
3.54,0.28,4.24,4.54,2.76,-0.02,Sad,Happy
3.53,0.28,4.25,4.55,2.75,-0.03,Sad,Happy
3.57,0.28,4.16,4.54,2.67,-0.03,Sad,Happy
3.62,0.28,4.18,4.6,2.75,-0.03,Sad,Happy
3.74,0.27,4.17,4.65,2.73,-0.03,Sad,Happy
3.87,0.26,4.18,4.69,2.69,-0.04,Sad,Happy
3.94,0.25,4.19,4.71,2.66,-0.04,Sad,Happy
4.05,0.25,4.19,4.67,2.58,-0.03,Sad,Happy
4.1,0.24,4.16,4.49,2.6,-0.03,Sad,Happy
4.01,0.25,4.18,4.12,2.6,-0.03,Sad,Happy
3.84,0.26,4.2,3.92,2.62,-0.03,Sad,Happy
3.77,0.27,4.23,4.04,2.66,-0.02,Sad,Happy
3.78,0.26,4.19,4.4,2.69,-0.01,Sad,Happy
3.76,0.27,4.08,4.65,2.61,-0.01,Sad,Happy
3.71,0.27,4.5,4.66,2.61,-0.01,Sad,Happy
3.56,0.28,4.57,4.69,2.61,-0.01,Sad,Happy
3.66,0.27,4.54,4.76,2.62,0.01,Sad,Happy
3.72,0.27,4.54,4.72,2.7,0.01,Sad,Happy
3.66,0.27,4.5,4.76,2.47,0.01,Sad,Happy
3.64,0.27,4.52,4.89,2.41,0,Sad,Happy
3.77,0.27,5.91,5.25,5.74,-0.01,Sad,Happy
5.33,0.19,7.64,6.91,6.12,0,Sad,Happy
7,0.14,7.72,8.38,6.12,0,Sad,Happy
7.69,0.13,7.72,8.88,6.12,0,Sad,Happy
7.87,0.13,7.71,8.97,6.13,0,Sad,Happy
7.88,0.13,7.7,9.01,6.13,0,Sad,Happy
7.9,0.13,7.71,9.05,6.16,0,Sad,Happy
7.91,0.13,7.71,9.06,6.16,0,Sad,Happy
7.91,0.13,7.71,9.06,6.16,0,Sad,Happy
7.92,0.13,8.3,9.1,6.81,0,Sad,Happy
8.13,0.12,8.43,9.32,6.81,0,Sad,Happy
8.42,0.12,8.03,9.64,6.16,0,Sad,Happy
8.51,0.12,7.95,9.71,6.61,0,Sad,Happy
8.26,0.12,8.24,9.71,6.64,0,Sad,Happy
8.29,0.12,8.26,9.94,6.64,0,Sad,Happy
8.55,0.12,8.26,10.11,6.67,0,Sad,Happy
8.59,0.12,8.28,10.14,6.75,0,Sad,Happy
8.59,0.12,8.36,10.16,6.74,0,Sad,Happy
8.6,0.12,8.39,10.17,6.75,0,Sad,Happy
8.64,0.12,8.39,10.19,6.55,0,Sad,Happy
8.67,0.12,7.69,10.19,6.04,0,Sad,Happy
8.55,0.12,7.79,10.05,6.39,0,Sad,Happy
8.3,0.12,8.13,9.88,6.43,0,Sad,Happy
8.37,0.12,7.81,9.87,5.82,0,Sad,Happy
8.46,0.12,7.67,9.74,5.81,0,Sad,Happy
8.23,0.12,7.64,9.26,5.79,0,Sad,Happy
7.97,0.13,7.66,8.78,5.77,0,Sad,Happy
7.93,0.13,7.65,8.61,5.59,0,Sad,Happy
7.97,0.13,7.44,8.6,5.59,0,Sad,Happy
7.96,0.13,7.42,8.58,5.57,0,Sad,Happy
7.84,0.13,7.42,8.4,5.56,0,Sad,Happy
7.74,0.13,7.47,8.3,5.79,0,Sad,Happy
7.74,0.13,6.56,8.31,4.86,0,Sad,Happy
7.67,0.13,5.87,8.26,4.84,0,Sad,Happy
7.18,0.14,5.77,7.96,4.83,0,Sad,Happy
6.39,0.16,5.75,7.54,4.82,0,Sad,Happy
6.18,0.16,5.75,7.45,4.81,0,Happy,Happy
4.11,0.24,5.01,4.2,5.35,-0.07,Happy,Happy
4.25,0.24,5.04,4.26,5.21,-0.09,Happy,Happy
4.37,0.23,5.07,4.28,5.26,-0.09,Happy,Happy
4.36,0.23,5.12,4.33,5.25,-0.08,Happy,Happy
4.32,0.23,5.1,4.33,5.21,-0.08,Happy,Happy
4.44,0.23,5.21,4.49,5.25,-0.07,Happy,Happy
4.55,0.22,5.37,4.59,5.42,-0.07,Happy,Happy
4.57,0.22,5.76,4.69,5.58,-0.06,Happy,Happy
4.68,0.21,5.79,5.26,5.49,-0.06,Happy,Happy
4.73,0.21,5.82,5.54,5.41,-0.06,Happy,Happy
4.87,0.21,5.85,5.53,5.44,-0.06,Happy,Happy
4.89,0.2,5.71,5.56,5.34,-0.06,Happy,Happy
